カテゴリー,問題番号,重要度,問題,選択肢,正解,解説
通関業の許可,56-1-1,A,"法人が通関業の許可を受けようとする場合には、通関業の許可申請書に次の書面を添付しなければならない。
(1)通関士となるべき者その他の通関業務の従業者及び(イ)の名簿並びにこれらの者の履歴書
(2)通関業の許可を受けようとする法人が通関業以外の事業を営んでいる場合には、その事業の概要、規模及び最近における(ロ)を示す書面
(3)年間において取り扱う見込みの(ハ)及びその算定の基礎を記載した書面","1.(イ)通関業務を担当する役員 (ロ)損益の状況 (ハ)通関業務の量
2.(イ) 通関業務を担当する役員 (ロ)経営の状況 (ハ)通関業務及び関連業務の量
3.(イ)主たる営業所の責任者 (ロ)損益の状況 (ハ)通関業務及び関連業務の量
4.(イ)主たる営業所の責任者 (ロ)経営の状況 (ハ)通関業務の量
5.(イ)通関業務以外の業務に従事する従業者 (ロ)経営の状況 (ハ)貨物の数量",1,"法人が通関業の許可を受けようとする場合には、通関業の許可申請書に、申請者の資産の状況を示す書面に加えていくつか添付しなければならない書面がある(業4条2項)。

例えば、

・通関士となるべき者、その他の通関業務の従業者、通関業務を担当する役員の名簿と、これらの者の履歴書
・通関業の許可を受けようとする法人が通関業以外の事業を営んでいる場合には、その事業の概要、規模及び最近における損益の状況を示す書面
・年間において取り扱う見込みの通関業務の量及びその算定の基礎を記載した書面

である(業規1条4号から6号)。

[参照　第8編（通関業法）-第2章（通関業の許可）-3.許可の申請]"
通関業の許可,56-1-2,A,財務大臣が通関業務を行う営業所の新設の許可をする場合に、当該許可に付することができる条件は、(ニ)の限定及び(ホ)に限ることとされている。,"1.(ニ)許可の期限 (ホ)貨物の数量
2.(ニ)許可の期限 (ホ)売掛金及び買掛金の額
3.(ニ)許可の種類 (ホ)売掛金及び買掛金の額
4.(ニ)取り扱う貨物の種類 (ホ)許可の期限
5.(ニ)取り扱う貨物の種類 (ホ)売掛金及び買掛金の額",4,"財務大臣が通関業務を行う営業所の新設の許可をする場合に、当該許可に付することができる条件は、取り扱う貨物の種類の限定及び許可の期限に限ることとされている(業8条2項、3条2項、業通3-1)。
[参照　第8編（通関業法）-第2章（通関業の許可）-5.営業所の新設-（1）営業所の新設]"
通関業の許可,56-2-1,A,"通関業者が次のいずれかに該当するときは、当該通関業の許可は、消滅する。
(1)通関業を(イ)したとき。
(2)法人が(ロ)したとき。
(3)(ハ)を受けたとき。","1.(イ)解散 (ロ)休止(ハ)通関業者に対する監督処分
2.(イ)解散 (ロ)休止 (ハ)分割
3.(イ)廃止 (ロ)解散 (ハ)破産手続開始の決定
4.(イ)廃止 (ロ)休止(ハ) 通関業者に対する監督処分
5.(イ)休止 (ロ)休業 (ハ) 通関業者に対する監督処分",3,"通関業の許可の消滅事由は、

・通関業を廃止したとき。
・通関業者が死亡した場合で、通関業の許可に基づく地位の承継の申請(業11条の2第2項)が規定の期間内にされなかったとき、又はその申請に対する承認をしない旨の処分があったとき。
・法人が解散したとき。
・破産手続開始の決定を受けたとき。

の4つであり(業10条1項)、問題分に挙げられているのは上から2番目以外のものである。

[参照　第2編（関税法）-第8章（AEO事業者等になるための要件と失効・取消し等）-5.通関士、通関業者-（2）消滅事由、取消事由、資格喪失事由-②消滅事由]"
通関業の許可,56-2-2,A,法人である通関業者が合併により消滅し、当該法人に係る通関業の許可が消滅した場合において、(ニ)通関手続があるときは、当該手続については、(ホ)が引き続き、当該許可を受けているものとみなす。,"1.(ニ)既に完了した (ホ)合併後存続する法人又は合併により設立された法人
2.(ニ)今後予定される (ホ)合併前に通関業者であった法人を代表する役員であった者
3.(ニ)今後予定される (ホ)合併後存続する法人又は合併により設立された法人
4.(ニ)現に進行中の (ホ)合併前に通関業者であった法人を代表する役員であった者
5.(ニ)現に進行中の (ホ)合併後存続する法人又は合併により設立された法人",5,"法人である通関業者が合併により消滅し、当該法人に係る通関業の許可が消滅した場合において、現に進行中の通関手続があるときは、当該手続については、合併後存続する法人又は合併により設立された法人が引き続き、当該許可を受けているものとみなす(業10条3項)。
[参照　第2編（関税法）-第8章（AEO事業者等になるための要件と失効・取消し等）-5.通関士、通関業者-（2）消滅事由、取消事由、資格喪失事由-②消滅事由]"
通関業の許可,56-3-1,A,"通関業者は、次に掲げる事項に変更があったときは、遅滞なくその旨を(イ)に届け出なければならない。
(1)氏名又は名称及び住所並びに法人にあってはその(ロ)
(2)(ハ)の名称及び所在地
(3)上記(2)の営業所ごとの責任者の氏名及び当該営業所ごとに置く(ニ)
(4)通関業以外の事業を営んでいるときは、その(ホ)","1.(イ)いずれかの税関長 (ロ)事業を行うための営業所の名称及び所在地 (ハ)全ての営業所 (ニ)通関士の数 (ホ)事業に係る資産の状況
2.(イ)いずれかの税関長 (ロ)役員の氏名及び役職 (ハ)通関業務を行う営業所 (ニ)通関士の氏名及び住所 (ホ)事業に係る資産の状況
3.(イ)いずれかの税関長 (ロ)役員の氏名及び住所 (ハ)全ての営業所 (ニ)通関士の氏名及び住所 (ホ)事業の種類
4.(イ)財務大臣 (ロ)役員の氏名及び役職 (ハ)全ての営業所 (ニ)通関士の氏名及び住所 (ホ)事業の種類
5.(イ)財務大臣 (ロ)役員の氏名及び住所 (ハ)通関業務を行う営業所 (ニ)通関士の数 (ホ)事業の種類",5,"通関業者は、一定の事項に変更があったときは、遅滞なくその旨を財務大臣に届け出なければならず、その事項として、

・氏名又は名称及び住所並びに法人にあってはその役員の氏名及び住所
・通関業務を行おうとする営業所の名称及び所在地
・通関業務を行おうとする営業所ごとの責任者の氏名及び営業所ごとに置く通関士の数
・通関業以外の事業を営んでいるときは、その事業の種類

といったものが挙げられる(業12条1号、4条1項1号から3号及び5号)。

[参照　第8編（通関業法）-第2章（通関業の許可）-6.許可の申請事項等の変更等の届出]"
通関業者、通関士等の義務,56-4-1,A,通関業者は、他人の依頼に応じて税関官署に提出する(イ)(通関士が通関業務に従事している営業所における通関業務に係るものに限る。)については、通関士にその内容を審査させ、かつ、これに(ロ)させなければならない。,"1.(イ)関税法第7条の2第1項に規定する特例申告書及び当該特例申告書に係る輸入の申告書 (ロ)記名及び押印
2.(イ) 関税法第7条の2第1項に規定する特例申告書及び当該特例申告書に係る輸入の申告書 (ロ)記名
3.(イ)関税法第7条の2第1項に規定する特例申告書及び当該特例申告書に係る輸入の申告書 (ロ)署名
4.(イ)関税法第20条第1項の規定による外国貿易船の不開港への出入に係る許可申請書 (ロ)記名及び押印
5.(イ)関税法第20条第1項の規定による外国貿易船の不開港への出入に係る許可申請書 (ロ)署名",2,"通関業者は、他人の依頼に応じて税関官署に提出する通関書類のうち政令で定めるもの（通関士が通関業務に従事している営業所における通関業務に係るものに限る。）については、通関士にその内容を審査させ、かつ、これに記名させなければならない(業法14条)。かつては記名及び押印を要していたが、令和4年度法改正により現在は記名のみで足りることとなった。

この政令で定める通関書類に、関税法7条の2第1項に規定する特例申告書と、当該特例申告書に係る輸入の申告書は挙げられているが、関税法20条1項の規定による外国貿易船の不開港への出入に係る許可申請書は挙げられていない(業令6条)。

[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（3）通関士の審査記名]"
通関業者、通関士等の義務,56-4-2,A,"通関業法第14条に規定する通関士の審査の義務は、(ハ)に(ニ)を置いた場合であっても負うものとされている。
通関業法第14条の規定による通関士の記名の有無は、同条に規定する(ホ)に影響を及ぼすものと解してはならない。","1.(ハ)通関士を設置する必要のない営業所 (ニ)通関士 (ホ)通関手続の適正かつ迅速な実施
2.(ハ)通関士を設置する必要のない営業所 (ニ)通関士 (ホ)通関書類の効力
3.(ハ)通関士を設置する必要のない地域に所在する営業所 (ニ)通関士 (ホ)通関書類の効力
4.(ハ)通関士を設置する必要のない地域に所在する営業所 (ニ)専任の通関士 (ホ)通関書類の効力
5.(ハ) 通関士を設置する必要のない地域に所在する営業所 (ニ)専任の通関士 (ホ)通関手続の適正かつ迅速な実施",2,"通関士の審査及び記名の義務(業14条)は、通関士を設置する必要のない営業所に通関士を置いた場合であっても負うものとする(業通14-1)。なお、専任の通関士というのは、かつて存在した概念であるが、法改正により今はない。

法14条の規定による通関士の記名の有無は、同条に規定する通関書類の効力に影響を及ぼすものと解してはならない(業21条)。

[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（3）通関士の審査記名]"
通関士の確認,56-5-1,A,通関業者は、通関士試験に合格した者を通関士としてその通関業務に従事させようとするときは、(イ)、(ロ)の名称その他政令で定める事項を財務大臣に届け出なければならない。,"1.(イ)その者の氏名 (ロ)通関書類の審査を行わせようとする場所
2.(イ)その者の氏名 (ロ)在宅勤務を行わせようとする場合における勤務場所
3.(イ)その者の氏名 (ロ)通関業務に従事させようとする営業所
4.(イ)その通関業務を行う営業所の責任者の氏名 (ロ)在宅勤務を行わせようとする場合における勤務場所
5.(イ)その通関業務を行う営業所の責任者の氏名 (ロ)通関業務に従事させようとする営業所",3,"通関業者は、通関士試験に合格した者を通関士という名称を用いてその通関業務に従事させようとするときは、その者の氏名、通関業務に従事させようとする営業所の名称その他政令で定める事項を財務大臣に届け出なければならない(業31条1項)。
[参照　第8編（通関業法）-第4章（通関士）-1.通関士の確認]"
通関士の確認,56-5-2,A,"関税法第108条の4から第112条までの規定に該当する違反行為をした者であって、(ハ)から(ニ)を経過しないものは、通関士となることができない。
通関業法第34条第1項(通関業者に対する監督処分)の規定により通関業務の停止の処分を受けた者（(ホ)を含む。）であって、その停止の期間が経過しないものは、通関士となることができない。","1.(ハ)当該違反行為に対する罰金の刑に処せられた日(ニ)5年 (ホ)当該処分の基因となった違反行為をした者
2.(ハ)当該違反行為に対する罰金の刑に処せられた日 (ニ)3年 (ホ)当該処分を受けた通関業者の役員であった者
3.(ハ)当該違反行為に対する通告処分を受けた日 (ニ)2年 (ホ)当該処分の基因となった違反行為をした者
4.(ハ) 当該違反行為に対する通告処分を受けた日 (ニ)3年 (ホ)当該処分を受けた通関業者の役員であった者
5.(ハ)当該違反行為があった日 (ニ)2年 (ホ)当該処分の基因となった違反行為をした者",5,"関税法108条の4から112条までの規定に該当する違反行為をした者であって、当該違反行為があった日から2年を経過しないものは、通関士となることができない(業31条2項2号、6条4号イ)。

通関業法34条1項(通関業者に対する監督処分)の規定により通関業務の停止の処分を受けた者（当該処分の基因となった違反行為をした者を含む。）であって、その停止の期間が経過しないものは、通関士となることができない(業31条2項3号イ)。

[参照　第2編（関税法）-第8章（AEO事業者等になるための要件と失効・取消し等）-5.通関士、通関業者-（1）要件]"
定義、目的（通関業法）,56-6-1,A,他人の依頼によってその依頼をした者を代理してする関税法第32条の規定による保税地域にある外国貨物の見本の一時持出しに係る許可の申請は、関連業務に含まれる。,○×,○,"他人の依頼によってその依頼をした者を代理してする関税法32条の規定による保税地域にある外国貨物の見本の一時持出しに係る許可の申請は、関連業務である(業7条、業通7-1(1)ニ)。
[参照　第8編（通関業法）-第1章（通関業法の目的と定義）-2.定義-（3）関連業務]"
