カテゴリー,問題番号,重要度,問題,選択肢,正解,解説
通関業法（定義、目的（通関業法））,53-1-1,A,通関業法は、(イ)についてその業務の(ロ)、通関士の設置等必要な事項を定め、その業務の適正な運営を図ることにより、関税の(ハ)その他貨物の通関に関する手続の(ニ)な実施を確保することを目的とするものである。,"1.(イ)通関業を営む者 (ロ)範囲 (ハ)徴収(ニ)適切
2.(イ)通関業務を営む者 (ロ)範囲 (ハ)徴収 (ニ)適確
3.(イ)業として輸出又は輸入の申告を行う者 (ロ)規制 (ハ)申告納付(ニ)適切
4.(イ)業として輸出又は輸入の申告を行う者 (ロ)範囲 (ハ)徴収 (ニ)適切
5.(イ)通関業を営む者 (ロ)規制 (ハ)申告納付 (ニ)適正かつ迅速",5,"通関業を営む者についてその業務の規制、通関士の設置等必要な事項を定め、その業務の適正な運営を図ることにより、関税の申告納付その他貨物の通関に関する手続の適正かつ迅速な実施を確保することを目的とする(業1条)。
[参照　第8編（通関業法）-第1章（通関業法の目的と定義）-1.目的]"
通関業法（定義、目的（通関業法））,53-1-2,A,「通関業務」とは、他人の依頼によって、関税法に基づき税関官署に対してする輸出又は輸入の申告等の手続又は行為につき、その依頼をした者の(ホ)をすることをいう。,"1.(ホ)代行
2.(ホ)代理
3.(ホ)代理又は代行
4.(ホ)納税",3,"通関業務とは、他人の依頼によって、関税法に基づき税関官署に対してする輸出又は輸入の申告等の手続又は行為につき、その依頼をした者の代理又は代行をすることをいい、通関業とは、業として通関業務を行うことをいう(業2条1項1号、2号)。

通関業務には、他人の依頼によって、通関手続、不服申立て、税関官署に対する主張又は陳述の代理又は代行をすることと、他人の依頼によって通関書類を作成することが含まれるが、本問では通関手続の一つである「関税法に基づき税関官署に対してする輸出又は輸入の申告」を挙げて最後に「等」とつけることで前者を表現している。(イ)に「代理又は代行」を入れると正しい内容になる。

[参照　第8編（通関業法）-第1章（通関業法の目的と定義）-2.定義-（1）通関業、通関業者、通関士、（2）通関業務]"
通関業法（通関業の許可）,53-2-1,A,"財務大臣は、許可申請者が次のいずれかに該当する場合には、通関業の許可をしてはならない。
・関税法第111条(許可を受けないで輸出入する等の罪)の規定に該当する違反行為をして同法の規定により通告処分を受けた者であって、その(イ)から(ロ)を経過しないもの
・通関業法の規定に違反する行為をして(ハ)に処せられた者であって、その執行を終わり、又は執行を受けることがなくなってから(ロ)を経過しないもの
","1.(イ)違反行為をした日 (ロ)1年 (ハ)拘禁刑以上の刑
2.(イ)違反行為をした日 (ロ)2年 (ハ)拘禁刑以上の刑 
3.(イ)通告処分を受けた日 (ロ)2年 (ハ)拘禁刑以上の刑
4.(イ)通告の旨を履行した日 (ロ)3年 (ハ)罰金以上の刑 
5.(イ)通告の旨を履行した日 (ロ)5年 (ハ)罰金以上の刑",4,"財務大臣は、許可申請者が次のいずれかに該当する場合には、通関業の許可をしてはならない。
・関税法111条(許可を受けないで輸出入する等の罪)の規定に該当する違反行為をして同法の規定により通告処分を受けた者であって、その通告の旨を履行した日から3年を経過しないもの(業6条4号イ)
・通関業法の規定に違反する行為をして罰金の刑に処せられた者であって、その執行を終わり、又は執行を受けることがなくなってから3年を経過しないもの(業6条5号)

[参照　第2編（関税法）-第8章（AEO事業者等になるための要件と失効・取消し等）-5.通関士、通関業者-（1）要件]"
通関業法（通関業の許可）,53-2-2,A,"財務大臣は、許可申請者が次のいずれかに該当する場合には、通関業の許可をしてはならない。
・暴力団員による不当な行為の防止等に関する法律第2条第6号に規定する暴力団員でなくなった日から(ニ)を経過していない者
・公務員で懲戒免職の処分を受け、当該処分を受けた日から(ホ)を経過しないもの","1.(ニ)5年 (ホ)1年 
2.(ニ)5年 (ホ)2年
3.(ニ)7年 (ホ)1年 
4.(ニ)7年 (ホ)3年 
5.(ニ)10年 (ホ)3年",2,"財務大臣は、許可申請者が次のいずれかに該当する場合には、通関業の許可をしてはならない。
・暴力団員による不当な行為の防止等に関する法律2条6号に規定する暴力団員でなくなった日から5年を経過していない者(業6条7号)
・公務員で懲戒免職の処分を受け、当該処分を受けた日から2年を経過しないもの(業6条9号)

[参照　第2編（関税法）-第8章（AEO事業者等になるための要件と失効・取消し等）-5.通関士、通関業者-（1）要件]"
通関業法（許可等に基づく地位の承継）,53-3-1,A,通関業者について相続があったときは、その相続人(相続人が2人以上ある場合において、その(イ)により通関業の許可に基づく地位を承継すべき相続人を選定したときは、その者)は、被相続人の当該許可に基づく地位を承継する。この場合において、当該地位を承継した者は、被相続人の死亡後(ロ)、その承継について財務大臣に承認の申請をすることができる。,"1.(イ)過半数の合意 (ロ)30日以内に
2. (イ)過半数の合意 (ロ)90日以内に
3. (イ)過半数の同意 (ロ)60日以内に
4. (イ)過半数の同意 (ロ)90日以内に
5. (イ)全員の同意 (ロ)60日以内に",5,"通関業者について相続があったときは、その相続人（相続人が二人以上ある場合において、その全員の同意により通関業の許可に基づく地位を承継すべき相続人を選定したときは、その者）は、被相続人の当該許可に基づく地位を承継する。この場合において、通関業の許可に基づく地位を承継した者は、被相続人の死亡後60日以内に、その承継について財務大臣に承認の申請をすることができる(業11条の2第1項、2項)。
[参照　第2編（関税法）-第9章（許可等に基づく地位の承継）-1.死亡（相続）の場合]"
通関業法（許可等に基づく地位の承継）,53-3-2,A,通関業者について分割があった場合において、(ハ)財務大臣の承認を受けたときは、(ニ)は、当該分割をした法人の通関業の許可に基づく地位を承継することができる。財務大臣は、通関業の許可に基づく地位の承継を承認するに際し、当該承認をしようとする承継に係る通関業の許可に通関業法第3条第2項の規定に基づき条件が付されている場合には、これを(ホ)、又は新たに条件を付することができる。,"1.(ハ)30日以内に (ニ)分割により設立された法人 (ホ)取り消し
2.(ハ)30日以内に (ニ)分割により設立された法人 (ホ)取り消し、変更し
3.(ハ)あらかじめ (ニ)分割により通関業を承継した法人 (ホ)取り消し、変更し
4.(ハ)あらかじめ (ニ)分割をした法人及び分割により設立された法人のすべての法人 (ホ)取り消し、変更し
5.(ハ)あらかじめ (ニ)分割をした法人及び分割により設立された法人のすべての法人 (ホ)変更し",3,"通関業者について分割があった場合において、あらかじめ財務大臣の承認を受けたときは、分割により通関業を承継した法人は、当該分割をした法人の当該通関業の許可に基づく地位を承継することができる。財務大臣は、通関業の許可に基づく地位の承継を承認をするに際し、当該承認をしようとする承継に係る通関業の許可について付されている場合には、これを取り消し、変更し、又は新たに条件を付することができる(業11条の2第4項、6項)。
[参照　第2編（関税法）-第9章（許可等に基づく地位の承継）-2.合併、分割、業務の譲渡の場合、3.共通事項]"
通関業法（通関業者、通関士等の義務）,53-4-1,A,通関業者は、他人の依頼に応じて税関官署に提出する(イ)のうち政令で定めるもの(通関士が(ロ)に従事している営業所における(ロ)に係るものに限る。)については、通関士にその(ハ)を審査させ、かつ、これに(ニ)させなければならない。,"1.(イ)輸出又は輸入の申告書類 (ロ)輸出又は輸入の申告業務 (ハ)適否 (ニ)記名押印
2.(イ)輸出又は輸入の申告書類 (ロ)輸出又は輸入の申告業務 (ハ)適否 (ニ)記名
3.(イ)関連書類 (ロ)関連業務 (ハ)適否 (ニ)署名
4.(イ)通関書類 (ロ)通関業務 (ハ)内容 (ニ)記名
5.(イ)通関書類 (ロ)通関業務 (ハ)内容 (ニ)記名押印",4,"通関業者は、他人の依頼に応じて税関官署に提出する通関書類のうち政令で定めるもの（通関士が通関業務に従事している営業所における通関業務に係るものに限る。）については、通関士にその内容を審査させ、かつ、これに記名させなければならない(業14条)。
[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（3）通関士の審査記名]"
通関業法（通関業者、通関士等の義務）,53-4-2,A,通関業者は、他人の依頼に応じて税関官署に提出する通関書類のうち政令で定めるもの（通関士が通関業務に従事している営業所における通関業務に係るものに限る。）については、通関士にその内容を審査させ、かつ、これに記名させなければならないが、記名の有無は、当該通関書類の効力に影響を(ホ)ものと解してはならない。,"1.(ホ) 与えない
2.(ホ) 及ぼさない
3.(ホ) 及ぼす",3,"通関業者は、他人の依頼に応じて税関官署に提出する通関書類のうち政令で定めるもの（通関士が通関業務に従事している営業所における通関業務に係るものに限る。）については、通関士にその内容を審査させ、かつ、これに記名させなければならないが、記名の有無は、当該通関書類の効力に影響を及ぼすものと解してはならない(業21条)。
[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（3）通関士の審査記名]"
通関業法（通関業者に対する監督処分）,53-5-1,A,財務大臣は、通関業者の役員その他通関業務に従事する者につき、通関業者の(イ)を害するような行為があった場合において、その(ロ)があるときは、その通関業者に対し、(ハ)の期間を定めて通関業務の全部若しくは一部の停止を命じ、又は許可の取消しをすることができる。,"1.(イ)品位 (ロ)通関業者に過失 (ハ)1年間
2.(イ)品位 (ロ)通関業者を疑うに足りる相当な理由 (ハ)2年間
3.(イ)信用 (ロ)通関業者の責めに帰すべき理由 (ハ)1年以内
4.(イ)信用 (ロ)通関業者に過失 (ハ)2年以内 
5.(イ)利益 (ロ)通関業者の責めに帰すべき理由 (ハ)3年以内",3,"財務大臣は、通関業者の役員その他通関業務に従事する者につき、通関業者の信用を害するような行為があった場合において、その通関業者の責めに帰すべき理由があるときは、その通関業者に対し、1年以内の期間を定めて通関業務の全部若しくは一部の停止を命じ、又は許可の取消しをすることができる(業34条1項2号)。
[参照　第8編（通関業法）-第5章（監督処分、懲戒処分等）-1.通関業者に対する監督処分]"
通関業法（通関士に対する懲戒処分）,53-5-2,A,財務大臣は、通関士が通関業法又は関税法その他関税に関する法令の規定に違反したときは、その通関士に対し、(ニ)し、1年以内の期間を定めてその者が通関業務に従事することを停止し、又は(ホ)その者が通関業務に従事することを禁止することができる。,"1.(ニ)訓告 (ホ)1年間 
2.(ニ)訓告 (ホ)2年間
3.(ニ)戒告 (ホ)2年間 
4.(ニ)懲戒処分 (ホ)2年間 
5.(ニ)懲戒処分 (ホ)6月間 ",3,"財務大臣は、通関士がこの法律又は関税法その他関税に関する法令の規定に違反したときは、その通関士に対し、戒告し、1年以内の期間を定めてその者が通関業務に従事することを停止し、又は2年間その者が通関業務に従事することを禁止することができる(業35条1項)。
[参照　第8編（通関業法）-第5章（監督処分、懲戒処分等）-3.通関士に対する懲戒処分]"
