カテゴリー,問題番号,重要度,問題,選択肢,正解,解説
通関業法（定義、目的（通関業法））,57-1-1,A,"通関業法は、通関業を営む者についてその(イ)、通関士の設置等必要な事項を定め、その業務の(ロ)運営を図ることにより、関税の(ハ)その他貨物の通関に関する手続の(ニ)な実施を確保することを目的とする。
「通関業」とは、(ホ)通関業務を行うことをいう。","1.(イ)経営に関する事項(ロ)健全な(ハ)申告納付(ニ)円滑かつ迅速(ホ)依頼者から料金を受領して
2.(イ)経営に関する事項(ロ)健全な(ハ)申告納付(ニ)円滑かつ迅速(ホ)他人の依頼によって
3.(イ)業務の規制(ロ)適正な(ハ)申告納付(ニ)適正かつ迅速(ホ)業として
4.(イ)業務の規制(ロ)適切かつ確実(ハ)確定及び納付(ニ)適切かつ迅速(ホ)他人の依頼によって
5.(イ)通関業務の依頼者の保護(ロ)適切かつ確実(ハ)賦課徴収(ニ)適切かつ迅速(ホ)業として",3,"通関業法1条によると、通関業法は、通関業を営む者についてその業務の規制、通関士の設置等必要な事項を定め、その業務の適正な運営を図ることにより、関税の申告納付その他貨物の通関に関する手続の適正かつ迅速な実施を確保することを目的とするとされる。

通関業法2条2号によると、「通関業」とは、業として通関業務を行うことをいうとされる。

[参照　第8編（通関業法）-第1章（通関業法の目的と定義）-1.目的、2.定義-（1）通関業、通関業者、通関士]"
通関業法（定義、目的（通関業法））,57-2-1,A,"通関業務には、他人の依頼によって、次の手続又は行為につき、その依頼をした者の代理又は代行をすることを含む。
(1)関税法その他関税に関する法令に基づき税関官署に対してする輸入の申告からその(イ)を得るまでの手続(関税の(ロ)に関する手続を含む。)
(2)関税法その他関税に関する法令の規定に基づく税関官署の調査、検査又は処分につき、税関官署に対してする(ハ)又は陳述","1.(イ)回答(ロ)確定(ハ)質問
2.(イ)承認(ロ)確定(ハ)主張
3.(イ)認可(ロ)納付(ハ)質問
4.(イ)許可(ロ)確定及び納付(ハ)主張
5.(イ)確定(ロ)確定及び納付(ハ)質問",4,"関税法その他関税に関する法令に基づき税関官署に対してする輸入の申告からその許可を得るまでの手続(関税の確定及びに関する手続を含む。)、つまり輸入申告から輸入許可を受けるまでの手続は通関手続であり、これにつき依頼者の代理又は代行をすることは、通関業務である(業2条1号イ(1)(一))。

また、関税法その他関税に関する法令の規定に基づく税関官署の調査・検査・処分につき税関官署に対してする主張又は陳述について、依頼者の代理又は代行をすることも、通関業務である(業2条1号イ(3))。

[参照　第8編（通関業法）-第1章（通関業法の目的と定義）-2.定義-（2）通関業務-②通関手続、④主張又は陳述]"
通関業法（定義、目的（通関業法））,57-2-2,A,通関業者は、通関業務のほか、その関連業務として、(ニ)を用いて、他人の依頼に応じ、通関業務に(ホ)し、後続し、その他当該通関業務に関連する業務を行うことができる。,"1.(ニ)通関業者の名称(ホ)先行
2.(ニ) 通関業者の名称(ホ)付随
3.(ニ) 通関業者の名称(ホ)並行
4.(ニ) 通関士の名義(ホ)先行
5.(ニ) 依頼者の名称(ホ)付随",1,"通関業者は、通関業務のほか、その関連業務として、通関業者の名称を用いて、他人の依頼に応じ、通関業務に先行し、後続し、その他当該通関業務に関連する業務を行うことができる(業7条)。
[参照　第8編（通関業法）-第1章（通関業法の目的と定義）-2.定義-（3）関連業務]"
通関業法（通関業の許可）,57-3-1,A,"財務大臣は、許可申請者が次のいずれかに該当する場合には、通関業の許可をしてはならない。
(1)関税法第110条第1項(関税を免れる等の罪)の規定に該当する違反行為をして同法の規定により通告処分を受けた者であって、その(イ)から(ロ)を経過しないもの
(2)公務員で懲戒免職の処分を受け、当該処分を受けた日から(ハ)を経過しないもの
(3)法人であって、その役員(いかなる名称によるかを問わず、これと同等以上の(ニ)を有する者を含む。)のうちに、(ホ)以上の刑に処せられた者であって、その執行を終わり、又は執行を受けることがなくなってから(ロ)を経過しない者があるもの","1.(イ)通告の旨を履行した日(ロ)3年(ハ)2年(ニ)影響力(ホ)拘禁刑
2.(イ)通告の旨を履行した日(ロ)3年(ハ)2年(ニ)職権又は支配力(ホ)拘禁刑 
3.(イ)通告処分を受けた日の翌日(ロ)4年(ハ)3年(ニ)地位(ホ)拘禁刑
4.(イ)通告処分を受けた日の翌日(ロ)5年(ハ)3年(ニ)地位(ホ)科料
5.(イ)通告処分を受けた日の翌日から起算して20日を経過した日(ロ)7年(ハ)3年(ニ)地位(ホ)拘留",2,"通関業の許可をしてはならない場合はいくつかあるが、それらのうち本問で挙げられているものは、
(1)関税法110条第1項(関税を免れる等の罪)の規定に該当する違反行為をして同法の規定により通告処分を受けた者であって、その通告の旨を履行した日から3年を経過しないもの
(2)公務員で懲戒免職の処分を受け、当該処分を受けた日から2年を経過しないもの
(3)法人であって、その役員(いかなる名称によるかを問わず、これと同等以上の職権又は支配力を有する者を含む。)のうちに、拘禁刑以上の刑に処せられた者であって、その執行を終わり、又は執行を受けることがなくなってから3年を経過しない者があるもの
となる(業法6条4号イ、9号、10号、3号)。
[参照　第2編（関税法）-第8章（AEO事業者等になるための要件と失効・取消し等）-5.通関士、通関業者-（1）要件]"
通関業法（通関業者、通関士等の義務）,57-4-1,A,法人である通関業者は、通関業務を行う営業所に、(イ)従業者が新たに置かれた場合は、(ロ)、その者の(ハ)その他参考となるべき事項を記載した届出書を財務大臣に提出しなければならない。,"1.(イ)営業担当の(ロ)その異動の日後10日以内に(ハ)氏名
2.(イ)営業担当の(ロ)その異動の日後10日以内に(ハ) 氏名及び国籍
3.(イ)経理事務の(ロ)毎年1回(ハ)氏名
4.(イ)通関業務の(ロ)毎年1回(ハ)氏名及び住所
5.(イ)通関業務の(ロ)その都度(ハ)氏名",5,"法人である通関業者は、通関業務を行う営業所に、通関業務の従業者が新たに置かれた場合は、その都度、その者の氏名その他参考となるべき事項を記載した届出書を財務大臣に提出しなければならない(業22条2項、業令9条1項)。
[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（8）記帳、届出、報告等-②届出義務]"
通関業法（通関業者、通関士等の義務）,57-4-2,A,法人である通関業者は、(ニ)が新たに置かれた場合に財務大臣に提出する届出書に、当該(ニ)の(ホ)その他参考となるべき書面を添付しなければならない。,"1.(ニ)通関業務を担当する役員(ホ)履歴書
2.(ニ)通関業務を担当する役員(ホ)住民票
3.(ニ)会計監査人(ホ)住民票
4.(ニ)会計監査人(ホ)戸籍謄本
5.(ニ)監査役(ホ)戸籍謄本",1,"法人である通関業者は、通関業務を担当する役員が新たに置かれた場合に財務大臣に提出する届出書に、当該通関業務を担当する役員の履歴書その他参考となるべき書面を添付しなければならない(業22条2項、業令9条1項)。
[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（8）記帳、届出、報告等-②届出義務]"
通関業法（通関業者に対する業務改善命令）,57-5-1,A,"財務大臣は、(イ)のために必要があると認めるときは、その必要の限度において、通関業者に対し、その業務の運営の改善に必要な措置をとるべきことを命ずることができる。
財務大臣は、通関業者が次のいずれかに該当するときは、その通関業者に対し、1年以内の期間を定めて通関業務の全部若しくは一部の停止を命じ、又は(ロ)をすることができる。
(1)通関業者が、(ハ)の規定に違反したとき。
(2)通関業者の役員につき、(ハ)の規定に違反する行為があった場合又は通関業者
の(ニ)ような行為があった場合において、その(ホ)があるとき。","1.(イ)通関手続の迅速な実施(ロ)許可の取消し(ハ)法令遵守のための社内管理規則(ニ)名誉を毀損する(ホ)通関業者の責めに帰すべき理由
2.(イ)通関業の適正な遂行(ロ)許可の取消し(ハ)法令遵守のための社内管理規則(ニ)名誉を毀損する(ホ)通関業者の責めに帰すべき理由
3.(イ)通関業の適正な遂行(ロ)許可の取消し(ハ)関税法その他関税に関する法令(ニ)信用を害する(ホ)通関業者の責めに帰すべき理由
4.(イ)通関業の運営に係る透明性の確保(ロ)通関業の廃止の命令(ハ)関税法その他関税に関する法令(ニ)利益を損なう(ホ)通関業者に重大な過失
5.(イ)通関業の運営に係る透明性の確保(ロ)通関業の廃止の命令(ハ)国税又は地方税に関する法令(ニ)利益を損なう(ホ)通関業者に財産上の損害",3,"財務大臣は、通関業の適正な遂行のために必要があると認めるときは、その必要の限度において、通関業者に対し、その業務の運営の改善に必要な措置をとるべきことを命ずることができる(業務改善命令  業法33条の2)。

財務大臣は、通関業者が次のいずれかに該当するときは、その通関業者に対し、1年以内の期間を定めて通関業務の全部若しくは一部の停止を命じ、又は許可の取消しをすることができる(業34条1項)。
（1）通関業者が、通関業法若しくは通関業法に基づく命令若しくはこれらに基づく処分若しくは通関業の許可（営業所の新設の許可を含む。）に付された条件（変更され、又は新たに付された条件を含む。）又は関税法その他関税に関する法令の規定に違反したとき。
（2）通関業者の役員その他通関業務に従事する者につき、通関業法、通関業法に基づく命令若しくは関税法その他関税に関する法令の規定に違反する行為があつた場合又は通関業者の信用を害するような行為があった場合において、その通関業者の責めに帰すべき理由があるとき。

[参照　第8編（通関業法）-第5章（監督処分、懲戒処分等）-1.通関業者に対する監督処分、2.通関業者に対する業務改善命令]"
通関業法（通関業の許可）,57-6-1,A,通関業者は、通関業法第13条の規定により通関業務を行う営業所に置かれている通関士の数に変更があった場合には、通関業法第12条（変更等の届出）の規定により、遅滞なくその旨を財務大臣に届け出なければならない。,○×,○,"通関業務を行う営業所には通関士を設置する義務があり(業13条)、その置かれている通関士の数に変更があった場合には、通関業者は遅滞なくその旨を財務大臣に届け出なければならない(業12条1号、4条1項3号)。
[参照　第8編（通関業法）-第2章（通関業の許可）-6.許可の申請事項等の変更等の届出]"
通関業法（通関業の許可）,57-6-2,A,通関業者は、通関業務を行う営業所における通関士以外の通関業務の従業者の数に変更があった場合には、通関業法第12条（変更等の届出）の規定により、遅滞なくその旨を財務大臣に届け出なければならない。,○×,×,"通関業務を行う営業所には通関士を設置する義務があり(業13条)、その置かれている通関士の数に変更があった場合には、通関業者は遅滞なくその旨を財務大臣に届け出なければならないが、通関士以外の通関業務の従業者の数については届出対象となっていない(業12条1号、4条1項3号)。なお、営業所における通関業務の従業者の数に変更があったということは、通関業務の従業者に異動があったということになるので、その都度、異動の届出(業22条2項)を要するが、本問で問われているのは通関業法12条（変更等の届出）の規定による届出が必要かどうかである。条文番号だけでは区別できなくても、「遅滞なく」する届出は許可申請事項等の変更等の届出で、「その都度」する届出は異動の届出だと覚えておくと区別ができる。
[参照　第8編（通関業法）-第2章（通関業の許可）-6.許可の申請事項等の変更等の届出]"
通関業法（通関業の許可）,57-6-3,A,通関業者は、通関業以外に営む事業の種類に変更があった場合には、通関業法第12条（変更等の届出）の規定により、遅滞なくその旨を財務大臣に届け出なければならない。,○×,○,"通関業者は、通関業以外に営む事業の種類を通関業の許可申請書に記載する必要があり(業4条1項5号)、変更があった場合には、遅滞なくその旨を財務大臣に届け出なければならない(業12条1号)。
[参照　第8編（通関業法）-第2章（通関業の許可）-6.許可の申請事項等の変更等の届出]"
