カテゴリー,問題番号,重要度,問題,選択肢,正解,解説
定義、目的（通関業法）,59-1-1,A,通関業法は、通関業を営む者についてその業務の（イ）、（ロ）等必要な事項を定め、その業務の適正な運営を図ることにより、関税の申告納付その他貨物の（ハ）に関する手続の適正かつ迅速な実施を確保することを目的とする。,"1.(イ)規制 (ロ)通関士の設置 (ハ)通関
2.(イ)目的 (ロ)通関士の設置 (ハ)取扱い
3.(イ)反復継続 (ロ)業務体制の構築 (ハ)取扱い
4.(イ)規制 (ロ)業務体制の構築 (ハ)性質
5.(イ)目的 (ロ)規制 (ハ)性質",1,"通関業法は、通関業を営む者についてその業務の規制、通関士の設置等必要な事項を定め、その業務の適正な運営を図ることにより、関税の申告納付その他貨物の通関に関する手続の適正かつ迅速な実施を確保することを目的とする(業1条)。

[参照　第8編（通関業法）-第1章（通関業法の目的と定義）-1.目的]"
定義、目的（通関業法）,59-1-2,A,「業として通関業務を行う」とは、営利の目的をもって通関業務を（ニ）して行い、又は（ニ）して行う意思をもって行う場合をいい、営利の目的が直接的か間接的かは問わないものとし、通関業務が他の業務に（ホ）して無償で行われる場合もこれに該当することとされている。,"1.(ニ)反復継続 (ホ)附帯
2.(ニ)反復継続 (ホ)先行
3.(ニ)連続 (ホ)附帯
4.(ニ)連続 (ホ)先行
5.(ニ)先行 (ホ)連続",1,"「業として通関業務を行う」とは、営利の目的をもって通関業務を反復継続して行い、又は反復継続して行う意思をもって行う場合をいい、営利の目的が直接的か間接的かは問わないものとし、通関業務が他の業務に附帯して無償で行われる場合もこれに該当することとされている(業通2-3)。

[参照　第8編（通関業法）-第1章（通関業法の目的と定義）-2.定義-（1）通関業、通関業者、通関士]"
通関業の許可,59-2-1,A,"財務大臣は、許可申請者が次のいずれかに該当する場合には、通関業の許可をしてはならない。
・関税法第110条第1項（関税を免れる等の罪）の規定に該当する違反行為をして同法の規定により（イ）処分を受けた者であって、その（イ）の旨を履行した日から（ロ）を経過しないもの
・公務員で（ハ）の処分を受け、当該処分を受けた日から2年を経過しないもの","1.(イ)監督 (ロ)7年 (ハ)減給
2.(イ)監督 (ロ)5年 (ハ)減給
3.(イ)戒告 (ロ)5年 (ハ)監督
4.(イ)戒告 (ロ)3年 (ハ)懲戒免職
5.(イ)通告 (ロ)3年 (ハ)懲戒免職",5,"財務大臣は、許可申請者が次のいずれかに該当する場合には、通関業の許可をしてはならない(業6条4号イ、9号)。
・関税法第110条第1項（関税を免れる等の罪）の規定に該当する違反行為をして同法の規定により通告処分を受けた者であって、その通告の旨を履行した日から3年を経過しないもの
・公務員で懲戒免職の処分を受け、当該処分を受けた日から2年を経過しないもの

[参照　第2編（関税法）-第8章（AEO事業者等になるための要件と失効・取消し等）-5.通関士、通関業者-（1）要件]"
通関業の許可,59-2-2,C,通関業法第6条第11号に規定する「暴力団員等によりその事業活動を支配されている者」とは、暴力団員等が自己又は他人の名義で（ニ）をし、これを背景として事業活動に相当の（ホ）を及ぼしている法人のほか、例えば、融資関係、人的派遣関係又は取引関係等を通じて、結果的に暴力団員等が事業活動に相当程度の（ホ）を有するに至っているものが含まれることとされている。,"1.(ニ)登記 (ホ)拘束力
2.(ニ)登記 (ホ)影響力
3.(ニ)多額の出資 (ホ)影響力
4.(ニ)多額の出資 (ホ)組織力
5.(ニ)事業の報告 (ホ)組織力",3,"通関業法6条11号に規定する「暴力団員等によりその事業活動を支配されている者」とは、暴力団員等が自己又は他人の名義で多額の出資をし、これを背景として事業活動に相当の影響力を及ぼしている法人のほか、例えば、融資関係、人的派遣関係又は取引関係等を通じて、結果的に暴力団員等が事業活動に相当程度の影響力を有するに至っているものが含まれることとされている(業通6-4-2)。

[参照　第2編（関税法）-第8章（AEO事業者等になるための要件と失効・取消し等）-5.通関士、通関業者-（1）要件]"
通関業の許可,59-3-1,A,通関業者である法人が通関業を廃止し、その通関業の許可が（イ）場合には、（ロ）が、遅滞なくその旨を財務大臣に届け出なければならない。この場合において、現に進行中の通関手続があるときは、当該手続については、その（ハ）が引き続き当該許可を受けているものとみなす。,"1.(イ)失効した (ロ)許可を受けていた者 (ハ)通関手続の責任者であった者
2.(イ)失効した (ロ)通関業者であった法人の清算人 (ハ)許可を受けていた者
3.(イ)消滅した (ロ)通関業者であった法人を代表する役員 (ハ)許可を受けていた者
4.(イ)消滅した (ロ)通関手続の責任者であった者 (ハ)通関手続を担当していた通関士
5.(イ)取り消された (ロ)専門委員 (ハ)通関手続を担当していた通関士",3,"通関業者である法人が通関業を廃止し、その通関業の許可が消滅した場合には、通関業者であった法人を代表する役員が、遅滞なくその旨を財務大臣に届け出なければならない。この場合において、現に進行中の通関手続があるときは、当該手続については、その許可を受けていた者が引き続き当該許可を受けているものとみなす(業10条3項、12条3号、業令4条1号)。
[参照　第8編（通関業法）-第2章（通関業の許可）-6.許可の申請事項等の変更等の届出、第2編（関税法）-第8章（AEO事業者等になるための要件と失効・取消し等）-5.通関士、通関業者-（2）消滅事由、取消事由、資格喪失事由-②消滅事由]"
通関業の許可,59-3-2,A,財務大臣は、通関業の許可の取消しをしようとするときは、通関業務に関し（ニ）のある者のうちから委嘱した（ホ）の意見を聴かなければならない。,"1.(ニ)利害関係 (ホ)専門委員
2.(ニ)学識経験 (ホ)専門委員
3.(ニ)学識経験 (ホ)審査委員
4.(ニ)実務経験 (ホ)審査委員
5.(ニ)実務経験 (ホ)通関手続を担当していた通関士",3,"財務大臣は、通関業の許可の取消しをしようとするときは、通関業務に関し学識経験のある者のうちから委嘱した審査委員の意見を聴かなければならない(業11条2項)。
[参照　第2編（関税法）-第8章（AEO事業者等になるための要件と失効・取消し等）-5.通関士、通関業者-（2）消滅事由、取消事由、資格喪失事由-②消滅事由]"
通関業者、通関士等の義務,59-4-1,A,"次の記述は、通関業者又は通関士の義務に関するものである。

通関業者は、その（イ）を他人に（ロ）のため使用させてはならない。
法人である通関業者の（ハ）及び通関士は、通関業者又は通関士の信用又は（ニ）を害するような行為をしてはならない。
通関業者は、正当な理由がなくて、通関業務に関して知り得た秘密を他に漏らしてはならないこととされており、（ホ）は、この「正当な理由」に該当することとされている。","1.(イ)名義 (ロ)通関業 (ハ)役員 (ニ)品位 (ホ)通関業者に利益がある場合
2.(イ)名義 (ロ)通関業 (ハ)役員 (ニ)品位 (ホ)依頼者の許諾がある場合
3.(イ)名義 (ロ)署名 (ハ)責任者 (ニ)品位 (ホ)通関業者に利益がある場合
4.(イ)通関業 (ロ)署名 (ハ)責任者 (ニ)品位 (ホ)依頼者の許諾がある場合
5.(イ)通関業 (ロ)利益 (ハ)責任者 (ニ)資格 (ホ)通関業者に利益がある場合",2,"通関業者は、その名義を他人に通関業のため使用させてはならない(業17条)。
法人である通関業者の役員及び通関士は、通関業者又は通関士の信用又は品位を害するような行為をしてはならない(業20条)。
通関業者は、正当な理由がなくて、通関業務に関して知り得た秘密を他に漏らしてはならないこととされており、依頼者の許諾がある場合は、この「正当な理由」に該当することとされている(業19条、業通19-1(1)イ)。

[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（4）名義貸しの禁止、（6）秘密を守る義務、（7）信用失墜行為の禁止]"
通関業者、通関士等の義務,59-5-1,A,"次の記述は、通関業法第22条に規定する通関業者の記帳、届出、報告等に関するものである。

通関業者は、通関業務に関して帳簿を設け、その（イ）に関する事項を記載するとともに、その取扱いに係る通関業務に関する書類を一定期間保存しなければならない。この「一定期間」とは、帳簿の（ロ）の日又は書類の（ハ）の日後（ニ）年間である。
通関業法第22条第3項の規定により通関業者が財務大臣に提出しなければならない報告書には、報告期間中に取り扱った通関業務についての（ホ）の件数及び受ける料金の額を記載しなければならない。","1.(イ)利益 (ロ)備付け (ハ)記載 (ニ)7 (ホ)税関官署への提出
2.(イ)利益 (ロ)備付け (ハ)記載 (ニ)5 (ホ)受領
3.(イ)収入 (ロ)作成 (ハ)閉鎖 (ニ)3 (ホ)受領
4.(イ)収入 (ロ)閉鎖 (ハ)作成 (ニ)3 (ホ)種類別
5.(イ)損益 (ロ)記載 (ハ)作成 (ニ)3 (ホ)種類別",4,"通関業者は、通関業務に関して帳簿を設け、その収入に関する事項を記載するとともに、その取扱いに係る通関業務に関する書類を一定期間保存しなければならない。この「一定期間」とは、帳簿の閉鎖の日又は書類の作成の日後3年間である(記帳義務 業22条1項、業令8条3項)。
通関業法22条第3項の規定により通関業者が財務大臣に提出しなければならない報告書には、報告期間中に取り扱った通関業務についての種類別の件数及び受ける料金の額を記載しなければならない(業令10条1項1号)。

[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（8）記帳、届出、報告等-①記帳義務、保存義務、③報告義務]"
定義、目的（通関業法）,59-6-1,A,通関業者は、通関業務のほか、その関連業務として、通関業者の名称を用いて、他人の依頼に応じ、通関業務に先行し、後続し、その他当該業務に関連する業務を行うことができるが、通関業法以外の法律においてその業務を行うことが制限されている事項については、この限りでない。,○×,○,"通関業者は、通関業務のほか、その関連業務として、通関業者の名称を用いて、他人の依頼に応じ、通関業務に先行し、後続し、その他その業務に関連する業務を行なうことができる。ただし、他の法律においてその業務を行なうことが制限されている事項については、この限りでない(業7条)。
[参照　第8編（通関業法）-第1章（通関業法の目的と定義）-2.定義-（3）関連業務]"
定義、目的（通関業法）,59-6-2,A,他人の依頼によってその依頼をした者を代理して行う輸入の申告に関し、当該申告の前に行う当該申告に係る開庁時間外の事務の執行を求める届出の手続は、関連業務に含まれることとされている。,○×,○,"他人の依頼によってその依頼をした者を代理して行う輸入の申告に関し、当該申告の前に行う当該申告に係る開庁時間外の事務の執行を求める届出の手続は、関連業務に含まれる(業7条)。
[参照　第8編（通関業法）-第1章（通関業法の目的と定義）-2.定義-（3）関連業務]"
