カテゴリー,問題番号,問題,選択肢,正解,解説
通関業法（通関業の許可）,55-1-1,"財務大臣は、許可申請者が次のいずれかに該当する場合には、通関業の許可をしてはならない。
・拘禁刑以上の刑に処せられた者であって、その執行を終わり、又は執行を受けることがなくなってから(イ)を経過しないもの
・関税法以外の国税に関する法律中偽りその他不正の行為により国税を免れることに関する罪を定めた規定に該当する違反行為をして、(ロ)の規定により通告処分を受けた者であって、その(ハ)から(イ)を経過しないもの","1.(イ)2年 (ロ)国税通則法 (ハ)通告の日
2.(イ)3年 (ロ)国税徴収法 (ハ)通告の旨を履行した日 
3.(イ)3年 (ロ)国税通則法 (ハ)通告の旨を履行した日
4.(イ)5年 (ロ)国税通則法 (ハ)違反行為をした日
5.(イ)5年 (ロ)国税犯則取締法 (ハ)違反行為をした日",3,業法6条3号により、拘禁刑以上の刑に処せられた者であって、その執行を終わり、又は執行を受けることがなくなってから3年を経過しないものには、通関業の許可をしてはならないとされる。また、同4号ロにより、関税法第108条の4から112条まで（罰則）の規定以外の法律で、かつ、国税に関する法律に該当するものの中において、偽りその他不正の行為により国税又は地方税を免れ、納付せず、若しくはこれらの税の還付を受け、又はこれらの違反行為をしようとすることに関する罪を定めた規定に該当する場合は、通関業の許可をしてはならないとされる。
通関業法（通関業の許可）,55-1-2,"財務大臣は、許可申請者が次のいずれかに該当する場合には、通関業の許可をしてはならない。
・暴力団員又は暴力団員でなくなった日から(ニ)を経過していない者
・通関業法の規定により通関業の許可を取り消された者であって、この処分を受けた日から(ホ)を経過しないもの","1.(ニ)10年 (ホ)6月
2.(ニ)10年 (ホ)1年
3.(ニ)10年 (ホ)3年
4.(ニ)5年 (ホ)1年
5.(ニ)5年 (ホ)2年 ",5,業法6条7号により、暴力団員又は暴力団員でなくなった日から5年を経過していない者には、通関業の許可をしてはならないとされる。また、同8号により、通関業の許可を取り消された者であって、これらの処分を受けた日から2年を経過しないものには、通関業の許可をしてはならないとされる。
通関業法（通関業の許可）,55-2-1,通関業者について相続があったときは、その相続人は、被相続人の通関業の許可に基づく地位を承継する。この場合において、当該地位を承継した者は、当該被相続人の死亡後(イ)に、その承継について財務大臣に承認の申請をすることができる。当該承認を受けようとする者は、その相続があった年月日等を記載した申請書を財務大臣に提出しなければならないこととされており、この「相続があった年月日」とは、(ロ)をいう。,"1.(イ)30日以内 (ロ)被相続人の死亡日
2. (イ)60日以内 (ロ)被相続人の死亡日
3. (イ)60日以内 (ロ)相続の開始があったことを知った日
4. (イ)60日以内 (ロ)被相続人の死亡の事実を知った日
5. (イ)90日以内 (ロ)被相続人の死亡の事実を知った日",2,業法11条の2第2項により、相続により通関業の許可に基づく地位を承継した者は、被相続人の死亡後60日以内に、その承継について財務大臣に承認の申請をすることができるとされる。また、施行令3条1項により、当該承認を受けようとする者は、その相続があった年月日等を記載した申請書を財務大臣に提出しなければならないこととされており、この「相続があった年月日」とは、被相続人の死亡日である(基本通達11の2-1(3))。
通関業法（通関業の許可）,55-2-2,通関業者について合併があった場合において、あらかじめ財務大臣の承認を受けたときは、合併後存続する法人又は合併により設立された法人は、当該合併により消滅した法人の通関業の許可に基づく地位を承継することができる。当該承認を受けようとする者は、その合併が予定されている年月日等を記載した申請書を財務大臣に提出しなければならないこととされており、この「合併が予定されている年月日」とは、当該合併が吸収合併である場合には(ハ)、当該合併が新設合併である場合には(ニ)をいう。当該承認の申請は、合併しようとする法人の間の関係が明らかである場合を除き、(ハ)又は(ニ)以前に、(ホ)により行うものとされている。,"1.(ハ)吸収合併契約に関する書面に記載された効力発生日 (ニ)新設合併の登記（成立）予定日 (ホ) 合併しようとする法人の連名
2.(ハ)吸収合併契約の締結予定日 (ニ) 新設合併契約の締結予定日 (ホ)合併により消滅する法人の名称
3.(ハ)吸収合併に関する株主総会の決議予定日 (ニ)合併により設立される法人の定款認証予定日 (ホ)合併後存続する法人又は合併により設立される法人の名称",1,業法11条の2第4項により、通関業者について合併があった場合において、あらかじめ財務大臣の承認を受けたときは、合併後存続する法人又は合併により設立された法人は、当該合併により消滅した法人の通関業の許可に基づく地位を承継することができるとされる。また、施行令3条2項により、当該承認を受けようとする者は、その合併が予定されている年月日等を記載した申請書を財務大臣に提出しなければならないこととされており、この「合併が予定されている年月日」とは、当該合併が吸収合併である場合には吸収合併契約に記載された効力発生日、当該合併が新設合併である場合には新設合併の登記（成立）予定日をいう(基本通達11の2-1(3))。当該承認の申請は、合併しようとする法人の間の関係が明らかである場合を除き、吸収合併契約に記載された効力発生日又は新設合併の登記（成立）予定日以前に、合併しようとする法人の連名により行うものとされている。
通関業法（通関業者・通関士の義務）,55-3-1,"通関業者は、通関業務を(イ)に行うため、その通関業務を行う営業所ごとに、政令で定めるところにより、通関士を置かなければならない。ただし、当該営業所において取り扱う通関業務に係る(ロ)のみに限られている場合は、この限りでない。
","1.(イ)確実(ロ)依頼者が特定の者
2. (イ)適切 (ロ)税関官署が特定の官署
3. (イ)適切 (ロ) 貨物が一定の種類の貨物
4. (イ)適正 (ロ)依頼者が特定の者
5. (イ)適正 (ロ)貨物が一定の種類の貨物",5,業法13条により、通関業者は、通関業務を適正に行うため、その通関業務を行う営業所ごとに、政令で定めるところにより、通関士を置かなければならない。ただし、当該営業所において取り扱う通関業務に係る貨物が一定の種類の貨物のみに限られている場合は、この限りでないとされる。
通関業法（通関業者・通関士の義務）,55-3-2,通関業者は、通関業法第13条の規定により通関士を置かなければならないこととされる営業所ごとに、通関業務に係る(ハ)並びに通関業法施行令第6条に規定する(ニ)の数、種類及び内容に応じて(ホ)の通関士を置かなければならない。,"1.(ハ)貨物の数量及び価格 (ニ)通関手続 (ホ)一人以上
2.(ハ)貨物の数量及び価格 (ニ)通関書類 (ホ)必要な員数
3.(ハ)貨物の性質及び形状 (ニ)通関書類 (ホ)専任
4.(ハ)貨物の数量及び種類 (ニ)通関書類 (ホ)必要な員数
5.(ハ)貨物の性質及び形状 (ニ)通関手続 (ホ)一人以上",4,業法施行令5条により、通関業者は、13条（通関士の設置）の規定により通関士を置かなければならないこととされる営業所ごとに、通関業務に係る貨物の数量及び種類並びに施行令6条（通関士の審査を要する通関書類等）に規定する通関書類の数、種類及び内容に応じて必要な員数の通関士を置かなければならないとされる。
通関業法（通関業者・通関士の義務）,55-4-1,通関業法第17条において、通関業者は、その(イ)を他人に(ロ)のため使用させてはならないこととされている。,"1.(イ)名義 (ロ)通関業
2. (イ)名義 (ロ)通関書類の作成
3. (イ)名義 (ロ)通関手続
4. (イ)情報 (ロ)通関業
5. (イ)情報 (ロ)通関書類の作成",1,通関業者は、その名義を他人に通関業のため使用させてはならない(業法17条)。
通関業法（通関業者・通関士の義務）,55-4-2,通関業法第19条において、通関業者(法人である場合には、その役員)及び通関士その他の通関業務の従業者は、正当な理由がなくて、通関業務に関して知り得た(ハ)を他に漏らし、又は(ニ)してはならないこととされている。通関業法第20条において、通関業者(法人である場合には、その役員)及び通関士は、通関業者又は通関士の(ホ)を害するような行為をしてはならないこととされている。,"1.(ハ)事項 (ニ)盗用 (ホ)名誉又は品格
2.(ハ)情報 (ニ)利用 (ホ)地位
3.(ハ)秘密 (ニ)盗用 (ホ)信用又は品位
4.(ハ)事項 (ニ)盗用 (ホ)信頼又は利益
5.(ハ)秘密 (ニ)利用 (ホ)信頼又は利益",3,業法19条により、通関業者（法人である場合には、その役員）及び通関士その他の通関業務の従業者は、正当な理由がなくて、通関業務に関して知り得た秘密を他に漏らし、又は盗用してはならないとされる。また、業法20条により、通関業者（法人である場合には、その役員）及び通関士は、通関業者又は通関士の信用又は品位を害するような行為をしてはならないとされる。
通関業法（行政処分）,55-5-1,"財務大臣は、通関業者が通関業法の規定に違反したときは、通関業者に対する監督処分として、その通関業者に対し、(イ)以内の期間を定めて通関業務の全部若しくは一部の停止を命じ、又は許可の取消しをすることができる。通関業者に対する監督処分については、通関業法基本通達34-6に定める通関業者監督処分基準表により行うこととされており、処分の級別区分は次のとおりとされている。
1 級…許可の取消処分
2 級…(ロ)を超え(イ)以内の業務停止処分
3 級…(ハ)を超え(ロ)以内の業務停止処分
4 級……(ハ)以内の業務停止処分","1.(イ)6月 (ロ)30日 (ハ)5日
2.(イ)1年 (ロ)30日 (ハ)7日 
3.(イ)1年 (ロ)6月 (ハ)7日
4.(イ)2年 (ロ)6月 (ハ)7日
5.(イ)2年 (ロ)1年 (ハ)10日",2,業法34条1項1号により、財務大臣は、通関業者が通関業法の規定に違反したときは、その通関業者に対し、1年以内の期間を定めて通関業務の全部若しくは一部の停止を命じ、又は許可の取消しをすることができるとされる。また、基本通達34-6(1)によると、処分基準表の処分の級別区分は、1 級…許可の取消処分、2級…30日を超え1年以内の業務停止処分、3級…7日を超え30日以内の業務停止処分、4級…7日以内の業務停止処分とされる。
通関業法（行政処分）,55-5-2,財務大臣は、通関士が通関業法の規定に違反したときは、通関士に対する懲戒処分として、その通関士に対し、(ニ)し、1年以内の期間を定めてその者が通関業務に従事することを停止し、又は(ホ)間その者が通関業務に従事することを禁止することができる。,"1.(ニ)訓告 (ホ)3年
2.(ニ)戒告 (ホ)2年
3.(ニ)戒告 (ホ)3年
4.(ニ)通告 (ホ)90日
5.(ニ)通告 (ホ)5年",2,業法35条1項により、財務大臣は、通関士が通関業法に違反したときは、その通関士に対し、戒告し、1年以内の期間を定めてその者が通関業務に従事することを停止し、又は2年間その者が通関業務に従事することを禁止することができるとされる。
