カテゴリー,問題番号,問題,選択肢,正解,解説
通関業法（その他）,54-1-1,通関業務とは、他人の依頼によって、関税法に基づき税関官署に対してする輸出又は輸入の申告等の手続又は行為につき、その依頼をした者の(イ)をすることをいい、通関業とは、(ロ)通関業務を行うことをいう。,"1.(イ)代行 (ロ)反復継続して
2. (イ)代行 (ロ)有償において
3. (イ)代理又は代行 (ロ)有償において
4. (イ)代理又は代行 (ロ)業として
5. (イ)代理 (ロ)反復継続して",4,業法2条1号イにより、通関業務とは同イに掲げる手続又は行為につき、依頼をした者の代理又は代行をすることとされる。また、同条2号により、通関業とは、業として通関業務を行うことをいうとされる。
通関業法（その他）,54-1-2,(ハ)は、通関業務のほか、その関連業務として(ハ)の名称を用いて、他人の依頼に応じ、通関業務に(ニ)、その他当該業務に関連する業務を行うことができる。ただし、(ホ)においてその業務を行うことが制限されている事項については、この限りでない。,"1.(ハ)通関業者 (ニ)先行し、後続し (ホ)他の法律
2.(ハ)通関士 (ニ)付随し (ホ)他の法律
3.(ハ)通関士 (ニ)先行し、後続し(ホ)関税関係法令
4.(ハ)通関士その他の通関業務の従業者 (ニ)附帯し (ホ) 関税関係法令
5.(ハ)通関業者 (ニ)付随し (ホ)関税法",1,業法7条「通関業者は、通関業務のほか、その関連業務として、通関業者の名称を用いて、他人の依頼に応じ、通関業務に先行し、後続し、その他当該業務に関連する業務を行なうことができる。ただし、他の法律においてその業務を行なうことが制限されている事項については、この限りでない。」
通関業法（通関業の許可）,54-2-1,財務大臣は、通関業の許可をしようとするときは、許可申請に係る通関業の(イ)が確実であること、許可申請者が、その(ロ)に照らして、その行おうとする通関業務を適正に遂行することができる能力を有し、かつ、十分な(ハ)を有することに適合するかどうかを審査しなければならない。,"1.(イ)経営資源 (ロ)社会的信用 (ハ)財産の状況
2.(イ)財産の状況 (ロ)人的構成 (ハ)財産の状況
3.(イ)業務の状況 (ロ)財産の状況 (ハ)専門的な知識
4.(イ)経営の基礎 (ロ)人的構成 (ハ)社会的信用
5.(イ)経営の安定 (ロ)専門的な知識 (ハ)社会的信用

",4,"業法5条1号2号「財務大臣は、通関業の許可をしようとするときは、次の基準に適合するかどうかを審査しなければならない。
一　許可申請に係る通関業の経営の基礎が確実であること。
二　許可申請者が、その人的構成に照らして、その行おうとする通関業務を適正に遂行することができる能力を有し、かつ、十分な社会的信用を有すること。」"
通関業法（通関業の許可）,54-2-2,"財務大臣が通関業の許可に付することができる許可の期限に係る条件は、営業の状態等について追跡又は監視を必要とする次の場合に限り付すものとし、その期限は、それぞれに掲げる期間とされている。
・通関業の許可を新規に行う場合であって、資産内容及び収支の状況、通関業務経験者の有無等を勘案して許可期限を付する必要があると認められる場合(ニ)
・通関業法第34条第1項の規定による通関業者に対する監督処分として通関業者に対し通関業務の停止を命じた場合(ホ)
・既に付した条件による許可の期限を延長する必要がある場合(ホ)","1.(ニ)6月 (ホ)2年 
2.(ニ)1年 (ホ)7年 
3.(ニ)2年 (ホ)5年 
4.(ニ)3年 (ホ)7年 
5.(ニ)3年 (ホ)2年 ",5,"業法通達3-5「許可期限の条件は、営業の状態等について追跡又は監視を必要とする次の場合に限り付するものとし、その期限は、それぞれに掲げる期間とする。
(1) 法第3条第1項《通関業の許可》の規定により通関業の許可を新規に行う場合であって、資産内容及び収支の状況、通関業務経験者の有無等を勘案して許可期限を付する必要があると認められる場合 3年
(2) 法第34条第1項《通関業者に対する監督処分》の規定により通関業者に対し通関業務の停止を命じた場合 2年
(3) 既に付した条件による許可の期限を延長する必要がある場合 2年」"
通関業法（通関業の許可）,54-3-1,通関業者である法人が通関業を廃止し、その通関業の許可が(イ)場合には、(ロ)が、遅滞なくその旨を財務大臣に届け出なければならない。この場合において、現に進行中の通関手続があるときは、当該通関手続については、当該(ハ)が引き続き当該許可を受けているものとみなすこととされている。,"1.(イ)取り消された (ロ)通関業者であった法人を代表する役員 (ハ) 破産管財人
2.(イ)消滅した (ロ)通関業者であった法人を代表する役員 (ハ)許可を受けていた者
3.(イ)取り消された (ロ)通関手続を担当する通関士 (ハ)清算人
4.(イ)消滅した (ロ)通関手続を担当する通関士 (ハ)破産管財人
5.(イ)効力を停止した (ロ)通関業務の責任者であった者 (ハ)許可を受けていた者

",2,業法10条1項1号により、通関業者が通関業を廃止したときは、通関業の許可が消滅する。このとき、業法12条3号、施行令4条1号により、通関業者であった法人を代表する役員が遅滞なくその旨を財務大臣に届け出なければならないとされる。また、業法12条3号により、この場合において現に進行中の通関手続があるときは、当該手続については、当該許可を受けていた者が引き続き当該許可を受けているものとみなされる。
通関業法（通関業の許可）,54-3-2,"通関業者である法人が破産手続開始の決定を受け、その通関業の許可が(イ)場合には、(ニ)が、遅滞なくその旨を財務大臣に届け出なければならない。
財務大臣が通関業法第11条第1項の規定により通関業の許可の取消しをしようとする場合には、(ホ)の意見を聴かなければならない。","1.(イ)消滅した (ニ)破産管財人 (ホ)審査委員
2.(イ)効力を停止した (ニ)通関業務を担当していた役員 (ホ)清算人
3.(イ)効力を停止した (ニ)通関業務の責任者であった者 (ホ)審査委員
4.(イ)取り消された (ニ)破産管財人 (ホ)清算人
5.(イ)消滅した (ニ)通関業務を担当していた役員 (ホ)清算人",1,業法12条3号、施行令4条3号により、通関業者である法人が破産手続開始の決定を受け、その通関業の許可が消滅した場合には、破産管財人が、遅滞なくその旨を財務大臣に届け出なければならないとされる。また、業法11条2項により、財務大臣が通関業法第11条第 1 項の規定により通関業の許可の取消しをしようとする場合には、審査委員の意見を聴かなければならないとされる。
通関業法（通関業者・通関士の義務）,54-4-1,通関業者は、通関業務及び関連業務に関して帳簿を設け、その(イ)に関する事項を記載し、当該帳簿をその(ロ)の日後(ハ)年間保存するとともに、その取扱いに係る通関業務及び関連業務に関する書類をその(ニ)の日後(ハ)年間保存しなければならない。,"1.(イ)開設 (ロ)閉鎖 (ハ)5 (ニ)記帳
2.(イ)売上 (ロ)開設 (ハ)7 (ニ)記帳
3.(イ)売上 (ロ)記帳 (ハ)5 (ニ)提出
4.(イ)収入 (ロ)記帳 (ハ)3 (ニ)作成
5.(イ)収入 (ロ)閉鎖 (ハ)3 (ニ)作成

",5,業法22条1項では、通関業者は、政令で定めるところにより、通関業務（関連業務含む）に関して帳簿を設け、その収入に関する事項を記載するとともに、その取扱いに係る通関業務（関連業務含む）に関する書類を一定期間保存しなければならないとする。また、業法施行令8条3項により、帳簿及び書類は、それぞれその閉鎖の日又は作成の日後三年間保存しなければならないとされる。
通関業法（通関業者・通関士の義務）,54-4-2,"次の記述は、通関業法第22条に規定する通関業者の届出、報告等に関するものであるが、(ホ)に入れるべき最も適切な語句を選択肢から選べ。

通関業者は、通関士その他の通関業務の従業者(当該通関業者が法人である場合には、(ホ)及び通関士その他の通関業務の従業者)の氏名及びその異動を財務大臣に届け出なければならない。","1.(ホ)法人を代表する役員
2.(ホ)全ての役員
3.(ホ)通関業務を担当する役員",3,業法22条2項により、通関業者は、政令で定めるところにより、通関士その他の通関業務の従業者（当該通関業者が法人である場合には、通関業務を担当する役員及び通関士その他の通関業務の従業者）の氏名及びその異動を財務大臣に届け出なければならないとされる。
通関業法（通関士の資格）,54-5-1,"通関士試験に合格した者は、(イ)、通関士となる資格を有する。
税関長は、不正の手段によって通関士試験を受けた者に対しては、合格の決定を取り消すことができ、この取消しの処分を受けた者に対し、情状により(ロ)年以内の期間を定めて通関士試験を受けることができないものとすることができる。","1.(イ)どの税関の管轄区域内においても (ロ)2
2. (イ)どの税関の管轄区域内においても (ロ)3
3. (イ)希望により選択する税関の管轄区域内において (ロ)2
4. (イ)希望により選択する税関の管轄区域内において (ロ)3
5. (イ)受験地を管轄する税関の管轄区域内において (ロ)5",1,業法25条により、通関士試験に合格した者は、どの税関の管轄区域内においても、通関士となる資格を有するとされる。また、業法29条1項により、税関長は、不正の手段によって通関士試験を受けた者に対しては、合格の決定を取り消すことができるとされ、2項により、この取消しの処分を受けた者に対し、情状により2年以内の期間を定めて通関士試験を受けることができないものとすることができるとされる。
通関業法（通関士の資格）,54-5-2,"通関士は、次のいずれかに該当するときは、通関士の資格を喪失し、通関士でなくなるものとされている。
・関税法第111条(許可を受けないで輸出入する等の罪)の規定に該当する違反行為をして関税法の規定により(ハ)処分を受けた者に該当するに至ったとき。
・通関業法の規定に違反する行為をして(ニ)以上の刑に処せられた者に該当するに至ったとき。
・(ホ)を受けた者に該当するに至ったとき。","1.(ハ)行政 (ニ)拘禁刑 (ホ)通告
2.(ハ)行政 (ニ)罰金 (ホ)破産手続開始の決定
3.(ハ)通告 (ニ)罰金 (ホ)告発
4.(ハ)通告 (ニ)罰金 (ホ)破産手続開始の決定
5.(ハ)通告 (ニ)拘禁刑 (ホ)告発",4,通関業法32条2号では、次に該当するときは通関士の資格を喪失し、通関士でなくなるとする。通関業法6条4号イ「関税法第百八条の四から第百十二条まで…の規定」｢に該当する違反行為をして…関税法…の規定により通告処分を受けた者｣、5号｢この法律の規定に違反する行為をして罰金の刑に処せられた者｣、2号｢破産手続開始の決定を受けて復権を得ない者｣。
