カテゴリー,問題番号,重要度,問題,選択肢,正解,解説
延滞税,58-1-1,A,延滞税の額の計算の基礎となる関税額が（イ）である場合においては、延滞税が課されず、延滞税の額が（ロ）である場合においては、これを徴収しない。,"1.(イ)五千円以下(ロ)千円未満
2.(イ)一万円未満(ロ)千円未満
3.(イ)一万円未満(ロ)千円以下
4.(イ)一万円以下(ロ)千円以下
5.(イ)一万円以下(ロ)五千円未満",2,"延滞税額が千円未満である場合は延滞税が徴収されず、延滞税額の計算の基礎となる関税額が一万円未満の場合は延滞税が課されない(関12条3項、4項)。
[参照　第2編（関税法）-第19章（附帯税1（延滞税））-1.延滞税-（2）延滞税額計算-①延滞税額の計算公式、②関税額、⑥延滞税額]"
延滞税,58-1-2,A,"延滞税が課される場合において、（ハ）により税額等に誤りがあったため法定納期限後に未納に係る関税額が確定し、かつ、その事情につき（ニ）があったときは、その税額に係る延滞税については、当該法定納期限の翌日からその関税につき修正申告をした日又は更正通知書若しくは賦課決定通知書が発せられた日までの日数に対応する部分の金額を免除する。
延滞税が課される場合において、納税義務者がその未納又は徴収に係る関税額の一部を納付したときは、（ホ）以後の期間に係る延滞税の額の計算の基礎となる関税額は、当該未納又は徴収に係る関税額からその一部納付に係る関税額を控除した額による。","1.(ハ)特別の事情(ニ)やむを得ない理由(ホ)その納付の日の翌日
2.(ハ)特別の事情(ニ)税関長の確認(ホ)その納付の日の翌日
3.(ハ)やむを得ない理由(ニ)税関長の確認(ホ)その納付の日の翌日
4.(ハ)やむを得ない理由(ニ)税関長の承認(ホ)その納付の日
5.(ハ)客観的な理由(ニ)税関長の承認(ホ)法定納期限から1年を経過する日の翌日",3,"延滞税が課される場合において、やむを得ない理由により税額等に誤りがあったため法定納期限後に未納に係る関税額が確定し、かつ、その事情につき税関長の確認があったときは、その税額に係る延滞税については、当該法定納期限の翌日からその関税につき修正申告をした日又は更正通知書若しくは賦課決定通知書が発せられた日までの日数に対応する部分の金額を免除する(関12条6項)。
[参照　第2編（関税法）-第19章（附帯税1（延滞税））-2.延滞税の免除-（1）全額免除-①免除する場合-ⅰやむを得ない理由+確認]

納税義務者が未納に係る関税額の一部を納付したときは、その納付の日の翌日以後の期間に係る延滞税の額の計算の基礎となる関税額は、未納に係る関税額からその一部納付に係る関税額を控除した額による(関12条2項)。納付した部分の関税額は納付の翌日から延滞税がかからないので、納付の翌日からはその部分を除いて延滞税額を計算してね、ということである。
[参照　第2編（関税法）-第19章（附帯税1（延滞税））-1.延滞税-（2）延滞税額計算-②関税額]"
加算税,58-2-1,A,"更正に基づき過少申告加算税が課される場合において、当該更正により納付すべき税額の計算の基礎となった事実のうちに、当該更正前の税額の計算の基礎とされていなかったことについて（イ）があると認められるものがあるときは、その納付すべき税額からその（イ）があると認められる事実に基づく税額を控除した税額を基礎として計算した過少申告加算税を課する。
納税申告がなかったことによりされた決定に基づき無申告加算税が課される場合において、その納税申告により納付すべきであった税額（その計算の基礎となった事実のうちに当該決定前の税額の計算の基礎とされていなかったことについてその納税義務者の責めに帰すべき事由がないと認められるものがあるときは、その事実に基づく税額として計算した金額を控除した税額）が（ロ）を超えるときは、無申告加算税の額は、納付すべき税額のうち、（ハ）以下の部分に相当する税額に15％の割合、（ハ）を超え（ロ）以下の部分に相当する税額に20％の割合、（ロ）を超える部分に相当する税額に30％の割合をそれぞれ乗じて計算した金額の合計額とする。","1.(イ)相当の理由(ロ)200万円(ハ)50万円
2.(イ)相当の理由(ロ)200万円(ハ)100万円
3.(イ)相当の理由(ロ)250万円(ハ)50万円
4.(イ)正当な理由(ロ)250万円(ハ)100万円
5.(イ)正当な理由(ロ)300万円(ハ)50万円 ",5,"更正に基づき過少申告加算税が課される場合において、当該更正により納付すべき税額の計算の基礎となった事実のうちに、当該更正前の税額の計算の基礎とされていなかったことについて正当な理由があると認められるものがあるときは、その納付すべき税額からその正当な理由があると認められる事実に基づく税額を控除した税額を基礎として計算した過少申告加算税を課する(関12条の2第4項1号)。
[参照　第2編（関税法）-第20章（附帯税2（加算税））-1.過少申告加算税と無申告加算税-（3）加算税額計算-②納付すべき税額-ⅱ「正当な理由」等による納付すべき税額の控除]

納税申告がなかったことによりされた決定に基づき無申告加算税が課される場合において、その納税申告により納付すべきであった税額（その計算の基礎となった事実のうちに当該決定前の税額の計算の基礎とされていなかったことについてその納税義務者の責めに帰すべき事由がないと認められるものがあるときは、その事実に基づく税額として計算した金額を控除した税額）が300万円を超えるときは、無申告加算税の額は、納付すべき税額のうち、50万円以下の部分に相当する税額に15％の割合、50万円を超え300万円以下の部分に相当する税額に20％の割合、300万円を超える部分に相当する税額に30％の割合をそれぞれ乗じて計算した金額の合計額とする(関12条の3第3項)。
[参照　第2編（関税法）-第20章（附帯税2（加算税））-1.過少申告加算税と無申告加算税-（3）加算税額計算-③加算税率-ⅱ高額加重（基礎）]"
加算税,58-2-2,C,納税義務者が納付すべき税額の計算の基礎となるべき事実の全部を隠蔽し、その隠蔽したところに基づき輸入（納税）申告を行い、更正がされたことにより重加算税を課す場合において、保存義務者（申告納税方式が適用される貨物を業として輸入する者）が保存している（ニ）に係る電磁的記録に記録された事項のみに関し更正があったときは、過少申告加算税の額の計算の基礎となるべき税額に（ホ）の割合を乗じて計算した金額に相当する重加算税を課する。,"1.(ニ)関税関係書類又は電子取引の取引情報(ホ)45％
2.(ニ)関税関係帳簿、関税関係書類又は電子取引の取引情報(ホ)45％
3.(ニ)関税関係帳簿、関税関係書類又は電子取引の取引情報(ホ)35％
4.(ニ)関税関係帳簿、関税関係書類又は電子取引の取引情報(ホ)30％
5.(ニ)関税関係帳簿又は関税関係書類(ホ)30％",1,"スキャナ保存した関税関係書類の電磁的記録又は電子取引の取引情報に係る電磁的記録に記録された事項に関して、期限後特例申告書の提出、修正申告、又は更正決定があった場合は、重加算税額の計算の基礎となるべき税額の10%を加重する(関12条の4第3項)。そうすると、過少申告加算税に代えて課される重加算税の税率は35%であるから(関12条の4第1項)、35%に10%を足した45%がトータルの重加算税率となる。よって、過少申告加算税の額の計算の基礎となるべき税額に45%の割合を乗じて計算した金額に相当する重加算税を課することとなる。
[参照　第2編（関税法）-第20章（附帯税2（加算税））-2.重加算税-（2）重加算税額計算-③加算税率-ⅰ基本の税率、ⅱスキャナ保存した関税関係書類又は電子取引の取引情報に係る電磁的記録の10%加重]"
輸入通関,58-3-1,A,"外国貨物（（イ）を除く。）を（ロ）後輸入の許可前に引き取ろうとする者は、関税額に相当する担保を提供して税関長の承認を受けなければならない。
輸入の許可前における貨物の引取りの承認を受けた貨物を、その輸入の許可前に外国に向けて送り出す場合には、（ハ）を受けなければならない。","1.(イ)特例申告に係る貨物(ロ)予備申告の(ハ)積戻しの許可
2.(イ)特例申告に係る貨物(ロ)輸入申告の(ハ)輸出の許可
3.(イ)特例輸入者に係る貨物(ロ)予備申告の(ハ)輸出の許可
4.(イ)特例輸入者に係る貨物(ロ)輸入申告の(ハ)積戻しの許可
5.(イ)保税地域等に入れた(ロ)輸入申告の(ハ)積戻しの許可",2,"外国貨物（特例申告貨物を除く。）を輸入申告の後輸入の許可前に引き取ろうとする者は、関税額に相当する担保を提供して税関長の承認を受けなければならない(輸入許可前引取承認　関73条1項)。特例申告貨物は輸入許可前引取承認制度を利用できないので除かれている。 輸入の許可前における貨物の引取りの承認を受けた貨物を、その輸入の許可前に外国に向けて送り出す場合には、輸出の許可を受けなければならない。輸入許可前引取承認を受けた外国貨物は、関税法の適用上は原則として内国貨物とみなすので(みなし内国貨物 関73条3項)、外国に向けて送り出す場合は積戻しではなく輸出の手続を行うのである。
 [参照　第2編（関税法）-第3章（輸出入申告）-11.輸入許可前引取承認(輸入のみ)-（2）承認の要件、（4）みなし内国貨物]"
特恵関税、経済連携協定,58-3-2,A,"経済連携協定における関税についての特別の規定による便益を適用する貨物について、輸入の許可前における貨物の引取りの承認を受ける場合には、その（ニ）に、当該経済連携協定の規定に基づく締約国原産地証明書を提出しなければならない。
関税を納付すべき物を内容とする郵便物（賦課課税方式が適用されるものに限る。）の名宛人は、あらかじめ税関長の承認を受けた場合には、当該郵便物に係る関税の課税標準及び税額についての決定がされる前に当該郵便物を受け取ることができる。この場合において、当該税関長は、関税額に相当する担保を当該名宛人に（ホ）。","1.(ニ)輸入の許可前(ホ)提供させなければならない
2.(ニ)輸入の許可前(ホ)提供させることはできない
3.(ニ)承認の申請の際(ホ)提供させなければならない
4.(ニ)承認の申請の際(ホ)提供させることができる
5.(ニ)輸入申告後相当と認められる期間内(ホ)提供させることができる",5,"EPA税率の適用を受けようとする場合の締約国原産地証明書は、原則として輸入申告の際に提出するが、災害その他やむを得ない理由があるときと、輸入許可前引取承認を受けるときは、相当と認められる期間が猶予されるため、原則通りの時期に提出できなくてもよい(関令61条4項)。 
 [参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-②原産地証明書、原産品申告書]

輸入許可前引取承認を受けるためには担保提供が必須となるが(関73条1項)、郵便物の関税納付前受取承認を受けるためには担保提供が必須ではなく、税関長は、税額に相当する担保を提供させることができるだけである(任意的担保　関77条7項)。
 [参照　第2編（関税法）-第6章（郵便物の輸出入）-3.関税の納付、交付、関税納付前受取承認-（2）関税納付前受取承認]"
輸入通関,58-4-1,A,申告納税方式が適用される貨物についての関税法第7条第1項（申告）の規定による申告をする場合において、関税定率法その他の関税に関する法令の規定により関税の軽減を受けようとするときは、その（イ）及びその適用を受けようとする（ロ）を（ハ）に記載しなければならない。,"1.(イ)理由(ロ)計算の基礎(ハ)輸出の許可書
2.(イ)事由(ロ)理由(ハ)輸出申告書
3.(イ)計算の基礎(ロ)理由(ハ)輸入の許可書
4.(イ)適用を受けたい旨(ロ)法令の条項(ハ)輸入申告書（特例申告にあっては、特例申告書）
5.(イ)承認を受けたい旨(ロ)事由(ハ)輸入申告書（特例申告にあっては、特例申告書）",4,"申告納税方式が適用される貨物についての関税法第7条第1項（申告）の規定による申告をする場合において、関税定率法その他の関税に関する法令の規定により関税の軽減や免除を受けようとするときは、その適用を受けたい旨及びその適用を受けようとする法令の条項を輸入申告書（特例申告にあっては、特例申告書）に記載しなければならない(関4条1項2号、4条の2第1項6号)。
 [参照　第2編（関税法）-第3章（輸出入申告）-4.申告書の記載事項]"
減免戻し税,58-4-2,B,"関税定率法第15条第1項第2号から第5号まで（特定用途免税）の規定により関税の免除を受けようとする者は、その免除を受けようとする物品の（ニ）の際に、その品名及び数量並びに使用の目的、方法及び場所を記載した書面を税関長に提出しなければならない。
関税定率法第17条第1項（再輸出免税）の規定により関税の免除を受けた貨物を同項に規定する期間内に輸出しようとする者は、その輸出申告の際に、当該貨物の（ホ）又はこれに代わる税関の証明書を税関長に提出しなければならない。","1.(ニ) 輸入申告（特例申告貨物にあっては、特例申告）(ホ)輸入申告書（特例申告にあっては、特例申告書）
2.(ニ) 輸入申告（特例申告貨物にあっては、特例申告）(ホ)輸入の許可書
3.(ニ) 輸入申告（特例申告貨物にあっては、特例申告）(ホ)輸出申告書
4.(ニ)輸出申告(ホ)輸入申告書（特例申告にあっては、特例申告書）
5.(ニ)輸出申告(ホ)輸入の許可書",2,"関税定率法第15条第1項第2号から第5号まで（特定用途免税）の規定により関税の免除を受けようとする者は、その免除を受けようとする物品の輸入申告（特例申告貨物にあっては、特例申告）の際に、その品名及び数量並びに使用の目的、方法及び場所を記載した書面（免税明細書）を税関長に提出しなければならない(関率令20条1項)。 
 [参照　第3編（関税定率法、関税暫定措置法）-第4章（減免戻し税2（条件付き））-3.特定用途免税（関率15条）-（3）手続]

関税定率法第17条第1項（再輸出免税）の規定により関税の免除を受けた貨物を再輸出期間内に輸出しようとする者は、その輸出申告の際に、当該貨物の輸入の許可書又はこれに代わる税関の証明書を税関長に提出しなければならない(関率令39条1項)。
 [参照　第3編（関税定率法、関税暫定措置法）-第6章（減免戻し税4（再輸出））-1.再輸出免税（関率17条）-（3）手続]"
通則,58-5-1,B,"関税率表の解釈に関する通則3に関する問題である。

（イ）の規定の適用により又は他の理由により物品が二以上の項に属するとみられる場合には、次に定めるところによりその所属を決定する。
⒜最も特殊な限定をして記載をしている項が、これよりも（ロ）記載をしている項に優先する。ただし、二以上の項のそれぞれが、混合し若しくは結合した物品に含まれる材料若しくは物質の一部のみ又は小売用のセットの（ハ）の一部のみについて記載をしている場合には、これらの項のうち一の項が当該物品について一層完全な又は詳細な記載をしているとしても、これらの項は、当該物品について等しく特殊な限定をしているものとみなす。
⒝混合物、異なる材料から成る物品、異なる（ハ）で作られた物品及び小売用のセットにした物品であって、⒜の規定により所属を決定することができないものは、この⒝の規定を適用することができる限り、当該物品に（ニ）材料又は（ハ）から成るものとしてその所属を決定する。
⒞ ⒜及び⒝の規定により所属を決定することができない物品は、（ホ）項のうち数字上の配列において最後となる項に属する。","1.(イ)1及び2(ロ)包括的な(ハ)成分(ニ)重要な価値を与えている(ホ)完全な又は詳細な
2.(イ)1及び2(ロ)一般的な(ハ)成分(ニ)重要な特性を与えている(ホ)隣接する
3.(イ)2⒜(ロ)一般的な(ハ)構成要素(ニ)重要な価値を与えている(ホ)等しく考慮に値する
4.(イ)2⒝(ロ)包括的な(ハ)成分(ニ)重要な価値を与えている(ホ)完全な又は詳細な
5.(イ)2⒝(ロ)一般的な(ハ)構成要素(ニ)重要な特性を与えている(ホ)等しく考慮に値する",5,"関税率表の解釈に関する通則3は以下のように規定する。（イ）には「1及び2」を入れても間違いではなさそうに思えるが、通則3では「2(b)」と規定しているからそのまま（イ）に入れるしかない。

2(b)の規定の適用により又は他の理由により物品が二以上の項に属するとみられる場合には、次に定めるところによりその所属を決定する。

(a)最も特殊な限定をして記載している項が、これよりも一般的な記載をしている項に優先する。ただし、二以上の項のそれぞれが、混合し若しくは結合した物品に含まれる材料若しくは物質の一部のみ又は小売用のセットの構成要素の一部のみについて記載をしている場合には、これらの項のうち一の項が当該物品について一層完全な又は詳細な記載をしているとしても、これらの項は、当該物品について等しく特殊な限定をしているものとみなす。

(b)混合物、異なる材料から成る物品、異なる構成要素で作られた物品及び小売用のセットにした物品であって、(a)の規定により所属を決定することができないものは、この(b)の規定を適用することができる限り、当該物品に重要な特性を与えている材料又は構成要素から成るものとしてその所属を決定する。

(c) (a)及び(b)の規定により所属を決定することができない物品は、等しく考慮に値する項のうち数字上の配列において最後となる項に属する。

 [参照　第1編（申告書の作成、通則、課税価格の決定）-第2章（通則）-3.通則3]"
課税物件確定時期と適用法令,58-6-1,A,課税物件の確定時期について、保税蔵置場に置かれた外国貨物である関税定率法別表第2208.90号の1の⑴に掲げるフルーツブランデー（アルコール分が50％以上のものであって、700ミリリットルの容器に入ったもの）に対し関税を課する場合の基礎となる当該貨物の性質及び数量は、当該貨物を当該保税蔵置場に置くことが税関長により承認された時の現況による。,○×,○,"蔵入承認・総保入承認を受けた外国貨物の課税物件確定時期は、保税蔵置場・総合保税地域に置くことが承認された時であるが、ウイスキーやブランデーで、アルコール分が50%以上であり、かつ、2リットル未満の容器入りではないものについては、原則通り輸入申告の時が確定時期となる(関4条1項1号、関令2条1項)。本問のブランデーはアルコール分が50%以上であるが、2リットル未満の容器入りなので、蔵入承認時（保税蔵置場に置くことが承認された時）となる。
[参照　第2編（関税法）-第13章（課税要件1（課税要件、課税物件、課税物件確定時期と適用法令））-3.課税物件確定時期と適用法令-（3）例外-⑥蔵入承認又は総保入承認を受けた貨物]"
