カテゴリー,問題番号,重要度,問題,選択肢,正解,解説
還付,59-1-1,C,"関税法第13条第2項に規定する「還付加算金」とは、税関長が、関税の過誤納金を還付する場合において、(1)から(3)までに掲げる日又は期限の翌日から（イ）までの期間の日数に応じ、その金額に（ロ）を乗じて計算した金額をいい、その還付すべき金額に加算するものである。

(1)更正若しくは関税法第7条の16第2項（更正及び決定）の規定による決定又は賦課決定により納付すべき税額が確定した関税に係る過納金（(2)に規定する過納金を除く。）については、当該過納金に係る関税の（ハ）
(2)更正の請求に基づく更正により納付すべき税額が減少した関税に係る過納金については、その更正の請求があった日の翌日から起算して（ニ）と当該更正があった日の翌日から起算して（ホ）とのいずれか早い日
(3)納税申告により納付すべき税額が確定した関税に係る過納金であって、その納付すべき税額を減少させる更正（更正の請求に基づく更正を除く。）により生じたものについては、その更正があった日の翌日から起算して（ホ）","1.(イ)還付請求書の提出があった日 (ロ)年3.0％の割合 (ハ)納付があった日 (ニ)1年を経過する日 (ホ)6月を経過する日
2.(イ)納付があった日 (ロ)年3.0％の割合 (ハ)納付すべき税額が確定した日 (ニ)6月を経過する日 (ホ)3月を経過する日
3.(イ)納付があった日 (ロ)年7.3％の割合 (ハ)納期限 (ニ)6月を経過する日 (ホ)1年を経過する日
4.(イ)還付のため支払決定をする日 (ロ)年7.3％の割合 (ハ)納付があった日 (ニ)3月を経過する日 (ホ)1月を経過する日
5.(イ)還付のため支払決定をする日 (ロ)年14.6％の割合 (ハ)納付すべき税額が確定した日 (ニ)10日を経過する日 (ホ)3月を経過する日",4,"関税法第13条第2項に規定する「還付加算金」とは、税関長が、関税の過誤納金を還付する場合において、(1)から(3)までに掲げる日又は期限の翌日から還付のため支払決定をする日までの期間の日数に応じ、その金額に年7.3%の割合を乗じて計算した金額をいい、その還付すべき金額に加算するものである(関13条2項、関令9条の6第1号)。

(1)更正若しくは関税法第7条の16第2項（更正及び決定）の規定による決定又は賦課決定により納付すべき税額が確定した関税に係る過納金（(2)に規定する過納金を除く。）については、当該過納金に係る関税の納付があった日
(2)更正の請求に基づく更正により納付すべき税額が減少した関税に係る過納金については、その更正の請求があった日の翌日から起算して3月を経過する日と当該更正があった日の翌日から起算して1月を経過する日とのいずれか早い日
(3)納税申告により納付すべき税額が確定した関税に係る過納金であって、その納付すべき税額を減少させる更正（更正の請求に基づく更正を除く。）により生じたものについては、その更正があった日の翌日から起算して1月を経過する日
[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-3.還付-（2）還付加算金]"
法定納期限と納期限,59-2-1,A,"関税法又は関税定率法の規定により一定の事実が生じた場合に直ちに徴収するものとされている関税の法定納期限は、（イ）である。

関税定率法第17条第1項（再輸出免税）の規定により関税の免除を受けた貨物につき、同条第4項の規定に基づき一定の事実が生じたことにより直ちにその関税を徴収しようとする場合において、関税法第9条の3第2項（納税の告知）の規定により税関長が送達を行う納税告知書に記載すべき納期限は、（ロ）とされている。

納税義務者は、期限後特例申告書に記載された納付すべき関税を、当該期限後特例申告書を（ハ）までに国に納付しなければならない。","1.(イ)当該事実が生じた日 (ロ)その納税告知書の送達に要すると見込まれる期間を経過した日 (ハ)提出した日 
2.(イ)当該事実が生じた日 (ロ)賦課決定通知書が発せられた日の翌日から起算して1月を経過した日 (ハ)提出した日
3.(イ)賦課決定通知書が発せられた日 (ロ)その納税告知書の送達に要すると見込まれる期間を経過した日 (ハ)提出した日
4.(イ)賦課決定通知書が発せられた日 (ロ)賦課決定通知書が発せられた日の翌日から起算して1月を経過した日 (ハ)提出した日の属する月の末日
5.(イ)賦課決定通知書が発せられた日 (ロ)当該事実が生じた日の翌日から起算して1月を経過した日 (ハ)提出した日の属する月の末日",1,"関税法又は関税定率法の規定により一定の事実が生じた場合に直ちに徴収するものとされている関税の法定納期限は、当該事実が生じた日である(関12条9項6号)。

関税定率法第17条第1項（再輸出免税）の規定により関税の免除を受けた貨物につき、同条第４項の規定に基づき一定の事実が生じたことにより直ちにその関税を徴収しようとする場合において、関税法第9条の3第2項（納税の告知）の規定により税関長が送達を行う納税告知書に記載すべき納期限は、その納税告知書の送達に要すると見込まれる期間を経過した日とされている(関12条9項6号、関6条の2第1項2号ニ)。

納税義務者は、期限後特例申告書に記載された納付すべき関税を、当該期限後特例申告書を提出した日までに国に納付しなければならない(関9条2項2号)。

[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-2.法定納期限と納期限-（3）例外-②特例申告貨物、⑪一定の事実が生じた場合に直ちに徴収する関税]"
法定納期限と納期限,59-2-2,A,特例輸入者が、期限内特例申告に係る関税を納付すべき期限の延長を受けたい旨の申請書を税関長に提出したときは、当該税関長は、当該納付すべき期限を（ニ）以内に限り延長することができる。また、当該期限内特例申告により納付すべき関税に不足額がある場合において、その期限内特例申告書の提出期限後にされた修正申告により納付すべき関税の法定納期限は、（ホ）である。,"1.(ニ)1月 (ホ)その延長された期限
2.(ニ)2月 (ホ)特例申告書の提出期限
3.(ニ)3月 (ホ)輸入の許可の日
4.(ニ)1月 (ホ)修正申告をした日
5.(ニ)2月 (ホ)修正申告をした日",2,"特例輸入者が、期限内特例申告に係る関税を納付すべき期限の延長を受けたい旨の申請書を税関長に提出したときは、当該税関長は、当該納付すべき期限を2月以内に限り延長することができる(関9条の2第3項)。また、当該期限内特例申告により納付すべき関税に不足額がある場合において、その期限内特例申告書の提出期限後にされた修正申告により納付すべき関税の法定納期限は、特例申告書の提出期限である。

（ホ）が応用的で少し難しい。通関実務の税額計算問題ではよく「納期限の延長＋輸入許可後の修正申告」パターンが出題され、この場合納期限の延長はされていないから、輸入許可後の修正申告しか存在せず、法定納期限は原則通り輸入許可の日となる、というものである。しかし、（ホ）の場合は、「期限内特例申告＋納期限の延長＋輸入許可後の修正申告」となっているので、納期限の延長がされていないなら「期限内特例申告＋輸入許可後の修正申告」ということになる。すると、期限内特例申告については法定納期限の例外が定められているので、法定納期限は原則通り輸入許可の日ではなく、特例申告書の提出期限ということになる(関12条9項1号)。

[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-2.法定納期限と納期限-（3）例外-①納期限の延長、②特例申告貨物、④ 輸入許可後の修正申告]"
輸出通関,59-3-1,A,"輸出申告は、関税法施行令第58条の規定に基づき、次の(1)から(5)までに掲げる事項を記載した輸出申告書を税関長に提出して、しなければならない。ただし、税関長において輸出しようとする貨物の（イ）を勘案し記載の必要がないと認める事項については、その記載を省略させることができる。
(1)貨物の記号、番号、品名、数量及び価格
(2)貨物の（ロ）の住所又は居所及び氏名又は名称
(3)貨物を積み込もうとする船舶又は航空機の名称又は登録記号
(4)（ハ）貨物を入れる保税地域
(5) その他参考となるべき事項","1.(イ)品名及び価格 (ロ)積出地並びに仕出人 (ハ)検査を受けるために
2.(イ)品名及び価格 (ロ)積出地並びに仕出人 (ハ)輸出の許可を受けた
3.(イ)性質及び数量 (ロ)仕向地並びに仕向人 (ハ)輸出の許可を受けた
4.(イ)性質及び数量 (ロ)仕向地並びに仕向人 (ハ)輸出の許可を受けるために
5.(イ)種類又は価格 (ロ)仕向地並びに仕向人 (ハ)輸出の許可を受けるために",5,"輸出申告は、関税法施行令第58条の規定に基づき、次の(1)から(5)までに掲げる事項を記載した輸出申告書を税関長に提出して、しなければならない。ただし、税関長において輸出しようとする貨物の種類又は価格を勘案し記載の必要がないと認める事項については、その記載を省略させることができる。
(1)貨物の記号、番号、品名、数量及び価格
(2)貨物の仕向地並びに仕向人の住所又は居所及び氏名又は名称
(3)貨物を積み込もうとする船舶又は航空機の名称又は登録記号
(4)輸出の許可を受けるために貨物を入れる保税地域
(5) その他参考となるべき事項

[参照　第2編（関税法）-第3章（輸出入申告）-4.申告書の記載事項]"
輸出通関,59-3-2,A,税関長は、特定輸出者が関税法の規定に従って（ニ）を行わなかったことその他の事由により、同法の実施を確保するため必要があると認めるときは、同法第67条の6第3号（承認の要件）に規定する法令遵守規則又はその規則に定められた事項に係る業務の遂行の改善に必要な措置を講ずることを求めることができる。また、特定輸出者がその求めに応じなかったときは、税関長は、当該特定輸出者の（ホ）ことができる。,"1.(ニ)特定輸出申告 (ホ)貨物の輸出に関する業務の全部又は一部の停止を命ずる
2.(ニ)特定輸出申告又は特定委託輸出申告 (ホ)貨物の輸出に関する業務の全部又は一部の停止を命ずる
3.(ニ)特定輸出申告 (ホ)承認を取り消す
4.(ニ)特定輸出申告又は特定委託輸出申告 (ホ)承認を取り消す
5.(ニ)特定輸出申告 (ホ)貨物の輸出に関する業務を禁止する",3,"税関長は、特定輸出者が関税法の規定に従って特定輸出申告を行わなかったことその他の事由により、同法の実施を確保するため必要があると認めるときは、同法第67条の6第3号（承認の要件）に規定する法令遵守規則又はその規則に定められた事項に係る業務の遂行の改善に必要な措置を講ずることを求めることができる(関67条の7)。また、特定輸出者がその求めに応じなかったときは、税関長は、当該特定輸出者の承認を取り消すことができる(関67条の11第2項ロ)。

特定輸出者が行うのは特定輸出申告であり、特例委託輸出申告ではないから、（ニ）には「特定輸出申告」が入る。

[参照　第2編（関税法）-第8章（AEO事業者等になるための要件と失効・取消し等）-1.特定輸出者、特例輸入者-（2）失効事由、取消事由-③取消事由]"
保税地域,59-4-1,A,"保税地域は、指定保税地域、保税蔵置場、（イ）、保税展示場及び総合保税地域の5種である。
関税法第30条第1項（外国貨物を置く場所の制限）の規定により、外国貨物は保税地域以外の場所に置くことができないが、同項各号に掲げるものはその例外であり、例えば、保税地域に置くことが困難又は著しく不適当であると認め税関長が（ロ）及び場所を指定して（ハ）したものがこれに該当する。","1.(イ)保税工場 (ロ)期間 (ハ)確認
2.(イ)保税工場 (ロ)期間 (ハ)許可
3.(イ)保税工場 (ロ)数量 (ハ)確認
4.(イ)保税製造場 (ロ)数量 (ハ)許可
5.(イ)届出蔵置場 (ロ)数量 (ハ)確認",2,"保税地域は、指定保税地域、保税蔵置場、保税工場、保税展示場及び総合保税地域の5種である(関29条)。
関税法第30条第1項（外国貨物を置く場所の制限）の規定により、外国貨物は保税地域以外の場所に置くことができないが、同項各号に掲げるものはその例外であり、例えば、保税地域に置くことが困難又は著しく不適当であると認め税関長が期間及び場所を指定して許可したものがこれに該当する(他所蔵置許可場所 関30条1項2号)。

[参照　第2編（関税法）-第10章（保税地域）-1.保税地域の種類、7.共通ルール1（保税地域等に共通する事項）-（1）外国貨物を置く場所]"
保税地域,59-4-2,A,保税蔵置場にある外国貨物が亡失した場合には、当該（ニ）は、直ちにその旨を税関長に届け出なければならない。この場合において、当該外国貨物が輸出の許可を受けた貨物であるとき又は（ホ）により亡失したときを除き、当該（ニ）から、直ちにその関税を徴収する。,"1.(ニ)保税蔵置場の許可を受けた者 (ホ)自己の責めに帰すべき事由以外の事由
2.(ニ)保税蔵置場の許可を受けた者 (ホ)災害その他やむを得ない事情
3.(ニ)外国貨物の所有者 (ホ)自己の責めに帰すべき事由以外の事由
4.(ニ)外国貨物の所有者 (ホ)災害その他やむを得ない事情
5.(ニ)外国貨物に係る通関業務の依頼を受けた通関業者 (ホ)自己の責めに帰すべき事由以外の事由",2,"保税蔵置場にある外国貨物が亡失した場合には、当該保税蔵置場の許可を受けた者は、直ちにその旨を税関長に届け出なければならない(関45条3項)。この場合において、当該外国貨物が輸出の許可を受けた貨物であるとき又は災害その他やむを得ない事情により亡失したときを除き、当該保税蔵置場の許可を受けた者から、直ちにその関税を徴収する(関45条1項)。

[参照　第2編（関税法）-第10章（保税地域）-7.共通ルール1（保税地域等に共通する事項）-（4）亡失、滅却、廃棄と関税の徴収]"
課税価格の決定,59-5-1,A,"次の記述は、関税定率法第4条第1項（課税価格の決定の原則）に関するものである。

輸入貨物の課税標準となる価格は、関税定率法第4条第2項本文の規定の適用がある場合を除き、当該輸入貨物に係る（イ）がされた場合において、当該（イ）に関し買手により売手に対し又は売手のために、当該輸入貨物につき（ロ）に、その含まれていない限度において運賃等の額を加えた価格である。

「（イ）」とは、（ハ）が買手として貨物を本邦に到着させることを目的として売手との間で行った（ニ）であって、現実に当該貨物が本邦に到着することとなったものをいい、通常、現実に貨物を輸入することとなる（ニ）がこれに該当することとされている。

「（ロ）」とは、買手が売手に対し又は売手のために、輸入貨物に係る取引の状況その他の事情からみて当該輸入貨物の（イ）をするために現実に支払った又は支払うべき総額をいい、その支払いは、必ずしも（ホ）によるものであることを要しないこととされている。","1.(イ)売買 (ロ)取引価格 (ハ)本邦に拠点を有する者 (ニ)輸入取引 (ホ)本邦の通貨
2.(イ)売買 (ロ)現実に支払われた又は支払われるべき価格 (ハ)本邦に拠点を有する者 (ニ)輸入取引 (ホ)本邦の通貨
3.(イ)輸入取引 (ロ)取引価格 (ハ)本邦に拠点を有する者 (ニ)売買 (ホ)金銭の移転
4.(イ)輸入取引 (ロ)現実に支払われた又は支払われるべき価格 (ハ)本邦に拠点を有する者 (ニ)売買 (ホ)本邦の通貨
5.(イ)輸入取引 (ロ)現実に支払われた又は支払われるべき価格 (ハ)本邦に拠点を有する者 (ニ)売買 (ホ)金銭の移転",5,"次の記述は、関税定率法第4条第1項（課税価格の決定の原則）に関するものである。

輸入貨物の課税標準となる価格は、関税定率法第4条第2項本文の規定の適用がある場合を除き、当該輸入貨物に係る輸入取引がされた場合において、当該輸入取引に関し買手により売手に対し又は売手のために、当該輸入貨物につき現実に支払われた又は支払われるべき価格に、その含まれていない限度において運賃等の額を加えた価格である。

[参照　第1編（申告書の作成、通則、課税価格の決定）-第3章（課税価格の決定（原則））-3.現実支払価格と加算費用]

「輸入取引」とは、本邦に拠点を有する者が買手として貨物を本邦に到着させることを目的として売手との間で行った売買であって、現実に当該貨物が本邦に到着することとなったものをいい、通常、現実に貨物を輸入することとなる売買がこれに該当することとされている。

[参照　第1編（申告書の作成、通則、課税価格の決定）-第3章（課税価格の決定（原則））-2.課税価格の決定原則と輸入取引-（2）輸入取引とは]

「現実に支払われた又は支払われるべき価格」とは、買手が売手に対し又は売手のために、輸入貨物に係る取引の状況その他の事情からみて当該輸入貨物の輸入取引をするために現実に支払った又は支払うべき総額をいい、その支払いは、必ずしも金銭の移転によるものであることを要しないこととされている。

[参照　第1編（申告書の作成、通則、課税価格の決定）-第3章（課税価格の決定（原則））-4.現実支払価格-（1）現実支払価格とは]"
課税物件確定時期と適用法令,59-6-1,A,関税の課税物件の確定の時期について、輸入申告がされた貨物であって、輸入の許可を受けないで輸入された貨物に対し関税を課する場合の基礎となる当該貨物の性質及び数量は、当該輸入申告の時における現況による。,○×,○,"輸入申告をせず、かつ、輸入許可を受けずに輸入された貨物の課税物件確定時期は輸入の時となるが(関4条1項8号)、本問は輸入申告をしているので、原則通り輸入申告の時となる。
[参照　第2編（関税法）-第13章（課税要件1（課税要件、課税物件、課税物件確定時期と適用法令））-3.課税物件確定時期と適用法令-(2)原則、（3）例外-②無申告無許可輸入]"
課税物件確定時期と適用法令,59-6-2,A,関税の課税物件の確定の時期について、保税工場における保税作業による製品である外国貨物（関税法第4条第1項第2号に掲げるもの）に対し関税を課する場合の基礎となる当該外国貨物の性質及び数量は、当該外国貨物の輸入申告の時における現況による。,○×,×,"保税工場又における保税作業による製品の課税物件確定時期は、移入承認の時であり、輸入申告の時ではない(関4条1項2号)。
[参照　第2編（関税法）-第13章（課税要件1（課税要件、課税物件、課税物件確定時期と適用法令））-3.課税物件確定時期と適用法令-（3）例外-③保税工場又は総合保税地域における保税作業による製品]"
