カテゴリー,問題番号,重要度,問題,選択肢,正解,解説
賦課権の期間制限と徴収権の消滅時効,51-1-1,A,"関税法第14条第1項(更正、決定等の期間制限)に規定する「法定納期限等」とは、関税（過少申告加算税、無申告加算税又は(イ)にあっては、その納付の起因となった関税）を課される貨物を輸入する日（輸入の許可を受ける貨物については、(ロ)）とされている。ただし、次の(1)から(3)までに掲げる関税については、それぞれに定める日又は期限とされている。
(1)特例申告貨物につき納付すべき関税   特例申告書の(ハ)
(2)関税法第73条第 1 項(輸入の許可前における貨物の引取り)の規定により税関長の承認を受けて引き取られた貨物につき納付すべき関税(ニ)
(3)関税法又は関税定率法その他関税に関する法律の規定により一定の事実が生じた場合に直ちに徴収するものとされている関税(ホ)","1.(イ)延滞税 (ロ)当該許可の日から起算して1月を経過する日 (ハ)受理日 (ニ)当該許可の日 (ホ)当該事実を税関長が知った日
2.(イ)延滞税 (ロ)当該許可の日 (ハ)受理日 (ニ)当該許可の日 (ホ)当該事実を税関長に通報した日
3.(イ)重加算税 (ロ)当該許可の日 (ハ)提出期限 (ニ)当該承認の日 (ホ)当該事実が生じた日
4.(イ)利子税 (ロ)当該許可の日から起算して1月を経過する日 (ハ)提出日 (ニ)当該承認の日 (ホ)当該事実を税関長が知った日",3,"関税法14条1項(更正、決定等の期間制限)に規定する「法定納期限等」とは、関税（過少申告加算税、無申告加算税又は重加算税にあっては、その納付の起因となった関税）を課される貨物を輸入する日（輸入の許可を受ける貨物については、当該許可の日）とされている。ただし、次の(1)から(3)までに掲げる関税については、それぞれに定める日又は期限とされている(関14条7項1号、2号、5号)。
(1)特例申告貨物につき納付すべき関税   特例申告書の提出期限
(2)関税法73条1項(輸入の許可前における貨物の引取り)の規定により税関長の承認を受けて引き取られた貨物につき納付すべき関税　当該承認の日
(3)関税法又は関税定率法その他関税に関する法律の規定により一定の事実が生じた場合に直ちに徴収するものとされている関税　当該事実が生じた日

※ 本問はよく受験生がつまずく。「法定納期限」(関12条9項)と、「法定納期限『等』」(関14条7項)とは、関税法において区別されており、別物である。前者は延滞税の起算日の基準として機能する。後者は本問で問われているものであり、更正、決定等の期間制限（関14条）や徴収権の消滅時効（関15条）の起算日の基準として機能する。

[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効）-3.賦課権の期間制限と徴収権の消滅時効-（2）法定納期限等]"
課税物件確定時期と適用法令,51-2-1,A,"関税を課する場合に適用する法令は、原則として輸入申告の日において適用される法令によるとされている。ただし、次に掲げる貨物については、それぞれに定める日において適用される法令によるとされている。
・税関長が期間及び場所を指定し、保税工場にある外国貨物について(イ)をするため、これを当該保税工場以外の場所に出すことを許可した場合であって、その指定された場所に指定された期間を経過した後置かれている外国貨物(ロ)
・保税展示場に入れられた外国貨物であって、当該保税展示場の許可の期間の満了の際、当該保税展示場にあることにより、関税を徴収されるもの(ハ)","1.(イ)保税作業 (ロ)当該許可がされた時の属する日 (ハ)当該関税を徴収すべき事由が生じた時の属する日
2.(イ)保税作業 (ロ)当該許可がされた時の属する日 (ハ)当該外国貨物を保税展示場に入れた時の属する日
3.(イ)蔵置 (ロ)当該指定された期間を経過する日 (ハ)当該関税を徴収すべき事由が生じた時の属する日
4.(イ)蔵置 (ロ)当該指定された期間を経過する日 (ハ)当該外国貨物を保税展示場に入れた時の属する日
5.(イ)蔵置 (ロ)当該指定された期間を経過した日 (ハ)当該許可の期間の満了の日",1,"関税を課する場合に適用する法令は、原則として輸入申告の日において適用される法令によるとされている。ただし、次に掲げる貨物については、それぞれに定める日において適用される法令によるとされている(関5条1項1号、4条1項3号、3号の3)。
・税関長が期間及び場所を指定し、保税工場にある外国貨物について保税作業をするため、これを当該保税工場以外の場所に出すことを許可した場合であって、その指定された場所に指定された期間を経過した後置かれている外国貨物　当該許可がされた時の属する日
・保税展示場に入れられた外国貨物であって、当該保税展示場の許可の期間の満了の際、当該保税展示場にあることにより、関税を徴収されるもの　当該関税を徴収すべき事由が生じた時の属する日
[参照　第2編（関税法）-第13章（課税要件1（課税要件、課税物件、課税物件確定時期と適用法令））-3.課税物件確定時期と適用法令-（2）原則、（3）例外-⑤場外作業又は場外使用の許可後、⑦保税展示場の許可失効後保税展示場にある貨物]"
課税物件確定時期と適用法令,51-2-2,A,"関税を課する場合に適用する法令は、原則として輸入申告の日において適用される法令によるとされている。ただし、次に掲げる貨物については、それぞれに定める日において適用される法令によるとされている。
・特定保税運送に係る外国貨物であって、その発送の日の翌日から起算して7日以内に運送先に到着しないことにより、関税を徴収されるもの(ニ)
・留置された貨物であって、公売に付されるもの(ホ)","1.(ニ)当該外国貨物が発送された時の属する日 (ホ)留置の時の属する日
2.(ニ)当該外国貨物が発送された時の属する日 (ホ)公売の時の属する日
3.(ニ)当該外国貨物の発送の日の翌日(ホ)公売の時の属する日
4.(ニ)当該外国貨物の発送の日の翌日 (ホ)充当の時の属する日
5.(ニ)当該外国貨物の発送の日の翌日 (ホ)留置の時の属する日",2,"関税を課する場合に適用する法令は、原則として輸入申告の日において適用される法令によるとされている。ただし、次に掲げる貨物については、それぞれに定める日において適用される法令によるとされている(関5条1項1号、4条1項5号の2、7号)。
・特定保税運送に係る外国貨物であって、その発送の日の翌日から起算して7日以内に運送先に到着しないことにより、関税を徴収されるもの　当該外国貨物が発送された時の属する日
・留置された貨物であって、公売に付されるもの　公売の時の属する日
[参照　第2編（関税法）-第13章（課税要件1（課税要件、課税物件、課税物件確定時期と適用法令））-3.課税物件確定時期と適用法令-（2）原則、（3）例外-①公売又は随意契約、⑨保税運送等の指定期間内に到着しない貨物]"
法定納期限と納期限,51-3-1,A,"納税申告をした者は、原則としてその申告に係る書面又は更正通知書に記載された納付すべき税額に相当する関税を、当該申告に係る貨物を輸入する日までに国に納付しなければならないとされている。ただし、次の(1)から(3)までに掲げる税額に相当する関税の納税義務者は、その関税をそれぞれに定める日までに国に納付しなければならないとされている。
(1)期限後特例申告書に記載された納付すべき税額(イ)
(2)輸入の許可後にした修正申告に係る書面に記載された納付すべき税額(ロ)
(3)関税法第7条の16第2項(更正及び決定)の規定による決定がされた後にされた更正に係る更正通知書に記載された納付すべき税額(ハ)","1.(イ)当該期限後特例申告書を提出した日から起算して1月を経過する日 (ロ)当該修正申告をした日の翌日 (ハ)当該更正通知書が発せられた日の翌日
2.(イ)当該期限後特例申告書を提出した日から起算して1月を経過する日 (ロ)当該修正申告をした日の翌日(ハ)当該更正通知書が発せられた日
3.(イ)当該期限後特例申告書を提出した日の翌日から起算して1月を経過する日(ロ)当該修正申告をした日 (ハ)当該更正通知書が発せられた日
4.(イ)当該期限後特例申告書を提出した日(ロ)当該修正申告をした日の翌日から起算して1月を経過する日 (ハ)当該更正通知書が発せられた日
5.(イ)当該期限後特例申告書を提出した日 (ロ)当該修正申告をした日 (ハ)当該更正通知書が発せられた日の翌日から起算して1月を経過する日",5,"納税申告をした者は、原則としてその申告に係る書面又は更正通知書に記載された納付すべき税額に相当する関税を、当該申告に係る貨物を輸入する日までに国に納付しなければならないとされている。ただし、次の(1)から(3)までに掲げる税額に相当する関税の納税義務者は、その関税をそれぞれに定める日までに国に納付しなければならないとされている(関9条2項2号、4号、7号)。
(1)期限後特例申告書に記載された納付すべき税額  当該期限後特例申告書を提出した日
(2)輸入の許可後にした修正申告に係る書面に記載された納付すべき税額  当該修正申告をした日
(3)関税法7条の16第2項(更正及び決定)の規定による決定がされた後にされた更正に係る更正通知書に記載された納付すべき税額  当該更正通知書が発せられた日の翌日から起算して1月を経過する日
[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-2.法定納期限と納期限-（2）原則、（3）例外-②特例申告貨物、④輸入許可後の修正申告、⑦決定後の更正]"
法定納期限と納期限,51-3-2,A,特例輸入者が、期限内特例申告書を提出した場合において、当該期限内特例申告書に記載された納付すべき税額に相当する関税を納付すべき期限に関し、(ニ)までにその延長を受けたい旨の申請書を税関長に提出したときは、当該税関長は、当該納付すべき期限を(ホ)に限り延長することができる。この場合において、当該税関長は、関税の保全のために必要があると認めるときは、当該特例輸入者に対し、当該期限内特例申告書に記載した関税額の全部又は一部に相当する額の担保の提供を命ずることができる。,"1.(ニ)特例申告書に係る貨物の輸入の許可の日 (ホ)1月以内
2.(ニ)特例申告書の提出期限 (ホ)3月以内
3.(ニ)特例申告書に係る貨物の引取りの日 (ホ)3月以内
4.(ニ)特例申告書に係る貨物の輸入の許可の日 (ホ)3月以内
5.(ニ)特例申告書の提出期限 (ホ)2月以内",5,"特例輸入者が、期限内特例申告書を提出した場合において、当該期限内特例申告書に記載された納付すべき税額に相当する関税を納付すべき期限に関し、特例申告書の提出期限までにその延長を受けたい旨の申請書を税関長に提出したときは、当該税関長は、当該関税額が当該提供された担保の額を超えない範囲内において、当該納付すべき期限を2月以内に限り延長することができる。この場合において、当該税関長は、関税の保全のために必要があると認めるときは、当該特例輸入者に対し、当該期限内特例申告書に記載した関税額の全部又は一部に相当する額の担保の提供を命ずることができる(期限内特例申告書を提出した場合の納期限の延長 関9条の2第3項)。
[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-2.法定納期限と納期限-（2）原則、（3）例外-①納期限の延長]"
輸入通関,51-4-1,A,"関税法第67条の2第1項(輸出申告又は輸入申告の手続)の規定の適用を受ける輸入申告については、輸入の許可を受けるためにその申告に係る(イ)の所在地を所轄する税関長に対してしなければならない。
外国貿易船に積み込んだ状態で輸入申告をすることが必要な貨物を輸入しようとする者は、関税法第67条の2第1項の規定にかかわらず、税関長の(ロ)を受けて、当該外国貿易船の(ハ)を所轄する税関長に対して輸入申告をすることができる。","1.(イ)貨物を引き取ろうとする輸入者 (ロ)指定 (ハ)貨物を外国貿易船から船卸しする港
2.(イ)貨物を入れる保税地域等 (ロ)指定 (ハ)貨物を外国貿易船から船卸しする港
3.(イ)貨物を入れる保税地域等 (ロ)承認 (ハ)係留場所
4.(イ)貨物を外国貿易船から船卸しする港 (ロ)承認 (ハ)係留場所
5.(イ)貨物を外国貿易船から船卸しする港 (ロ)同意 (ハ)寄港するいずれかの港",3,"関税法67条の2第1項(輸出申告又は輸入申告の手続)の規定の適用を受ける輸入申告については、輸入の許可を受けるためにその申告に係る貨物を入れる保税地域等の所在地を所轄する税関長に対してしなければならない。
外国貿易船に積み込んだ状態で輸入申告をすることが必要な貨物を輸入しようとする者は、関税法67条の2第1項の規定にかかわらず、税関長の承認を受けて、当該外国貿易船の係留場所を所轄する税関長に対して輸入申告をすることができる(関67条の2第1項、2項)。

輸入申告は原則として貨物を入れる保税地域等の所在地を所轄する税関長に対して行う(関67条の2第1項)。しかし、例外もいくつかあり、そのうちの1つが本問のように外国貿易船に積み込んだ状態で輸入申告をする「本船扱い」の場合である。本船扱いの場合は、外国貿易船の係留場所を所轄する税関長に対して輸入申告をすることができる(関67条の2第2項、関令59条の5第1項1号)。

[参照　第2編（関税法）-第3章（輸出入申告）-1.申告先-（2）例外1 本船扱い、ふ中扱い、第2編（関税法）-第3章（輸出入申告）-2.申告と保税地域等への搬入-（2）輸入申告と搬入の例外1 本船扱い、ふ中扱い]"
輸入通関,51-4-2,A,関税法第67条の19(輸入申告の特例)の規定により、(ニ)は、関税法第67条の2第1項又は第2項の規定にかかわらず、(ホ)に対して輸入申告をすることができる。,"1.(ニ)認定通関業者 (ホ)財務大臣
2.(ニ)認定通関業者 (ホ)あらかじめ申出を行った税関長
3.(ニ)特例輸入者又は特例委託輸入者 (ホ)いずれかの税関長
4.(ニ)認定通関業者 (ホ)いずれかの税関長
5.(ニ)特例輸入者又は特定輸出者 (ホ)あらかじめ申出を行った税関長",3,"関税法67条の19(輸入申告の特例)の規定により、特例輸入者又は特例委託輸入者は、関税法67条の2第1項又は2項の規定にかかわらず、いずれかの税関長に対して輸入申告をすることができる。

輸入申告は原則として貨物を入れる保税地域等の所在地を所轄する税関長に対して行う(関67条の2第1項)。しかし、例外もいくつかあり、そのうちの1つが輸入申告の特例を利用して輸入(引取)申告を行う場合である。このときいずれかの税関長に対して輸入申告をすることができるが、輸入申告の特例を利用できるのは、特例輸入者又は特例委託輸入者である。

[参照　第2編（関税法）-第3章（輸出入申告）-1.申告先-（2）例外2 申告の特例、第2編（関税法）-第4章（輸出入申告の特例）-2.輸入申告の特例-（1）特徴]"
減免戻し税,51-5-1,B,関税定率法第14条第3号の3(博覧会等用のカタログ等の無条件免税)に規定する免税の対象となる貨物は、(イ)の適用を受けて開催される国際博覧会及び国際機関、本邦若しくは外国の政府若しくは(ロ)又は一般社団法人若しくは一般財団法人が開催する博覧会、(ハ)その他これらに類するものへの参加国が発行したこれらの博覧会等のための公式のカタログ、パンフレット、ポスターその他これらに類するものが含まれる。,"1.(イ)国際博覧会に関する条約 (ロ)国際会議 (ハ)見本市
2.(イ)国際博覧会に関する条約 (ロ)地方公共団体 (ハ)見本市
3.(イ)国際的な運動競技会 (ロ)国際会議 (ハ)見本市
4.(イ)国際的な運動競技会 (ロ)地方公共団体 (ハ)国際会議
5.(イ)国際的な運動競技会 (ロ)地方公共団体 (ハ)見本市",2,"関税定率法14条第3号の3(博覧会等用のカタログ等の無条件免税)に規定する免税の対象となる貨物は、国際博覧会に関する条約の適用を受けて開催される国際博覧会及び国際機関、本邦若しくは外国の政府若しくは地方公共団体又は一般社団法人若しくは一般財団法人が開催する博覧会、見本市その他これらに類するものへの参加国が発行したこれらの博覧会等のための公式のカタログ、パンフレット、ポスターその他これらに類するものが含まれる(関率令13条の2)。
[参照　第3編（関税定率法、関税暫定措置法）-第3章（減免戻し税1（無条件））-3.無条件免税（関率14条）-（1）要件、金額]"
減免戻し税,51-5-2,A,関税定率法第15条第1項第3号(慈善又は救じゅつのための寄贈物品の特定用途免税)に規定する免税の対象となる貨物は、慈善又は救じゅつのために寄贈された(ニ)及び救護施設又は養老施設その他の(ホ)事業を行う施設に寄贈された物品で(ニ)以外のもののうちこれらの施設において直接(ホ)の用に供するものと認められるものであって、その輸入の許可の日から2年以内にこれらの用途以外の用途に供されないものとされている。,"1.(ニ)公用品 (ホ)友好親善
2.(ニ)記念品 (ホ)友好親善
3.(ニ)記念品 (ホ)社会福祉
4.(ニ)給与品 (ホ)社会福祉
5.(ニ)給与品 (ホ)友好親善",4,"関税定率法15条第1項3号(慈善又は救じゅつのための寄贈物品の特定用途免税)に規定する免税の対象となる貨物は、慈善又は救じゅつのために寄贈された給与品及び救護施設又は養老施設その他の社会福祉事業を行う施設に寄贈された物品で給与品以外のもののうちこれらの施設において直接社会福祉の用に供するものと認められるものであって、その輸入の許可の日から2年以内にこれらの用途以外の用途に供されないものとされている(関率15条1項3号)。
[参照　第3編（関税定率法、関税暫定措置法）-第4章（減免戻し税2（条件付き））-3.特定用途免税（関率15条）-（1）要件、金額]"
輸出申告の特例,51-6-1,A,特定輸出者が、貨物を他の貨物と混載することなく外国貿易船に積み込んだ状態で特定輸出申告をする場合には、あらかじめ税関長に本船扱いの承認を受けなければならない。,○×,×,"貨物を混載することなく外国貿易船に積み込んだ状態で輸出申告をする場合（本船扱い）には、税関長の承認を受けて本船扱いの手続をしなければならないが(関67条の2第2項)、このような貨物について特定輸出申告を行う場合には、本船扱いの手続を要しない(関67条の3第1項、関通67の2-1)。 つまり、本船扱いをすることにつき税関長の承認を受けなくても、本船に貨物を載せたまま検査や輸出許可が受けられる。
[参照　第2編（関税法）-第3章（輸出入申告）-1.申告先-（2）例外1 本船扱い、ふ中扱い、（3）例外2 申告の特例、第2編（関税法）-第4章（輸出入申告の特例）-1.輸出申告の特例-（1）特徴]"
輸出通関,51-6-2,B,本邦から出国する旅客の携帯品については、口頭により輸出申告を税関長がさせることができるとされているが、外国為替令第8条の2第1項第2号(支払手段等の輸出入の届出)に掲げる貴金属(金の地金のうち、当該金の地金の全重量に占める金の含有量が90%以上のものに限る。)であって、その重量が1kgを超えるものを携帯して輸出する場合には、税関長に対して支払手段等の携帯輸出申告書により輸出申告をして許可を受ける必要がある。,○×,○,"輸出申告は、原則として輸出申告書を税関長に提出して行う。例外として、貨物が旅客又は乗組員の携帯品であるときは、口頭で申告させることができる。例外の例外として、貨物が旅客又は乗組員の携帯品であっても、①外国為替令8条の2第1項1号の支払手段（お金や小切手等のこと。）又は証券に該当するものであり、合計額が100万円（特定の地域が仕向地であれば合計額が10万円）に相当する額を超えるものと②貴金属であって、合計重量が1kgを超えるものに該当するものは、口頭で申告させることができず、税関長に対して、支払手段等の携帯輸出申告書により輸出申告をして、輸出の許可を受ける必要がある(関令58条、外国為替令8条の2第1項、外国為替に関する省令10条1項3号)。
[参照　第2編（関税法）-第3章（輸出入申告）-3.申告の方法-（1）原則、（2）例外1 携帯品の輸出申告]"
輸出申告の特例,51-6-3,A,特定委託輸出申告を行うときは、その申告に係る貨物の通関手続を認定通関業者に委託し、かつ、その申告に係る貨物が置かれている場所から当該貨物を外国貿易船に積み込もうとする港までの運送を特定保税運送者に委託しなければならない。,○×,○,"特定委託輸出申告を行うときは、その申告に係る貨物の通関手続を認定通関業者に委託し、かつ、その申告に係る貨物が置かれている場所から当該貨物を外国貿易船に積み込もうとする港（開港、税関空港又は不開港）までの運送を特定保税運送者に委託しなければならない(関67条の3第1項)。
[参照　第2編（関税法）-第4章（輸出入申告の特例）-1.輸出申告の特例-（1）特徴、（2）流れ]"
輸出通関,51-6-4,A,輸出の許可を受けた貨物の全部について、その輸出を取り止める場合であって、当該貨物の全部を国内に引き取るときは、輸入(納税)申告書を税関長に提出する必要があるが、当該貨物の全部が船積み前であれば輸入貿易管理令の規定による輸入承認を必要としない。,○×,○,"輸出の許可を受けた貨物が、一旦船舶又は航空機に積み込まれたものであるときは、その国内への引取りにつき、通常の輸入手続を必要とするし、輸入貿易管理令の規定による輸入承認を要する(関通67-1-15(1))。しかし、輸出の許可を受けた貨物が船舶又は航空機に積み込まれる前にその輸出が取止めとなり、これを国内に引き取る場合は、輸入貿易管理令の規定による輸入承認は要しない(関通67-1-15(2))。
[参照　第2編（関税法）-第3章（輸出入申告）-17.撤回、取止め、取消し]"
関税関係帳簿等,51-6-5,B,貨物を業として輸出する者は、当該貨物の品名、数量及び価格その他の必要な事項を記載した帳簿（関税関係帳簿）を備え付け、かつ、当該帳簿を保存しなければならないこととされており、その保存しなければならない期間は輸出許可貨物の輸出の許可の日の翌日から7年間である。,○×,×,"貨物を業として輸出する者は、当該貨物の品名、数量及び価格その他の必要な事項を記載した帳簿（関税関係帳簿）を備え付け、かつ、当該関税関係帳簿を輸出の許可の日の翌日から「5年間」（「7年間」ではない。）保存しなければならない(関94条2項、関令83条8項)。
[参照　第2編（関税法）-第7章（関税関係帳簿等）-1.関税関係帳簿等-（4）保存期間]"
輸入申告の特例,51-7-1,A,特例輸入者が特例申告に係る貨物の輸入申告を行う場合には、当該貨物を保税地域に入れた後にするものとされている。,○×,×,"特例輸入申告は、貨物を保税地域に入れる前でもできる(関67条の2第3項3号、関令59条の6第3項)。
[参照　第2編（関税法）-第3章（輸出入申告）-2.申告と保税地域等への搬入-（5）輸入申告と搬入の例外4 輸入申告の特例、第2編（関税法）-第4章（輸出入申告の特例）-2.輸入申告の特例-（1）特徴]"
AEO事業者等になるための要件と失効・取消し等,51-7-2,B,税関長は、特例輸入者が特例申告書をその提出期限までに提出しなかったときは、当該特例輸入者に係る関税法第7条の2第1項(申告の特例)の承認を取り消すことができる。,○×,○,"税関長は、特例輸入者が特例申告書をその提出期限までに提出しなかったとき、つまり期限内特例申告をしなかったときは、当該特例輸入者に係る申告の特例の承認を取り消すことができる(関7条の12第1項1号ハ)。
[参照　第2編（関税法）-第8章（AEO事業者等になるための要件と失効・取消し等）-1.特定輸出者、特例輸入者-（2）失効事由、取消事由-③取消事由]"
