カテゴリー,問題番号,重要度,問題,選択肢,正解,解説
課税物件確定時期と適用法令,53-1-1,A,"保税工場における保税作業による製品である外国貨物に対し、関税を課する場合の基礎となる当該貨物の性質及び数量は、当該貨物の原料である外国貨物につき、保税工場に置くことが承認された時又は(イ)における現況による。
保税蔵置場にある外国貨物で、亡失したものに対し、関税を課する場合の基礎となる当該貨物の性質及び数量は、(ロ)における現況による。
1年の範囲内で税関長が指定する期間内に積み込まれる船用品の積込みについて一括して税関長の承認を受けて保税地域から引き取られた船用品で、当該承認の際に税関長が指定した積込みの期間内に船舶に積み込まれないものに対し、関税を課する場合の基礎となる当該貨物の性質及び数量は、(ハ)における現況による。","1.(イ)保税工場において保税作業が終了した時 (ロ)保税蔵置場に入れられた時 (ハ)保税地域から引き取られた時
2.(イ)保税工場に置くことの承認の申請の時 (ロ)保税蔵置場の許可を受けた者が亡失した旨を税関長に届け出た時 (ハ)積込みの承認がされた時
3.(イ)保税工場に置くことの承認の申請の時 (ロ)亡失の時 (ハ)保税地域から引き取られた時
4.(イ)保税工場において保税作業に使用することが承認された時 (ロ)亡失の時 (ハ)保税地域から引き取られた時
5.(イ)保税工場において保税作業に使用することが承認された時 (ロ)亡失の時 (ハ)積込みの承認の申告の時",4,"「の時における現況による」という表現は、課税物件確定時期を意味する。つまり本問は、課税物件確定時期がいつなのかを問うものである。
まず、保税工場における保税作業による製品である外国貨物に対し、関税を課する場合の基礎となる当該貨物の性質及び数量は、当該貨物の原料である外国貨物につき、保税工場に置くことが承認された時又は保税工場において保税作業に使用することが承認された時における現況による(関4条1項2号)。
次に、保税蔵置場にある外国貨物で、亡失したものに対し、関税を課する場合の基礎となる当該貨物の性質及び数量は、亡失の時における現況による(関4条1項4号)。
そして、税関長が指定する期間内に積み込まれる船用品の積込みについて一括して税関長の承認を受けて保税地域から引き取られた船用品で、当該承認の際に税関長が指定した積込みの期間内に船舶に積み込まれないものに対し、関税を課する場合の基礎となる当該貨物の性質及び数量は、保税地域から引き取られた時における現況による(関4条1項5号)。
[参照　第2編（関税法）-第13章（課税要件1（課税要件、課税物件、課税物件確定時期と適用法令））-3.課税物件確定時期と適用法令-（2）原則、（3）例外-③保税工場又は総合保税地域における保税作業による製品、⑧積込みの指定期間内に積み込まれない船用品又は機用品、⑭保税地域にあるか他所蔵置許可場所の許可を受けた貨物で、亡失又は滅却]"
課税物件確定時期と適用法令,53-1-2,A,"税関長に収容された外国貨物で公売に付されるものに対し、関税を課する場合の基礎となる当該貨物の性質及び数量は、(ニ)における現況による。
保税展示場に入れられた外国貨物で、保税展示場以外の場所において使用する必要があるものにつき、税関長が期間及び場所を指定し、保税展示場以外の場所で当該外国貨物を使用することを許可した場合において、その指定された場所にその指定された期間を経過した後置かれているものに対し、関税を課する場合の基礎となる当該貨物の性質及び数量は、(ホ)における現況による。","1.(ニ)公売の時 (ホ)保税展示場以外の場所に出された時
2.(ニ)公売の時 (ホ)保税展示場以外の場所で使用することが許可された時
3.(ニ)収容の時 (ホ)保税展示場以外の場所で使用することが許可された時
4.(ニ)収容の日の翌日から7日を経過した時 (ホ)保税展示場以外の場所で使用することが許可された時",2,"「の時における現況による」という表現は、課税物件確定時期を意味する。つまり本問は、課税物件確定時期がいつなのかを問うものである。
まず、税関長に収容された外国貨物で公売に付されるものに対し、関税を課する場合の基礎となる当該貨物の性質及び数量は、公売の時における現況による(関4条1項7号)。
次に、保税展示場に入れられた外国貨物で、保税展示場以外の場所において使用する必要があるものにつき、税関長が期間及び場所を指定し、保税展示場以外の場所で当該外国貨物を使用することを許可した場合において、その指定された場所にその指定された期間を経過した後置かれているものに対し、関税を課する場合の基礎となる当該貨物の性質及び数量は、保税展示場以外の場所で使用することが許可された時における現況による(関4条1項3号)。
[参照　第2編（関税法）-第13章（課税要件1（課税要件、課税物件、課税物件確定時期と適用法令））-3.課税物件確定時期と適用法令-（2）原則、（3）例外-①公売又は随意契約、⑤場外作業又は場外使用の許可後、指定された期間経過後も置かれている貨物]"
法定納期限と納期限,53-2-1,A,"期限後特例申告書に記載された納付すべき税額は、(イ)までに納付しなければならない。
輸入の許可後にされた更正に係る更正通知書に記載された納付すべき税額は、(ロ)までに納付しなければならない。
輸入の許可後にした修正申告に係る書面に記載された納付すべき税額は、(ハ)までに納付しなければならない。","1.(イ)期限後特例申告書を提出した日の翌日から起算して1月を経過する日 (ロ)更正通知書が発せられた日の属する月の末日 (ハ)修正申告をした日の翌日から起算してた1月を経過する日
2.(イ)期限後特例申告書を提出した日の翌日から起算して1月を経過する日 (ロ)更正通知書が発せられた日 (ハ)修正申告をした日の翌日から起算してた1月を経過する日
3.(イ)期限後特例申告書を提出した日の属する月の末日 (ロ)更正通知書が発せられた日の属する月の末日 (ハ)修正申告をした日の属する月の末日
4.(イ)期限後特例申告書を提出した日の属する月の末日 (ロ)更正通知書が発せられた日 (ハ) 修正申告をした日
5.(イ)期限後特例申告書を提出した日 (ロ)更正通知書が発せられた日の翌日から起算して1月を経過する日 (ハ)修正申告をした日",5,"「までに納付しなければならない」という表現は、納期限を意味する。つまり本問は、納期限がいつなのかを問うものである。
まず、期限後特例申告書に記載された納付すべき税額は、期限後特例申告書を提出した日までに納付しなければならない(関9条2項2号)。
次に、輸入の許可後にされた更正に係る更正通知書に記載された納付すべき税額は、更正通知書が発せられた日の翌日から起算して1月を経過する日までに納付しなければならない(関9条2項5号)。
そして、輸入の許可後にした修正申告に係る書面に記載された納付すべき税額は、修正申告をした日までに納付しなければならない(関9条2項4号)。
[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-2.法定納期限と納期限-（2）原則、（3）例外-②特例申告貨物、④輸入許可後の修正申告、⑤輸入許可後の更正]"
法定納期限と納期限,53-2-2,A,"申告納税方式が適用される貨物を輸入しようとする者が輸入申告に併せて納税申告を行った場合において、当該申告に係る関税を納付すべき期限に関し、その延長を受けたい旨の申請書を当該申告に係る税関長に提出し、かつ、当該関税の額の全部又は一部に相当する額の
(ニ)を当該税関長に提供したときは、当該税関長は、当該関税の額が当該提供された(ニ)の額を超えない範囲内において、その納期限を(ホ)以内に限り延長することができる。","1.(ニ)金銭 (ホ)1月
2.(ニ)金銭 (ホ)2月
3.(ニ)担保 (ホ)2月
4.(ニ)担保 (ホ)3月
5.(ニ)債権 (ホ)3月",4,"申告納税方式が適用される貨物を輸入しようとする者が輸入申告に併せて納税申告を行った場合において、当該申告に係る関税を納付すべき期限に関し、その延長を受けたい旨の申請書を当該申告に係る税関長に提出し、かつ、当該関税の額の全部又は一部に相当する額の担保を当該税関長に提供したときは、当該税関長は、当該関税の額が当該提供された担保の額を超えない範囲内において、その納期限を3月以内に限り延長することができる(納期限の個別延長方式 関9条の2第1項)。
[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-2.法定納期限と納期限-（3）例外-①納期限の延長]"
関税法等の特例法,53-3-1,C,"①日本国とアメリカ合衆国との間の相互協力及び安全保障条約に基づき日本国にあるアメリカ合衆国の陸軍、空軍及び海軍(以下「合衆国軍隊」という。)、合衆国軍隊の公認調達機関及び軍人用販売機関等以外の者が、合衆国軍隊の(イ)輸入する物品で、当該物品がその目的のために輸入する物品であることにつき合衆国軍隊の(ロ)による証明のされたものについては、関税を(ハ)することとされている。
②上記①の証明は、関税の(ハ)を受けようとする物品の品名、個数及び数量並びに当該物品の引渡しを受けるべき合衆国軍隊の名称及び所在地並びにその(ニ)を記載し、かつ、合衆国軍隊の(ロ)が発給した証明書をもってしなければならないこととされている。
③上記②の証明書は、当該証明書による証明に係る物品の(ホ)に際し、税関に提出しなければならない。
(注)「軍人用販売機関等」:日本国とアメリカ合衆国との間の相互協力及び安全保障条約第6条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定第15条第1項(a)に規定する諸機関をいう。","1.(イ)私用に供するために (ロ)要請を受理した外務大臣 (ハ)軽減 (ニ)使用をする者 (ホ)輸入申告
2.(イ)販売に供するために (ロ)要請を受理した財務大臣 (ハ)払戻し (ニ)販売をする者 (ホ)輸入申告
3.(イ)専用に供するために (ロ)権限ある官憲 (ハ)免除 (ニ)引渡しをする者 (ホ)輸入申告",3,"①日本国とアメリカ合衆国との間の相互協力及び安全保障条約に基づき日本国にあるアメリカ合衆国の陸軍、空軍及び海軍(以下「合衆国軍隊」という。)、合衆国軍隊の公認調達機関及び軍人用販売機関等以外の者が、合衆国軍隊の専用に供するために輸入する物品で、当該物品がその目的のために輸入する物品であることにつき合衆国軍隊の権限ある官憲による証明のされたものについては、関税を免除することとされている(日本国とアメリカ合衆国との間の相互協力及び安全保障条約第６条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う関税法等の臨時特例に関する法律6条3号)。
②上記①の証明は、関税の免除を受けようとする物品の品名、個数及び数量並びに当該物品の引渡しを受けるべき合衆国軍隊の名称及び所在地並びにその引渡しをする者を記載し、かつ、合衆国軍隊の権限ある官憲が発給した証明書をもってしなければならないこととされている(同法施行令3条2項)。
③上記②の証明書は、当該証明書による証明に係る物品の輸入申告に際し、税関に提出しなければならない(同法施行令3条4項)。
[参照　第5編（関税法等の特例法）-3.地位協定]"
輸入通関,53-4-1,A,税関長は、原産地について直接若しくは間接に偽った表示又は(イ)を生じさせる表示がされている外国貨物については、輸入を許可せず、当該貨物を輸入申告した者に、その表示がある旨を、直ちに通知し、期間を指定して、その者の選択により、その表示を消させ、若しくは訂正させ、又は当該貨物を(ロ)させなければならないこととされている。,"1.(イ)混同 (ロ)積戻し
2.(イ)誤認 (ロ)廃棄
3.(イ)誤認 (ロ)積戻し
4.(イ)錯誤 (ロ)返還
5.(イ)錯誤 (ロ)廃棄",3,"税関長は、原産地について直接若しくは間接に偽った表示又は誤認を生じさせる表示がされている外国貨物については、輸入を許可せず、当該貨物を輸入申告した者に、その表示がある旨を、直ちに通知し、期間を指定して、その者の選択により、その表示を消させ、若しくは訂正させ、又は当該貨物を積戻しさせなければならないこととされている(関71条)。
[参照　第2編（関税法）-第3章（輸出入申告）-9.原産地虚偽・誤認表示(輸入のみ)]"
輸入通関,53-4-2,A,"税関長は、当該貨物について当該貨物の輸入申告をした者がその期間内にその表示を消し、若しくは訂正し、又は当該貨物を積戻ししないときは、これを(ハ)することとされており、当該(ハ)された貨物は、その表示が消され、若しくは訂正され、又は当該貨物が積戻しされると認められる場合に限り(ニ)することとされている。
輸入される郵便物中にある信書以外の物にその原産地について直接若しくは間接に偽った表示又は誤認を生じさせる表示がされているときは、税関長は、その旨を(ホ)に通知しなければならないこととされている。","1.(ハ)差押え (ニ)返還 (ホ)名宛人
2.(ハ)差押え (ニ)還付 (ホ)日本郵便株式会社
3.(ハ)留置 (ニ)返還 (ホ)日本郵便株式会社 
4.(ハ)廃棄 (ニ)還付 (ホ)差出人
5.(ハ)滅却 (ニ)返還 (ホ)名宛人",3,"税関長は、当該貨物について当該貨物の輸入申告をした者がその期間内にその表示を消し、若しくは訂正し、又は当該貨物を積戻ししないときは、これを留置することとされており、当該留置された貨物は、その表示が消され、若しくは訂正され、又は当該貨物が積戻しされると認められる場合に限り返還することとされている(関87条)。
輸入される郵便物中にある信書以外の物にその原産地について直接若しくは間接に偽った表示又は誤認を生じさせる表示がされているときは、税関長は、その旨を日本郵便株式会社に通知しなければならないこととされている(関78条1項)。
[参照　第2編（関税法）-第3章（輸出入申告）-9.原産地虚偽・誤認表示(輸入のみ)、第2編（関税法）-第6章（郵便物の輸出入）-4.原産地虚偽・誤認表示]"
通則,53-5-1,B,"(a)写真機用ケース、楽器用ケース、銃用ケース、製図機器用ケース、首飾り用ケースその他これらに類する容器で特定の物品又は物品のセットを収納するために特に製作し又は適合させたものであって、(イ)の使用に適し、当該容器に収納される物品とともに提示され、かつ、通常当該物品とともに(ロ)されるものは、当該物品に含まれる。ただし、この(a)の原則は、(ハ)を全体に与えている容器については、適用しない。 
(b)  (a)の規定に従うことを条件として、物品とともに提示し、かつ、当該物品の(ニ)に通常使用する(ニ)材料及び(ニ)容器は、当該物品に含まれる。ただし、この(b)の規定は、(ホ)に適することが明らかな(ニ)材料及び(ニ)容器については、適用しない。","1.(イ)一定期間 (ロ)廃棄 (ハ)付加価値 (ニ)保護 (ホ)特定の用途
2.(イ)長期間 (ロ)輸入 (ハ)重要な特性 (ニ)包装 (ホ)反復使用
3.(イ)一定期間 (ロ)展示 (ハ)付加価値 (ニ)包装 (ホ)反復使用
4.(イ)長期間 (ロ)販売 (ハ)重要な特性 (ニ)包装 (ホ)反復使用
5.(イ)短期間 (ロ)輸入 (ハ)装飾性 (ニ)包装 (ホ)特定の用途",4,"(a)写真機用ケース、楽器用ケース、銃用ケース、製図機器用ケース、首飾り用ケースその他これらに類する容器で特定の物品又は物品のセットを収納するために特に製作し又は適合させたものであって、長期間の使用に適し、当該容器に収納される物品とともに提示され、かつ、通常当該物品とともに販売されるものは、当該物品に含まれる。ただし、この(a)の原則は、重要な特性を全体に与えている容器については、適用しない。
(b)  (a)の規定に従うことを条件として、物品とともに提示し、かつ、当該物品の包装に通常使用する包装材料及び包装容器は、当該物品に含まれる。ただし、この(b)の規定は、反復使用に適することが明らかな包装材料及び包装容器については、適用しない。
[参照　第1編（申告書の作成、通則、課税価格の決定）-第2章（通則）-5.通則5]"
納税義務者,53-6-1,A,税関長が保税地域に置くことが困難であると認め期間及び場所を指定して保税地域以外の場所に置くことを許可した外国貨物であって、その指定された場所にあるもの(輸出の許可を受けたものを除く。)が、税関長の承認を受けることなく滅却されたときは、その保税地域以外の場所に置くことの許可を受けた者がその関税を納める義務を負う。,○×,○,"「税関長が保税地域に置くことが困難であると認め期間及び場所を指定して保税地域以外の場所に置くことを許可した外国貨物」とは、他所蔵置許可場所に置かれた外国貨物のことである(関30条1項2号)。他所蔵置許可場所に置かれた外国貨物（輸出の許可を受けたものを除く。）が、税関長の承認を受けることなく滅却されたときは、他所蔵置許可場所の許可を受けた者（つまり保税地域以外の場所に置くことの許可を受けた者）が関税を納める義務を負う(関36条1項、45条1項)。
[参照　第2編（関税法）-第10章（保税地域）-7.共通ルール1（保税地域等に共通する事項）-（1）外国貨物を置く場所、（4）亡失、滅却、廃棄と関税の徴収、第2編（関税法）-第14章（納税義務者）-2.例外-（1）例外的納税義務者-①亡失又は滅却]"
納税義務者,53-6-2,A,保税展示場にある外国貨物(輸出の許可を受けたものを除く。)が亡失したときは、当該貨物の所有者がその関税を納める義務を負う。,○×,×,"「当該貨物の所有者」ではなく「当該保税展示場の許可を受けた者」である(関62条の7、45条1項)。
[参照　第2編（関税法）-第10章（保税地域）-7.共通ルール1（保税地域等に共通する事項）-（4）亡失、滅却、廃棄と関税の徴収、第2編（関税法）-第14章（納税義務者）-2.例外-（1）例外的納税義務者-①亡失又は滅却]"
