カテゴリー,問題番号,重要度,問題,選択肢,正解,解説
課税物件確定時期と適用法令,54-1-1,A,"関税を課する場合に適用する法令については、関税法第5条において同条各号に個別に定める場合を除き、(イ)の属する日において適用される法令によることとされている。 
同条各号においては、例えば、 
・同法第67条の2第3項第3号に該当して輸入申告がされた貨物(特例輸入者がその申告に係る貨物を保税地域等に入れることなく電子情報処理組織(NACCS)を使用して輸入申告をした貨物)であって、輸入の許可を受けたものについては、(ロ)の属する日 
・賦課課税方式が適用される郵便物であって、日本郵便株式会社から税関長に提示がされたものについては、(ハ)の属する日
において適用される法令によることとされている。","1.(イ)提示がされた時 (ロ)貨物が本邦に到着した時 (ハ)名宛人に交付された時
2.(イ)輸入申告の時 (ロ)輸入の許可の時 (ハ)提示がされた時
3.(イ)輸入申告の時 (ロ)特例申告の時 (ハ)名宛人に交付された時
4.(イ)輸入の許可の時 (ロ)輸入申告の時 (ハ)提示がされた時
5.(イ)輸入の許可の時 (ロ)特例申告の時 (ハ)名宛人に交付された",2,"関税法5条によると、関税を課する場合に適用する法令については、関税法第5条において同条各号に個別に定める場合を除き、輸入申告の時の属する日において適用される法令によることとされている。同条各号においては、例えば、同法第67条の2第3項第3号に該当して輸入申告がされた貨物(特例輸入者がその申告に係る貨物を保税地域等に入れることなく電子情報処理組織(NACCS)を使用して輸入申告をした貨物)であって、輸入の許可を受けたものについては、輸入の許可の時の属する日において適用される法令によることとされ(関5条1号、4条1項5号の3)、賦課課税方式が適用される郵便物であって、日本郵便株式会社から税関長に提示がされたものについては、提示がされた時の属する日において適用される法令によることとされている(関5条1号、4条1項6号)。
[参照　第2編（関税法）-第13章（課税要件1（課税要件、課税物件、課税物件確定時期と適用法令））-3.課税物件確定時期と適用法令-（2）原則、（3）例外-⑩特例申告貨物、⑪提示せず輸入した郵便物]"
課税物件確定時期と適用法令,54-1-2,A,"関税を課する場合に適用する法令については、関税法第5条において同条各号に個別に定める場合を除き、輸入申告の時の属する日において適用される法令によることとされている。
同条各号においては、例えば、
・収容された外国貨物で公売に付されるものについては、(ニ)の属する日
・保税蔵置場に置かれた外国貨物で、輸入の許可前における貨物の引取りの承認を受けて引き取られるものについて、輸入申告がされた後その承認がされる前に当該貨物に適用される法令の改正があったものについては、(ホ)の属する日
において適用される法令によることとされている。","1.(ニ)収容の時 (ホ)輸入の許可前における貨物の引取りの承認がされた時
2.(ニ)収容の時 (ホ)輸入の許可前における貨物の引取りの承認の申請がされた時
3.(ニ)公売の時 (ホ)輸入の許可前における貨物の引取りの承認がされた時
4.(ニ)貨物が本邦に到着した時 (ホ)輸入の許可前における貨物の引取りの承認の申請がされた時
5.(ニ)収容課金が納付された時 (ホ)保税蔵置場に置かれた時",3,"関税法5条によると、関税を課する場合に適用する法令については、関税法第5条において同条各号に個別に定める場合を除き、輸入申告の時の属する日において適用される法令によることとされている。同条各号においては、例えば、収容された外国貨物で公売に付されるものについては、公売の時の属する日において適用される法令によることとされ(関5条1号、4条1項7号)、保税蔵置場に置かれた外国貨物で、輸入の許可前における貨物の引取りの承認を受けて引き取られるものについて、輸入申告がされた後その承認がされる前に当該貨物に適用される法令の改正があったものについては、輸入の許可前における貨物の引取りの承認がされた時の属する日において適用される法令によることとされている(関5条2号)。
[参照　第2編（関税法）-第13章（課税要件1（課税要件、課税物件、課税物件確定時期と適用法令））-3.課税物件確定時期と適用法令-（2）原則、（3）例外-①公売又は随意契約、⑥蔵入承認又は総保入承認を受けた貨物]"
賦課権の期間制限と徴収権の消滅時効,54-2-1,A,"関税の徴収を目的とする国の権利は、その関税の法定納期限等から(イ)間行使しないことによって、時効により消滅する。
この「法定納期限等」とは、当該関税（(ロ)にあっては、その納付の起因となった関税）を課される(ハ)日（輸入の許可を受ける貨物については、(ニ)日）とする。","1.(イ)2年 (ロ)附帯税 (ハ)貨物を輸入する (ニ) 貨物を輸入する日の翌日から起算して1月を経過する
2.(イ)2年 (ロ)延滞税 (ハ)貨物が本邦に到着した (ニ)輸入の申告の
3.(イ)3年 (ロ)延滞税 (ハ)貨物が本邦に到着した (ニ)輸入の許可の
4.(イ)5年 (ロ)延滞税 (ハ)貨物を輸入する (ニ)貨物を輸入する日の翌日から起算して1月を経過する
5.(イ)5年 (ロ)過少申告加算税、無申告加算税又は重加算税 (ハ)貨物を輸入する(ニ)輸入の許可の",5,"関税の徴収を目的とする国の権利は、その関税の法定納期限等から5年間行使しないことによって、時効により消滅する(関14条の2第1項)。 この「法定納期限等」とは、当該関税（過少申告加算税、無申告加算税又は重加算税にあっては、その納付の起因となった関税）を課される貨物を輸入する日（輸入の許可を受ける貨物については、輸入の許可の日）とする(関14条7項)。ちなみに「法定納期限」と「法定納期限『等』」は別物であり、後者は税関長が関税を徴収する権利の時効の起算日としての役割を持つ(関14条の2第1項)。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効）-3.賦課権の期間制限と徴収権の消滅時効-（2）法定納期限等、（4）徴収権の消滅事項-①消滅時効の期間]"
賦課権の期間制限と徴収権の消滅時効,54-2-2,A,関税の徴収を目的とする国の権利で、偽りその他不正の行為によりその全部若しくは一部の税額を免れ、又は関税を納付すべき貨物について関税を納付しないで輸入した場合における当該貨物に係る関税に係るものの時効は、当該関税の法定納期限等から(ホ)間は、進行しない。,"1.(ホ)1年
2.(ホ)2年
3.(ホ)3年
4.(ホ)5年
5.(ホ)6月",2,"関税の徴収を目的とする国の権利で、偽りその他不正の行為によりその全部若しくは一部の税額を免れ、又は関税を納付すべき貨物について関税を納付しないで輸入した場合における当該貨物に係る関税に係るものの時効は、当該関税の法定納期限等から2年間は、進行しない(関14条の2第2項、国税通則法73条3項)。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効）-3.賦課権の期間制限と徴収権の消滅時効-（2）法定納期限等、（4）徴収権の消滅事項-①消滅時効の期間]"
輸出通関,54-3-1,A,船舶によって輸出しようとする貨物についての輸出申告書に記載すべき当該貨物の価格は、当該貨物の(イ)価格(無償で輸出される貨物については、(ロ)この価格)とされている。,"1.(イ)本邦の輸出港における本船甲板渡し (ロ)当該貨物が有償で輸出されるものとした場合の
2. (イ)本邦の製造工場における引渡し (ロ)当該貨物の製造原価に基づく
3. (イ)本邦の製造工場における引渡し (ロ)当該貨物が有償で輸出されるものとした場合の
4. (イ)輸入国の指定地における引渡し (ロ)当該貨物と同種の貨物で輸出されたものの輸出申告時の
5. (イ)輸入国の指定地における引渡し (ロ)当該貨物が有償で輸出されるものとした場合の",1,"船舶によって輸出しようとする貨物についての輸出申告書に記載すべき当該貨物の価格は、当該貨物の本邦の輸出港における本船甲板渡し価格(つまりFOB価格)とされ、無償で輸出される貨物については、当該貨物が有償で輸出されると仮定した場合の本船甲板渡し価格とされている(関令59条の2第2項)。
[参照　第2編（関税法）-第3章（輸出入申告）-5.申告すべき数量と価格]"
関税関係帳簿等,54-3-2,B,"貨物(本邦から出国する者がその出国の際に携帯して輸出する貨物及び郵便物並びに特定輸出貨物を除く。)を(ハ)輸出する者は、輸出の許可を受けた貨物について当該貨物の品名、数量及び価格その他の必要な事項を記載した帳簿を備え付け、当該貨物の輸出の許可の日の翌日から(ニ)年間保存しなければならない。
特定輸出申告とは、(ホ)輸出の許可を受けようとする貨物につき特定輸出者が行う輸出申告をいう。","1.(ハ)業として (ニ)5 (ホ)保税地域等に入れないで
2.(ハ)業として (ニ)5 (ホ)保税地域等に入れた後に
3.(ハ)個人的な使用に供するため (ニ)5 (ホ)保税地域等に入れた後に
4.(ハ)有償で (ニ)7 (ホ)保税地域等に入れた後に
5.(ハ)有償で (ニ)10 (ホ)保税地域等に入れないで",1,"貨物(本邦から出国する者がその出国の際に携帯して輸出する貨物及び郵便物並びに特定輸出貨物を除く。)を業として輸出する者は、輸出の許可を受けた貨物について当該貨物の品名、数量及び価格その他の必要な事項を記載した帳簿（関税関係帳簿）を備え付け、当該貨物の輸出の許可の日の翌日から5年間保存しなければならない(関94条2項、関令83条2項、8項)。
[参照　第2編（関税法）-第7章（関税関係帳簿等）-1.関税関係帳簿等-（3）保存義務者、（4）保存期間]

また、特定輸出申告とは、保税地域等に入れないで輸出の許可を受けようとする貨物につき特定輸出者が行う輸出申告をいう(関67条の3第3項)。
[参照　第2編（関税法）-第4章（輸出入申告の特例）-1.輸出申告の特例-（1）特徴]"
保税地域,54-4-1,C,"保税蔵置場とは、外国貨物の(イ)をし、又はこれを置くことができる場所として、税関長が許可したものをいい、関税法第42条において、当該は、(ロ)を超えることができないこととされているが、(ロ)以内の期間を定めてこれを更新することができることとされている。
保税蔵置場に外国貨物を置くことができる期間は、当該貨物を最初に保税蔵置場に置くことが承認された日から(ハ)とされている。","1.(イ)改装、仕分けその他の手入れ (ロ)1年 (ハ)3月
2.(イ)改装、仕分けその他の手入れ (ロ)2年 (ハ)3月
3.(イ)展示 (ロ)10年 (ハ)8年
4.(イ)積卸し若しくは運搬 (ロ)10年 (ハ)2年
5.(イ)積卸し若しくは運搬 (ロ)5年 (ハ)1年",4,"保税蔵置場とは、外国貨物の積卸し若しくは運搬をし、又はこれを置くことができる場所として、税関長が許可したものをいい、関税法第42条において、当該許可の期間は、10年を超えることができないこととされているが、10年以内の期間を定めてこれを更新することができることとされている(関42条1項、2項)。 なお、通達では許可の期間も更新の期間も6年や3年を超えない期間とされているので(関通42-10、42-12(4)(5))、関税法においてという条件が問題に無ければ通達で定められた期間が問われていることに注意。通関士試験では通常、法律と通達での運用の違いを知らなくても解けるが、そこを聞いてくる珍しい問題である。実際の運用は通達に沿って行われるので、あまりいい問題とは言えない。
[参照　第2編（関税法）-第8章（AEO事業者等になるための要件と失効・取消し等）-3.保税蔵置場、保税工場、保税展示場-（3）許可期間]

保税蔵置場に外国貨物を置くことができる期間は、当該貨物を最初に保税蔵置場に置くことが承認された日から2年とされている(関43条の2第1項)。
[参照　第2編（関税法）-第10章（保税地域）-7.共通ルール1（保税地域等に共通する事項）-（2）蔵置期間]"
保税地域,54-4-2,B,保税蔵置場の許可を受けた者が当該保税蔵置場の業務を廃止したときは、当該保税蔵置場の許可は(ニ)することとされており、この場合において、その(ニ)の際、当該保税蔵置場に外国貨物があるときは、当該貨物については、税関長が指定する期間、(ホ)を保税蔵置場とみなすこととされている。,"1.(ニ)効力を停止 (ホ)税関長が指定する場所
2.(ニ)効力を停止 (ホ)その外国貨物がある場所
3.(ニ)失効 (ホ)その許可が失効した場所
4.(ニ)取消し (ホ)税関長が指定する場所
5.(ニ)取消し (ホ)その外国貨物がある場所",3,"保税蔵置場の許可を受けた者が当該保税蔵置場の業務を廃止したときは、当該保税蔵置場の許可は失効することとされており、この場合において、その失効の際、当該保税蔵置場に外国貨物があるときは、当該貨物については、税関長が指定する期間、その許可が失効した場所を保税蔵置場とみなすこととされている(関47条1項1号、3項)。
[参照　第2編（関税法）-第8章（AEO事業者等になるための要件と失効・取消し等）-3.保税蔵置場、保税工場、保税展示場-（2）失効事由、取消事由、搬入停止事由-①失効事由]"
減免戻し税,54-5-1,A,関税を納付して輸入された貨物のうち、輸入後において(イ)によりその販売若しくは使用又はそれを用いた製品の販売若しくは使用が禁止されるに至ったため輸出することがやむを得ないと認められるもので、その輸入の時の(ロ)ものを本邦から輸出するときは、当該貨物が、(ハ)日から(ニ)（(ニ)を超えることがやむを得ないと認められる理由がある場合において、税関長の承認を受けたときは、(ニ)を超え(ホ)以内において税関長が指定する期間）以内に保税地域(関税法第30条第1項第2号に規定する税関長が指定した場所を含む。)に入れられたものである場合に限り、その関税を払い戻すことができる。,"1.(イ)契約 (ロ)数量及び価格に変更がない (ハ)その関税が納付された (ニ)3月 (ホ)2年
2.(イ)契約 (ロ)数量及び価格に変更がない (ハ)その関税が納付された (ニ)6月 (ホ)1年
3.(イ)契約 (ロ)品質及び数量に変更がない (ハ)保税地域から引き取られた (ニ)3月 (ホ)1年
4.(イ)法令 (ロ)数量及び価格に変更がない (ハ)その関税が納付された (ニ)1年 (ホ)2年
5.(イ)法令 (ロ)性質及び形状に変更を加えない (ハ)その輸入の許可の (ニ)6月 (ホ)1年",5,"関税を納付して輸入された貨物のうち、輸入後において法令によりその販売若しくは使用又はそれを用いた製品の販売若しくは使用が禁止されるに至ったため輸出することがやむを得ないと認められるもの（販売使用禁止品）で、その輸入の時の性質及び形状に変更を加えないものを本邦から輸出するときは、当該貨物が、その輸入の許可の日から6月（6月を超えることがやむを得ないと認められる理由がある場合において、税関長の承認を受けたときは、6月を超え1年以内において税関長が指定する期間）以内に保税地域(関税法第30条第1項第2号に規定する税関長が指定した場所（他所蔵置許可場所）を含む。)に入れられたものである場合に限り、その関税を払い戻すことができる(関率20条1項3号)。
[参照　第3編（関税定率法、関税暫定措置法）-第6章（減免戻し税4（再輸出））-6.違約品等の再輸出又は廃棄の場合の戻し税（関率20条）-（1）要件]"
定義（関税法等）,54-6-1,A,関税法において、内国貨物を外国に向けて送り出すことは、「輸出」に該当する。,○×,○,"関税法における「輸出」とは、内国貨物を外国に向けて送り出すことをいう(関2条1項2号)。なお、関税定率法における輸出とは、内国貨物を外国に向けて送り出すことに加えて、貨物を特定の国から他の国に向けて送り出すことや、特定の国の船舶が公海（排他的経済水域を含む。）で採捕した水産物を他の国に向けて送り出すことも含む(関率2条)。
[参照　第2編（関税法）-第1章（関税法の定義）-1.定義-（10）輸出、積戻し]"
定義（関税法等）,54-6-2,A,本邦の船舶により外国の排他的経済水域の海域で採捕された水産物を本邦に引き取ることは、「輸入」に該当する。,○×,×,"外国の船舶により公海（本邦の排他的経済水域及び外国の排他的経済水域を含む。）で採捕された水産物は外国貨物となるので、これを本邦に引き取ることは輸入となるが(関2条2項、2条1項1号、3号)、本邦の船舶により公海（本邦の排他的経済水域及び外国の排他的経済水域を含む。）で採捕された水産物は内国貨物なので(関2条2項、2項4号)、これを本邦に引き取ることは輸入に該当しない。
[参照　第2編（関税法）-第1章（関税法の定義）-1.定義-（6）外国貨物、内国貨物、（8）輸入]"
定義（関税法等）,54-6-3,A,関税法において、「附帯税」とは、関税のうち延滞税、利子税、過少申告加算税、無申告加算税及び重加算税をいう。,○×,×,"附帯税とは、関税のうち延滞税、過少申告加算税、無申告加算税及び重加算税をいうため、利子税は含まない(関2条1項4号の2)。利子税というのは所得税等の附帯税の一種であるが、関税には存在しない。
[参照　第2編（関税法）-第19章（附帯税1（延滞税））-概要]"
定義（関税法等）,54-6-4,A,「外国貿易機」とは、外国貿易のため本邦と外国との間を往来する航空機をいう。,○×,○,"「外国貿易機」とは、外国貿易のため本邦と外国との間を往来する航空機をいう(関2条1項6号)。
[参照　第2編（関税法）-第1章（関税法の定義）-1.定義-（11）その他]"
定義（関税法等）,54-6-5,B,燃料、飲食物その他の消耗品で、船舶において使用するものは、「船用品」に該当する。,○×,○,"「船用品」とは、燃料、飲食物その他の消耗品及び帆布、綱、じう器その他これらに類する貨物で、船舶において使用するものをいう(関2条1項9号)。
[参照　第2編（関税法）-第3章（輸出入申告）-18.船用品、機用品の積込み]"
関税の確定,54-7-1,A,本邦に入国する者がその入国の際に携帯して輸入する貨物に対する関税は、申告納税方式による。,○×,×,"本邦に入国する者がその入国の際に携帯して輸入する貨物に対する関税は、賦課課税方式である(関6条の2第1項2号イ)。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効）-2.賦課課税方式-（2）賦課課税方式の適用範囲]"
関税の確定,54-7-2,A,輸入の許可前における貨物の引取りの承認を受けて引き取られた貨物に係る関税につき、当該貨物の輸入の許可前にされた更正に係る関税は、申告納税方式による。,○×,○,"輸入許可前引取承認を受けて引き取られた貨物に係る関税について賦課課税方式とする規定はないし、当該貨物の輸入許可前にされた更正に係る関税について賦課課税方式とする規定もない(関6条の2第1項2号)。したがって、申告納税方式となる(関6条の2第1項1号)。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効）-2.賦課課税方式-（2）賦課課税方式の適用範囲]"
関税の確定,54-7-3,A,関税定率法第15条第1項(特定用途免税)の規定により関税の免除を受けて輸入された貨物が、その輸入の許可の日から2年以内に特定用途免税に係る特定の用途以外の用途に供するために譲渡された場合に課される関税は、申告納税方式による。,○×,×,"関税法又は関税定率法その他関税に関する法律の規定により一定の事実が生じた場合に直ちに徴収するものとされている関税は賦課課税方式である(関6条の2第1項2号ニ)。特定用途免税の規定により関税の免除を受けて輸入された貨物が、その輸入の許可の日から2年以内に特定用途免税に係る特定の用途以外の用途に供するために譲渡された場合、関税が直ちに徴収される(関率15条)。すると、これは関税定率法の規定により一定の事実が生じた場合に直ちに徴収するものとされている関税であるから、賦課課税方式となる。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効）-2.賦課課税方式-（2）賦課課税方式の適用範囲]"
関税の確定,54-7-4,A,重加算税は、申告納税方式による。,○×,×,"加算税は、賦課課税方式である(関6条の2第1項2号ヘ)。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効）-2.賦課課税方式-（2）賦課課税方式の適用範囲]"
関税の確定,54-7-5,A,関税法第9条の2第1項の規定により納期限の延長の適用を受ける関税は、申告納税方式による。,○×,○,"納期限の延長の適用を受ける関税について、賦課課税方式とする規定はない(関6条の2第1項2号)。したがって、申告納税方式となる(関6条の2第1項1号)。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効）-2.賦課課税方式-（2）賦課課税方式の適用範囲]"
輸入通関,54-8-1,A,税関長は、輸入申告があった場合において、輸入の許可の判断のために必要があるときは、契約書、仕入書その他の申告の内容を確認するために必要な書類を提出させることができる。,○×,○,"税関長は、輸入申告があった場合において、輸入の許可の判断のために必要があるとき、又は関税についての条約の特別の規定による便益（便益関税を含む。）を適用する場合において必要があるときは、契約書、仕入書その他の申告の内容を確認するために必要な書類又は当該便益を適用するために必要な書類を提出させることができる(関68条)。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（1）添付書類の種類]"
輸入通関,54-8-2,A,輸入の許可前における貨物の引取りの承認を受けた外国貨物は、輸入を許可された貨物とみなすこととされている。,○×,×,"輸入許可前引取承認を受けた外国貨物は、関税法の適用については、4条（課税物件の確定の時期）、5条（適用法令）、72条（関税等の納付と輸入の許可）、105条（税関職員の権限）及び106条（特別の場合における税関長の権限）を除くほか、内国貨物とみなされる。しかし、輸入を許可された貨物とはみなされない。
[参照　第2編（関税法）-第3章（輸出入申告）-11.輸入許可前引取承認（輸入のみ）-（4）みなし内国貨物]"
輸入通関,54-8-3,A,関税関係法令以外の法令の規定により輸入に関して検査又は条件の具備を必要とする貨物については、関税法第67条の検査又は輸入申告に係る税関の審査の際、当該法令の規定による検査の完了又は条件の具備を税関に証明し、その確認を受けなければならないこととされており、当該確認を受けられない貨物について、税関長は輸入を許可しないこととされている。,○×,○,"関税関係法令以外の法令の規定により輸入に関して検査又は条件の具備を必要とする貨物については、関税法第67条の検査又は輸入申告に係る税関の審査の際、当該法令の規定による検査の完了又は条件の具備（条件を満たしていること）を税関に証明し、その確認を受けなければならないこととされており、当該確認を受けられない貨物について、税関長は輸入を許可しない(関70条2項、3項)。
[参照　第2編（関税法）-第3章（輸出入申告）-8.証明又は確認]"
保税地域,54-8-4,A,外国から本邦に到着し保税地域にある外国貨物を本邦に引き取る場合であっても、その引取りが見本として一時持ち出す場合に該当するときは、税関長の許可を受けることを要しない。,○×,×,"保税地域にある外国貨物を見本として一時持ち出そうとする者は、税関長の許可を受けなければならない(関32条)。
[参照　第2編（関税法）-第10章（保税地域）-7.共通ルール1（保税地域等に共通する事項）-（3）見本の一時持出し]"
