カテゴリー,問題番号,問題,選択肢,正解,解説
通関実務,54-3-1,過少申告加算税、無申告加算税及び重加算税に係る納付すべき税額は、専ら税関長の処分により確定するものとされているが、延滞税に係る納付すべき税額は、特別の手続を要しないで確定するものとされている。,○×,○,延滞税は、特別の手続を要しないで法律の規定に納付すべき税額が確定するものであり、賦課課税方式でも申告納税方式でもない(関税法6条の2第2項)。
通関実務,54-3-2,納税申告をした者は、当該納税申告により納付すべき税額に不足額があるときは、当該納税申告について更正があるまでは、当該納税申告に係る課税標準又は納付すべき税額を修正する申告をすることができる。,○×,○,納税の申告をした者又は税額等の決定を受けた者は、①先にした納税申告（修正申告含む。）、更正又は決定により納付すべき税額に不足額があるときと、②先の納税申告（修正申告含む。）、更正又は決定により納付すべき税額がないこととされた場合において、その納付すべき税額があるときは、当該申告、更正又は決定について更正があるまでは、当該申告、更正又は決定に係る課税標準又は納付すべき税額の修正申告ができる(関税法7条の14第1項)。本問は①の場合である。
通関実務,54-3-3,税関長は、関税に係る過誤納金を還付すべき場合において、その還付を受けるべき者につき納付すべきこととなった関税があり、その還付すべき金額をその納付すべきこととなった関税に充当したときは、その旨をその還付を受けるべきであった者に通知しなければならない。,○×,○,"税関長は、関税（滞納処分費を含む。）に過誤納金（かごのうきん。間違って余分に納税すること。）があるときは、遅滞なく、金銭で還付しなければならない(関税法13条1項)。つまり、余分に払った関税はお金で返却されるのである。

そして、その還付を受けるべき者につき納付すべきこととなった関税があるときは、その還付すべき金額をその関税に充当する(同条7項)。つまり、過誤納金した人に、他にも払わないといけない関税があるのなら、返却されるお金はその支払いに充てられるということである。

また、税関長は、充当をしたときは、その旨を過誤納金の還付を受けるべきであった者に通知しなければならない(同法施行令10条2項)。返却されるはずのお金を他の関税の支払いに充てちゃったのだから、本来返却されるべき人にお知らせしないといけないのである。"
通関実務,54-3-4,"関税を納付しようとする者は、その関税の額が1,000円未満であるときは、印紙によりその関税を納付することができる。",○×,×,印紙により関税を納付すること自体出来ない(関税法9条の4)。
通関実務,54-3-5,関税を納付しようとする者は、その税額に相当する金銭に納付書(納税告知書の送達を受けた場合には、納税告知書)を添えて、これを日本銀行(国税の収納を行う代理店を含む。)又はその関税の収納を行う税関職員に納付しなければならないこととされており、この 「金銭」には、ドルその他の外国の通貨を含むこととされている。,○×,×,この「金銭」とは、強制通用力を有する本邦の貨幣(日本銀行券及び補助貨幣を含む広義の貨幣)をいい、ドルその他の外国の通貨及び通用を禁止された小額通貨、小切手等を含まない(関税法9条の4、同法基本通達9の4-1)。
通関実務,54-4-1,"次に掲げる物品のうち、関税率表第3類に属するものの組み合わせとして正しいものはどれか。なお、次に掲げる物品は、すべて食用に適するものとする。

1  フィレにして、乾燥したあじ
2  食酢により調製したにしん 
3  水煮による調理をした殻付きの甲殻類
4  塩蔵した魚の肝臓
5  乾燥した海草","1.（1,3,4）
2.（1,3,5）
3.（2,3,5）
4.（3,4,5）
5.（3,5）",1,フィレにして、乾燥したあじは03.05項、食酢により調製した「にしん 」は16.04項、水煮による調理をした殻付きの甲殻類は03.06項、塩蔵した魚の肝臓は03.05項、乾燥した海草は12.12項にそれぞれ属する。
通関実務,54-5-1,事前照会に対する文書による回答は、一定条件の下で、輸入申告の際、回答書に記載された内容について尊重される取扱いが行われることとされており、口頭又は電子メールによる回答についても、同様に取り扱うこととされている。,○×,×,口頭や電子メールによる照会に対する回答については、輸入申告の際には尊重されるものではなく、輸入申告の際に尊重される回答を希望する場合には、文書による回答を求める必要がある(関税法基本通達7-19-1(3)ニ(イ)、7-19-2(4))。
通関実務,54-5-2,事前照会の照会者及びその利害関係者が、その照会に係る貨物について不服申立て又は訴訟中である等、関税率表の適用上の所属に係る紛争が生じているものである場合には、当該貨物の関税率表の適用上の所属については事前照会の対象の範囲に含まれない。,○×,○,"対象となる照会は、

①架空の貨物に係る照会ではなく、具体的な貨物に係る照会であること

②照会者が照会書及び資料を提出するとともに、照会内容の審査の際に、審査に必要な追加的な資料の提出が行われること

③照会者及びその利害関係者が、照会に係る貨物について不服申立て又は訴訟中である等、関税率表適用上の所属区分等又は原産地に係る紛争等が生じていないもの

④輸入申告中の貨物についての照会である場合等、事前教示の趣旨に反しないもの

の全てを満たすものである(関税法基本通達7-18(2))。本問は、③を満たさない場合は対象とならないと言っているので、正しい。"
通関実務,54-5-3,事前照会に対する文書による回答の内容は、税関としての見解であり、照会者の輸入申告の内容を拘束するものではない。,○×,○,文書による回答の内容は輸入(納税)申告書に添付された際、申告書の審査において尊重される（つまり審査がなるべく回答の内容に沿うように参考にされる）が、照会者の輸入申告の内容を拘束する（つまり照会者が輸入申告において回答の内容どおりの申告しか出来ないとする）ものではない(関税法基本通達7-18(9))。
通関実務,54-5-4,事前照会に対する文書による回答について、照会者が再検討を希望する場合には、意見の申出を行うことが可能とされており、口頭又は電子メールによる回答についても、同様とされている。,○×,×,口頭や電子メールによる回答については、意見の申出が出来ない(関税法基本通達7-19-1(3)ニ(ハ)、7-19-2(4))。
