カテゴリー,問題番号,問題,選択肢,正解,解説
通関実務,57-3-1,本邦に住所及び居所(事務所及び事業所を除く。)を有しない個人が貨物を本邦に輸入しようとする場合には、税関関係手続及びこれに関する事項を処理させるための税関事務管理人を定めた上で、関税法の規定に基づく輸入の手続を行わなければならない。,○×,○,"関税法95条1項にその通りの規定がある。住所とは生活の本拠だと言われるが、つまり住んでいる場所である。居所は住んでいる場所とまではいえなくてもある程度長い期間滞在している場所である。両者の意味を区別させる問題は通関士試験で出ないので、名称の違いさえ分かっていれば内容の微妙な違いは知らなくてもよい。
事務所や事業所については厳密な定義があるわけではないが、事務処理を行う場所が事務所、事業活動を行う場所が事業所といったイメージである。これも試験では名称の違いさえ分かっていればよい。"
通関実務,57-3-2,原産地についての表示がされていない外国貨物については、輸入の許可を受けることができない。,○×,×,原産地について直接・間接に偽った表示・誤認を生じさせる表示がされている外国貨物については、輸入の許可を受けることができないが(関71条1項)。原産地についての表示がされていない外国貨物については、輸入の許可を受けることができる。
通関実務,57-3-3,関税法第73条第1項の規定による輸入の許可前における貨物の引取りの承認に係る申請があった場合に、輸入貨物である原料の在庫がなく工場の操業等に支障をきたすために、その申請者において特に輸入貨物の引取りを急ぐ理由があると認められるときは、税関長は当該承認をすることができることとされている。,○×,○,"税関長は、その目的が関税の納期限の延長を目的とするような場合等を除いて、輸入許可前引取承認をすることができる(関通73-3-2)。関税の納期限の延長とは関税を納付すべき期限を先延ばししてもらい納付を待ってもらう制度であるが、納付を待ってもらいたいのならこの制度を利用すべきであり、審査に時間がかかる場合や早く貨物を引き取りたい場合に利用する制度である輸入許可前引取承認により納付を後回しにして実質的に納付を待ってもらうことは、輸入許可前引取承認制度の目的に反するからである。
納期限延長以外の目的であれば、基本的に、輸入許可前引取承認をすることができる。正確には、納期限延長以外の目的以外でも輸入許可前引取承認制度の目的に反する場合は承認できないのだが、それが具体的にどのような場合を指すのか関通73-3-2には挙げられていないので、試験対策としてはそこまで気にしなくてよい。
本問は納期限延長の目的ではないので、税関長は輸入許可前引取承認をすることができる。"
通関実務,57-3-4,輸入しようとする貨物について地域的な包括的経済連携協定(RCEP協定)における関税についての特別の規定による便益に係る税率の適用を受けようとする場合には、当該貨物がその種類又は形状によりその原産地が明らかであると税関長が認めたものであっても、当該協定の規定に基づく締約国原産地証明書又は締約国原産品申告書を税関長に提出しなければならない。,○×,×,経済連携協定における関税についての特別の規定による便益に係る税率の適用を受けようとする場合（つまりEPA税率を適用しようとする場合）は、原則として締約国原産地証明書や締約国原産品申告書等といった貨物の原産地を証明する書類を提出しなければならないが、例外的に、貨物がその種類又は形状によりその原産地が明らかであると税関長が認めたものであれば、提出不要となる。ただし例外の例外として、インドネシア協定税率又は東南アジア諸国連合協定（ASEAN協定）税率を適用しようとする場合は、貨物がその種類又は形状によりその原産地が明らかであると税関長が認めたものであっても、提出しなければならない(関税法施行令61条1項2号イ)。
通関実務,57-3-5,輸入しようとする貨物について予備審査制に基づく予備申告がされた場合には、当該貨物が保税地域に搬入された後でなければ、税関長は、輸入者に対し、当該貨物に係る税関検査の要否を通知することができないこととされている。,○×,×,予備申告を行った場合の税関検査の要否の通知時期について、そのような規定はない。貨物の種類等を勘案し検査の要否を事前に通知しても差し支えないと認められる場合には、原則として申告年月日欄に記入された輸入申告予定日までのできる限り早い時期に通知するとされている(平成12年蔵関第251号通達 「予備審査制について」)。
通関実務,57-5-1,"次に掲げる物品のうち、関税率表第25類(塩、硫黄、土石類、プラスター、石灰及びセメント)に属するものの組み合わせとして正しいのはどれか。

1食卓塩
2人造コランダム
3図画用のチョーク
4ダイヤモンド
5天然黒鉛","1.（1,2）
2.（1,5）
3.（2,3）
4.（4,5）
5.（1,2,5）",2,食卓塩は25.01項、人造コランダムは28.18項（天然のコランダムは25.13項）、図画用のチョークは96.09項、ダイヤモンドは71.02項、天然黒鉛は25.04項（人造黒鉛は38.01項）にそれぞれ属する。
通関実務,57-13-1,航空機を輸出する場合において、外国における引渡しのため回航されるものについては、その回航のため初めて本邦を出発した後に、その旨を税関に届け出た時が輸出の具体的な時期となる。,○×,×,"「輸出」の具体的な時期は、原則として外国に仕向けられた船舶又は航空機に外国に向けて貨物を積み込んだ時とするが、船舶又は航空機自体の輸出の場合は、外国の国籍又は仮国籍を取得した後(外国における引渡しのため回航されるものにあっては、その回航のため)初めて本邦を出発する時となる(関税法2条1項2号、同法基本通達2-5(1))。
船舶や航空機は国籍を取得できるので、国籍や仮の国籍（一時的な国籍）を取得後初めて日本を出発する時とし、外国で引渡しをするために回航（船舶や航空機を動かして輸送すること）されるものであれば、回航のために初めて日本を出発する時となる。"
通関実務,57-13-2,通関業者が輸出申告の前にその輸出貨物の内容を点検して作成した「内容点検確認書」を輸出申告に際し添付したときは、税関長は、当該輸出貨物に係る現品検査を省略することとされている。,○×,×,"内容点検確認書とは、輸出申告や輸入申告の前に貨物の内容を点検して確認したことを示す書類であるが(関税法基本通達67-1-6,67-3-5)、通関業者がこれを作成して添付したからといって貨物の現品検査（つまり貨物の現物の検査）が必ず省略されるわけではない。"
通関実務,57-13-3,ふ中扱いに係る貨物についての関税法第67条に規定する検査及び輸出の許可は、当該貨物のはしけへの積載が完了する前に行うことができるものとされている。,○×,×,ふ中扱い（艀中扱い）に係る貨物についての検査は原則としてふ中において行い(67-1-7(3)ハ)、検査後に輸出の許可がされるのだから、検査も輸出許可もはしけ（＝ふ＝艀）への積載が完了する前に行うことはできず、はしけへ積載した後に行う(関税法67条の2第2項、同法施行令59条の4)。
通関実務,57-13-4,輸出の許可後に貨物の価格を変更しようとする場合(数量の変更に伴い価格を変更しようとする場合を除く。)において、輸出申告書に記載した価格が20万円未満であり、かつ、本来輸出申告書に記載すべきであった価格が20万円未満であるときは、税関長は、輸出申告書に記載した貨物の価格の訂正を省略させることができることとされている。,○×,○,輸出許可後に貨物の価格に変更があったときは、原則として、船名・数量等変更申請書という書類に輸出許可書を添付して税関に提出する(関税法基本通達67-1-14(1))。例外として、輸出申告書に記載した価格も本来輸出申告書に記載すべきである価格も共に20万円未満である場合は、税関長は価格訂正を省略させることができる。しかし例外の例外として、貨物の数量変更をしたことにより価格が変わる場合は価格訂正を省略させることができない(関通67-1-14(3))。
通関実務,57-13-5,関税定率法第17条第1項第1号の規定により再輸出免税の適用を受けて輸入された加工材料を輸入後に加工した貨物について、当該加工材料の輸入の許可の日から1年以内に輸出しようとする者は、税関長の承認を受けることにより、その輸出申告の際に、その輸入の許可書又はこれに代わる税関の証明書について税関長への提出を省略することができる。,○×,×,関税定率法17条第1項第1号の規定により再輸出免税の適用を受けて輸入された加工材料を輸入後に加工した貨物については、当該加工材料の輸入の許可の日から1年以内に輸出しようとする者は、その輸出申告の際に、その輸入の許可書又はこれに代わる税関の証明書について税関長へ提出しなければならず(同法施行令39条1項)、税関長の承認を受けることでこの提出を省略できる規定はない。
通関実務,57-17-1,経済上の連携に関する日本国とオーストラリアとの間の協定に基づく締約国原産品申告書は、輸入貨物に係る輸入者が自ら作成することができる。,○×,○,オーストラリア協定に基づく締約国原産品申告書は、輸入者、輸出者、生産者のいずれかが作成できる(関税法施行令61条1項2号イ(2)、同法基本通達68-5-11の3、オーストラリア協定3·16条、3·14条(b))。
通関実務,57-17-2,包括的な経済上の連携に関する日本国及び東南アジア諸国連合構成国の間の協定に基づく締約国原産品申告書は、輸入貨物に係る輸入者が自ら作成することができる。,○×,×,包括的な経済上の連携に関する日本国及び東南アジア諸国連合構成国の間の協定（アセアン包括協定）においては、締約国原産品申告書による証明は認められておらず、締約国原産地証明書による証明となる(関税法施行令61条1項2号イ(1)、同法基本通達68-5-11(1)、アセアン包括協定附属書4)。
通関実務,57-17-3,経済上の連携に関する日本国と欧州連合との間の協定に基づく締約国原産品申告書は、輸入貨物に係る輸入者が自ら作成することができる。,○×,○,経済上の連携に関する日本国と欧州連合との間の協定（EU協定）に基づく締約国原産品申告書は、輸入者、輸出者、生産者のいずれかが作成できる(関税法施行令61条1項2号イ(2)、同法基本通達68-5-11の3、EU協定3·1条(c)、3·16条2(a)(b))。
通関実務,57-17-4,日本国とアメリカ合衆国との間の貿易協定に基づく締約国原産品申告書は、輸入貨物に係る輸入者が自ら作成することができる。,○×,○,日本国とアメリカ合衆国との間の貿易協定（日米貿易協定）に基づく締約国原産品申告書は、輸入者のみが作成できる(関税法施行令61条1項2号イ(2)、同法基本通達68-5-11の3、日米貿易協定附属書C節第1款パラ9(c))。
