カテゴリー,問題番号,問題,選択肢,正解,解説
通関実務,53-3-1,納税申告は、輸入申告書に輸入しようとする貨物に係る課税標準その他の事項のほか、その税額その他必要な事項を記載して、これを税関長に提出することによって行うものとされているが、特例輸入者は、これによらず、当該貨物に係る課税標準、税額その他必要な事項を記載した特例申告書を税関長に提出することによって納税申告(特例申告)を行うことができる。,○×,○,関税法7条2項、7条の2第2項にその通りの規定がある。普通の輸入申告は、輸入申告と納税申告を一緒に行うが、特例申告は、貨物を引き取る輸入（引取）申告と、納税をする特例（納税）申告に分けるのである。
通関実務,53-3-2,特例輸入者が、自動車を輸入しようとする場合において、輸入申告に併せて納税申告を行わないときは、当該自動車については、特例申告を行うことを選択したものとみなすこととされている。,○×,○,輸入申告に併せて納税申告を行っていない特例輸入者は、当該輸入申告に係る貨物については、特例申告を行うことを選択したものとみなされる。関税暫定措置法別表第1の6に掲げる貨物等特例申告をすることができない貨物であればこの規定は適用されないが、自動車についてはこれに当たらない。よって、輸入申告に併せて納税申告を行わないときは、当該自動車については、特例申告を行うことを選択したものとみなすこととされている(関税法7条の3、7条の2第4項)。
通関実務,53-3-3,環太平洋パートナーシップに関する包括的及び先進的な協定の規定に基づき同協定の原産品とされる貨物に係る納税申告をした者は、当該納税申告に係る貨物について同協定の規定に基づく関税の譲許の便益の適用を受けていない場合において、当該貨物につき当該譲許の便益の適用を受けることにより、当該納税申告に係る納付すべき税額が過大となるときは、当該貨物の輸入の許可の日から5年以内に限り、税関長に対し、当該納税申告に係る税額について更正の請求をすることができる。,○×,×,TPPを仮に適用すれば関税等が安くなる貨物について、適用せずに輸入してしまったとき、その後改めて適用を受けることで、その貨物について関税を払いすぎていた(つまり税額が過大)として更正の請求ができるか、ということを問うている。更正の請求は、納税申告に係る税額の計算に誤りがあったこと等により、当該申告により納付すべき税額が過大である場合に、当該申告に係る貨物の輸入の許可があるまで又は当該許可の日から5年以内に限り認められる(関税法7条の15第1項)が、経済連携協定の規定に基づき関税の譲許の便益の適用を受けるためには、輸入申告等の際に締約国原産地証明書等を提出しなければならず、当該証明書を輸入申告等の際に提出していない場合には、更正の請求をすることは認められない(同法施行令61条4項本文)のが原則である。しかし、TPPの規定に基づき原産品とされる貨物に係る納税申告をした者に対しては、当該納税申告に係る貨物についてTPPの規定に基づく関税の譲許の便益の適用を受けていない場合において、当該貨物につき当該譲許の便益の適用を受けることにより、当該納税申告に係る納付すべき税額が過大となるときは、税関長に対し、当該納税申告に係る税額について更正の請求をすることができるとの例外扱いが認められている。もっとも、この更正の請求は、当該貨物の輸入の許可の日から1年以内に限りできるとされているため、「当該貨物の輸入の許可の日から5年以内に限り」という部分が誤りとなる(暫定措置法12条の2)。
通関実務,53-3-4,延滞税の額の計算の基礎となる関税額が1万円未満である場合においては、延滞税の納付は要しない。,○×,○,関税法12条3項にその通りの規定がある。
通関実務,53-3-5,税関長は、過少申告加算税を徴収しようとするときは、納付すべき税額、納期限及び納付場所を記載した納税告知書を送達して納税の告知をしなければならない。,○×,×,税関長は、賦課課税方式による関税を徴収しようとするときは、原則として、納税の告知をしなければならないが、過少申告加算税を徴収する場合は例外的に納税の告知は不要である(関税法9条の3第1項3号)。
通関実務,53-5-1,事前照会は、原則として、文書により照会を受け、文書で回答することにより行うこととされているが、これによらず、口頭により照会があった場合には、口頭で回答することとされている。,○×,○,関税法基本通達7-17にその通りの規定がある。口頭による回答には意見の申出は出来ないし、輸入申告の際に尊重もされないので、それが困るのなら文書で照会をすることになる。
通関実務,53-5-2,文書による事前照会があった場合において、その照会書の記載事項に不明な点があるとき又は審査に必要な資料が不足しているときには、照会者に対して記載事項の補正又は資料の追加提出等を求め、当該記載事項の補正又は資料の追加提出等がなされるまでは、当該照会書を受理しないこととされている。,○×,○,照会書の提出があった税関の受付担当者（照会応答担当者）は、受理の際、照会書の記載事項及び参考資料に不備がないことを確認する。これはあくまで、法令通達に規定された形式を守って不備なく照会書や参考資料を提出しているかどうかの確認であり、内容についての確認ではない(受理時の形式的審査義務)。照会応答担当者は、照会書の記載事項に不明な点があるとき又は審査に必要な資料が不足しているときには、照会者に対して記載事項の補正又は資料の追加提出等を求め、当該記載事項の補正又は資料の追加提出等がなされるまでは、当該照会文書は受理しない。(関税法基本通達7-18(3)ハ)。
通関実務,53-5-3,文書による事前照会に係る貨物の内容及び回答書の内容について、その照会対象となった貨物が新規の輸入品であり、市場に流通する前に他者に知られることによりその照会者又はその関係者が不利益を受けるおそれがある場合であって、当該照会者から一定期間内(180日を超えない期間内)につき公開しないことを求める申出があったときは、当該貨物の内容及び回答書の内容は、当該申出に係る期間後に公開されることとされている。,○×,○,"照会貨物の内容と回答の内容は、回答後原則として公開とし、税関ホームページ等を利用して閲覧できるようにする。

ただし、次の要件に該当する場合で、照会者から一定期間内(180日を超えない期間内)につき公開しないことを求める申出があったものについては、当該申出に係る期間後に公開することとする(関税法基本通達7-18(6))。

① 照会対象となった貨物が新規の輸入品であり、市場に流通する前に他者に知られることにより照会者又はその関係者が不利益を受けるおそれがある場合

② 照会対象となった貨物の照会内容のうち成分割合に特徴があり、公開によって競合する者に知られ照会者又はその関係者が不利益を受けるおそれがある場合

③ 照会対象となった貨物の照会内容のうち製造方法に特徴があり、公開によって競合する者に知られ照会者又はその関係者が不利益を受けるおそれがある場合

④ 照会対象となった貨物がまだ計画段階であり、実際に貨物が輸入される前に他者に知られることにより照会者又はその関係者が不利益を受けるおそれがある場合

⑤ 照会対象となった貨物に係る情報が、照会に際して秘匿を条件として照会者又はその関係者から提出された場合

⑥ その他非公開とすることにつき、正当な理由があると認められる場合

本問は①である。"
通関実務,53-5-4,事前照会に対する回答書の内容は、その該当する限度において、当該回答書の発出日から5年を経過する日まで、輸入(納税)申告の審査上、尊重するものとされている。,○×,×,「5年」ではなく「3年」である(関税法基本通達7-18(9)ロ(イ))。
通関実務,53-5-5,事前照会に対する回答書の交付があった日後において、法令が改正され、当該回答書が参考とならなくなった場合であっても、当該回答書の内容は、当該交付があった日から3年を経過する日までは、輸入(納税)申告の審査上、尊重するものとされている。,○×,×,事前照会に対する回答書の交付があった日後において、法令が改正され、当該回答書が参考とならなくなった場合は、その時点で尊重されなくなる(関税法基本通達7-18(9)ロ(ハ))。
