カテゴリー,問題番号,問題,選択肢,正解,解説
通関実務,55-3-1,申告納税方式が適用される貨物を輸入しようとする者は、税関長に対し、当該貨物に係る関税の納付に関する申告をしなければならないが、関税が無税とされている貨物を輸入する場合には、当該貨物に係る関税の納付に関する申告を要しない。,○×,×,申告納税方式が適用される貨物を輸入する場合は、無税の貨物であれば、「納付すべき…税額がないことが納税義務者のする申告により確定する」(関税法6条の2第1項1号)のであるから、納税申告を要する(同法7条1項)。
通関実務,55-3-2,落花生油の製造に使用するための落花生がその輸入の許可の日から1年以内に製造工場でその製造が終了するものとして関税の免除を受けて輸入された場合において、当該落花生が当該製造工場以外の場所で落花生油の製造に供されたことにより税関長が直ちに徴収するものとされている関税額は、賦課課税方式により確定するものとされている。,○×,○,落花生油の製造に使用するための落花生がその輸入の許可の日から1年以内に製造工場でその製造が終了するものとして関税の免除を受けて輸入された場合は製造用原料品の免税(関税定率法13条1項2号)であり、当該落花生が当該製造工場以外の場所で落花生油の製造に供されたことにより税関長が直ちに徴収するものとされる(同条7項2号)。そうすると、関税定率法の規定により一定の事実が生じた場合に直ちに徴収するものとされている関税に当たり、これは賦課課税方式とされている(関税法6条の2第1項2号ホ)ので、正しい。
通関実務,55-3-3,課税価格につき、納税申告の時に知ることができなかった事情により誤った納税申告をした者が自主的に修正申告をした場合において、当該修正申告による納付すべき税額に係る延滞税の免除を受けようとするときは、税関長に対し口頭でその事情を説明し、確認を受けることとされている。,○×,×,課税価格につき、納税申告の時に知ることができなかった事情により誤った納税申告をした者が自主的に修正申告をした場合は、やむを得ない理由により税額等に誤りがあったとして、修正申告により納付すべき税額に係る延滞税の免除を受けられるが(関税法12条6項、同法基本通達12-4(1)ハ)、この場合はその理由を記載した申請書を税関長に提出しなければならないとされているため(同法施行令9条1項)、口頭でその事情を説明し、確認を受けることはできない。
通関実務,55-3-4,延滞税に係る納付すべき税額は、賦課課税方式により確定するものとされている。,○×,×,延滞税は、特別の手続を要しないで法律の規定に納付すべき税額が確定するものであり、賦課課税方式でも申告納税方式でも無い(関税法6条の2第2項)。
通関実務,55-3-5,関税は、国税徴収法、地方税法その他の法令の規定にかかわらず、当該関税を徴収すべき外国貨物について、他の公課及び債権に先立って徴収することとされている。,○×,○,関税法9条の10第1項にその通りの規定がある。先立って徴収というのは、つまり、関税以外にも税金や借金があるときは、関税をまず最初に(＝先立って)無理矢理取り立てて(＝徴収)、残った財産から他の税金や借金を払ってねということである。
通関実務,55-4-1,"次に掲げる物品のうち、関税率表第92類(楽器並びにその部分品及び附属品)に属するものの組み合わせとして正しいものはどれか。

1  マイクロホン
2  オルゴール
3  電気ギター
4  ピアノ用の腰掛
5  メトロノーム","1.（1,2）
2.（2,3）
3.（1,3）
4.（4,5）
5.（2,3,5）",5,マイクロホンは85.18項、オルゴールは92.08項、電気ギターは92.07項、ピアノ用スツールは94.01項、メトロノームは92.09項にそれぞれ属する。
通関実務,55-5-1,関税法第7条第3項の規定に基づく関税率表の適用上の所属の教示に係る照会に関して、事前照会に対する文書による回答のうち、その交付又は送達のあった日(再交付し、又は再送達したものにあっては、その当初の回答書の発出日)から2年を経過したものは、輸入申告書の審査上、尊重されないこととされている。,○×,×,「交付又は送達のあった日」ではなく「発出日」 であり、また、「2年」ではなく「3年」である(関税法基本通達7-18(9)ロ(イ))。
通関実務,55-5-2,関税法第7条第3項の規定に基づく関税率表の適用上の所属の教示に係る照会に関して、文書により事前照会が行われた貨物の内容及び当該事前照会に対する回答の内容は、回答後原則として公開することとされているが、照会対象となった貨物の照会内容のうち製造方法に特徴があり、公開によって競合する者に知られ照会者又はその関係者が不利益を受けるおそれがある場合で、照会者から一定期間内(180日を超えない期間内)につき公開しないことを求める申出があったものは、当該申出に係る期間後に公開することとされている。,○×,○,"照会貨物の内容と回答の内容は、回答後原則として公開とし、税関ホームページ等を利用して閲覧できるようにする。

ただし、次の要件に該当する場合で、照会者から一定期間内(180日を超えない期間内)につき公開しないことを求める申出があったものについては、当該申出に係る期間後に公開することとする(関税法基本通達7-18(6))。

① 照会対象となった貨物が新規の輸入品であり、市場に流通する前に他者に知られることにより照会者又はその関係者が不利益を受けるおそれがある場合

② 照会対象となった貨物の照会内容のうち成分割合に特徴があり、公開によって競合する者に知られ照会者又はその関係者が不利益を受けるおそれがある場合

③ 照会対象となった貨物の照会内容のうち製造方法に特徴があり、公開によって競合する者に知られ照会者又はその関係者が不利益を受けるおそれがある場合

④ 照会対象となった貨物がまだ計画段階であり、実際に貨物が輸入される前に他者に知られることにより照会者又はその関係者が不利益を受けるおそれがある場合

⑤ 照会対象となった貨物に係る情報が、照会に際して秘匿を条件として照会者又はその関係者から提出された場合

⑥ その他非公開とすることにつき、正当な理由があると認められる場合"
通関実務,55-5-3,関税法第7条第3項の規定に基づく関税率表の適用上の所属の教示に係る照会に関して、事前照会に対する文書による回答について、照会者が、再検討を希望するものとして意見を申し出る場合には、当該照会者は、当該回答の交付又は送達を受けた日の翌日から起算して2月以内に、当該回答を行った税関に書面により申し出なければならないこととされている。,○×,○,事前照会に対する文書による回答について、照会者が、再検討を希望するものとして意見を申し出る場合には、当該照会者は、当該回答の交付又は送達を受けた日の翌日から起算して2月以内に、当該回答を行った税関に書面により申し出なければならない(関税法基本通達7-18(8))。
通関実務,55-5-4,関税法第7条第3項の規定に基づく関税率表の適用上の所属の教示に係る照会に関して、事前照会に対する口頭による回答は、原則として、事前照会を受けてから30日以内の極力早期に行うように努めることとされている。,○×,×,照会者から照会があった場合には原則として即日回答を行うよう努める。ただし、例えば回答又は質問のための税関からの電話等に照会者が応答しないなど、税関の責めに帰すことができない（税関のせいじゃないということ。）理由がある場合を除くとされる(関税法基本通達7-19-1(4)ロ)。
