カテゴリー,問題番号,重要度,問題,選択肢,正解,解説
輸入通関,58-3-1,C,輸入者が、継続した輸入取引に係る輸入貨物の課税価格についての評価（包括）申告書をあらかじめ税関長に提出した場合には、その提出した日から起算して3年以内に限り、当該評価（包括）申告書に記載した事項は、当該輸入貨物に係る個々の輸入申告書に記載することを省略することができる。,○×,×,"包括評価申告を行う場合、包括申告書が提出された日から起算して2年間に限り、個々の輸入申告書には、既に包括申告書を提出している旨を付記して、評価申告に係る事項の記載を省略できる(関令4条3項)。つまり、3年以内ではなく2年以内が正しい。
[参照　第2編（関税法）-第3章（輸出入申告）-13.評価申告(輸入のみ)]"
法定納期限と納期限,58-3-2,A,期限後特例申告書に記載された納付すべき税額に相当する関税の納税義務者は、その関税を当該期限後特例申告書を提出した日までに納付しなければならない。,○×,○,"期限後特例申告書に記載された納付すべき税額の納期限は、期限後特例申告書を提出した日である(関9条2項2号)。
[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-2.法定納期限と納期限-（3）例外-②特例申告貨物]"
輸入通関,58-3-3,C,輸入貨物について輸入の許可後に行う事後審査は、納税に関する事項について行うこととされている。,○×,○,"審査は通常、輸入許可前に行うが、輸入の場合は輸入許可後に納税に関する事項について審査されることもある（事後審査　「輸入通関事務処理体制について」第1-Ⅲ-3）。
[参照　第2編（関税法）-第3章（輸出入申告）-7.審査、検査]"
収容、留置,58-3-4,C,税関長は、総合保税地域に外国貨物を置くことが承認された日から2年を超えて当該総合保税地域にある当該外国貨物を収容したときは、当該総合保税地域の許可を受けた法人又は当該外国貨物を管理していた者から、当該外国貨物に係る関税を直ちに徴収する。,○×,×,"外国貨物で、保税地域等における蔵置期間を経過したものは収容することができるが(関80条1項1号から3号の3、5号)、総合保税地域における長期の蔵置期間は、総保入承認された日から2年である(関62条の9)。収容された貨物が最初に収容された日から4月を経過しても収容されているとき、税関長は、貨物を公売に付するか随意契約により売却することができ(関84条1項、3項)、その代金から関税を徴収する。したがって、総合保税地域の許可を受けた法人や管理していた者から徴収するのではない。
[参照　第2編（関税法）-第12章（収容、留置）-1.収容-（1）収容できる場合-①通常の収容、第2編（関税法）-第12章（収容、留置）-1.収容-（5）公売、随意契約]"
還付,58-3-5,C,納税申告により納付すべき税額が確定した関税に係る過納金で、その納付すべき税額を減少させる更正（関税法第7条の15第1項の規定による更正の請求に基づく更正を除く。）により生じたものを還付する場合には、当該過納金に係る関税の納付があった日の翌日から起算して1月を経過する日の翌日から還付のため支払決定をする日までの期間の日数に応じた還付加算金をその還付すべき金額に加算する。,○×,×,"この場合の還付加算金の起算日は、「過納金に係る関税の納付があった日の翌日から起算して1月を経過する日の翌日」ではなく、「更正があった日の翌日から起算して1月を経過する日の翌日」である(関13条2項3号、関令9条の6第1号)。
[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-3.還付-（2）還付加算金]"
輸入通関,58-4-1,A,関税定率法第4条第1項に規定する輸入取引により輸入される貨物についての「貨物を輸入しようとする者」とは、その仕入書に記載されている荷受人をいい、貨物が輸入の許可前に保税地域等において転売された場合における転得者を含まないこととされている。,○×,×,"貨物を輸入しようとする者（輸入者）とは、輸入取引により輸入される貨物については、原則として荷受人として仕入書に記載されている者をいい、貨物が輸入の許可前に保税地域等において転売されたような場合には、その転得者を指す(関通6-1(1)、67-3-3の2(1))。
[参照　第2編（関税法）-第3章（輸出入申告）-4.申告書の記載事項]"
関税率,58-4-2,A,関税割当証明書に係る物品につき関税暫定措置法別表第1に掲げる税率（暫定税率）のうち一定の数量を限度として定められている税率の適用を受けて当該物品を輸入しようとするときは、当該関税割当証明書の交付を受けた者の名をもって輸入申告しなければならない。,○×,○,"関税割当てを受けた物品を輸入しようとするときは、その関税割当証明書の交付を受けた者の名をもって輸入申告しなければならない(関税割当制度に関する政令3条2項)。
[参照　第3編（関税定率法、関税暫定措置法）-第1章（課税要件2（課税標準、税率、関税額計算））-2.税率-（4）関税割当制度]"
輸入通関,58-4-3,A,関税定率法第4条第1項に規定する輸入取引により輸入される貨物以外の輸入貨物については、輸入申告の時点において国内引取り後の輸入貨物の処分の権限を有する者は、「貨物を輸入しようとする者」に該当することとされている。,○×,○,"輸入取引により輸入される貨物以外については、輸入申告の時点において、国内引取り後の輸入貨物の処分の権限を有する者か、輸入の目的たる行為を行う者が輸入者となる(関通67-3-3の2(2))。
[参照　第2編（関税法）-第3章（輸出入申告）-4.申告書の記載事項]"
輸入通関,58-4-4,B,関税定率法第4条第1項に規定する輸入取引により輸入される貨物以外の輸入貨物であって、委託販売のために輸入される貨物については、当該貨物の販売の委託を受けて自己（受託者）の名義をもって販売する者は、「貨物を輸入しようとする者」に該当することとされている。,○×,○,"輸入取引により輸入される貨物以外については、輸入申告の時点において、国内引取り後の輸入貨物の処分の権限を有する者か、輸入の目的たる行為を行う者が輸入者となる(関通67-3-3の2(2))。輸入の目的たる行為を行う者の例として、委託販売のために輸入される貨物については、貨物の販売の委託を受けて自己（受託者）の名義をもって販売する者が挙げられている。
[参照　第2編（関税法）-第3章（輸出入申告）-4.申告書の記載事項]"
輸入通関,58-4-5,C,通関業者が、輸入者の代理人として輸入（納税）申告を行うときは、輸入（納税）申告書の輸入者欄に自己の住所、氏名及び電話番号を記載することとされている。,○×,×,"通関業者が、輸入者の代理人として納税申告を行うときは、輸入(納税)申告書又は特例申告書の「輸入者」欄に輸入者の住所、氏名及び電話番号を記載し、かつ、「代理人」欄に自己の住所、氏名及び電話番号を記載する(関通7-2(1))。通関業者は輸入者の代理で手続を行うだけであり、輸入者本人ではないからである。
[参照　第2編（関税法）-第3章（輸出入申告）-4.申告書の記載事項]"
