カテゴリー,問題番号,重要度,問題,選択肢,正解,解説
関税率,59-3-1,A,課税価格の合計額が20万円以下であって賦課課税方式が適用される郵便物に対する関税の率は、関税定率法第3条の3の規定に基づき少額輸入貨物に対する簡易税率によることとされているが、当該郵便物の名宛人が当該郵便物につき関税法第67条（輸出又は輸入の許可）の申告を行う旨を税関に申し出たときは、この限りでない。,○×,×,"課税価格の合計額が20万円以下の輸入貨物に対する関税の率は、郵便物か否かにかかわらず、原則として少額輸入貨物に対する簡易税率(関率3条の3)による。ただし、輸入しようとする者（輸入貨物が郵便物である場合は、郵便物の名宛人）が輸入貨物の全部について適用を希望しない旨を税関に申し出たときは、一般の税率を適用する(関率3条の3第2項)。
そうすると、課税価格の合計額が20万円以下であって賦課課税方式が適用される郵便物に対する関税の率は、少額輸入貨物に対する簡易税率によることとされている、という部分は正しい。しかし、当該郵便物の名宛人が当該郵便物につき輸入申告を行う旨を税関に申し出たときはこの限りでない、という部分は誤りである。輸入申告を行う旨を税関に申し出たということは、郵便物の簡易手続ではない通常の輸入の手続を行うということであるが、そのことは少額輸入貨物に対する簡易税率の適用を希望しない旨の申出ではないからである。
[参照　第3編（関税定率法、関税暫定措置法）-第1章（課税要件2（課税標準、税率、関税額計算））-2.税率-（2）一般の税率と簡易税率-②簡易税率-ⅲ少額輸入貨物に対する簡易税率]"
課税価格の決定,59-3-2,B,個人である輸入者が、通信販売により購入して外国から輸入する貨物で、輸入後に日本国内で業として販売すると認められるものについては、その輸入取引が小売取引の段階によるものと認められることから、当該貨物の課税価格は、当該貨物の輸入が通常の卸取引の段階でされたとした場合の価格とする。,○×,×,"個人である輸入者が、通信販売により購入して外国から輸入する貨物で、輸入者の個人的な使用に供されると認められるものについては、個人用品特例の適用により、貨物の課税価格は、当該貨物の輸入が通常の卸取引の段階でされたとした場合の価格とする(個人用品特例 関率4条の2第2項、関率通4の6-2(2))。しかし、本問は輸入後に日本国内で業として販売すると認められるものであるから、輸入者の個人的な使用に供されると認められるものではなく、個人用品特例の適用はない。
[参照　第1編（申告書の作成、通則、課税価格の決定）-第4章（課税価格の決定（例外））-3.特別ルール-（4）個人用品特例]"
関税の納付,59-3-3,A,関税の納税義務者が、インターネットを使用して行う通知に基づき納付受託者に関税の納付を委託した場合において、その委託を受けた納付受託者により当該関税が納付されたときは、その納付がされた日に当該関税の納付があったものとして、附帯税に関する規定を適用する。,○×,×,"関税の納税義務者が、インターネットを使用して行う通知に基づき納付受託者に関税の納付を委託した場合において、その委託を受けた納付受託者により当該関税が納付されたときは、その「委託を受けた日」に当該関税の納付があったものとして、附帯税に関する規定を適用する(関9条の5第2項)。
[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-1.関税の納付-（3）納付受託者への納付委託]"
法定納期限と納期限,59-3-4,A,特例委託輸入者が、関税法第7条第2項（申告）の規定による輸入申告書を提出した場合において、その納付すべき関税について同法第9条の2第1項の規定による納期限の延長を受けようとするときは、その納期限の延長を受けたい旨の申請書を当該輸入申告書を提出した税関長に提出し、当該輸入申告書に記載した関税額の全部又は一部に相当する額の担保を当該税関長に提供しなければならない。,○×,○,"特例委託輸入者が期限内特例申告書を提出した場合、特例申告書の提出期限までに延長を受けたい旨の申請書を、特例申告をする税関長（輸入の許可をした税関長。つまり輸入申告書を提出した税関長。）に提出したときは、税関長は、納期限を延長できる。このとき特例委託輸入者は、関税額の全部又は一部に相当する額の担保を提供することが必要である(関9条の2第4項)。
[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-2.法定納期限と納期限-（3）例外-①納期限の延長]"
関税の確定,59-3-5,A,関税額の確定につき申告納税方式が適用される場合に、納税義務者による申告において、関税に関する法律の規定に従わないで関税の課税標準の計算又は税率の適用がされて関税額の計算が行われていたときは、税関長の処分により納付すべき関税額が確定することとされている。,○×,○,"申告納税方式が適用される場合に、納税義務者による申告（納税申告）があり、その申告につき課税標準又は納付すべき税額の計算が関税に関する法律の規定に従っていなかったときは、税関長は更正をする(関7条の16第1項)。更正は税関長の処分であり、更正によって税額は確定する。そうすると、本問はわざと言い回しをややこしくしているものの、内容は正しい。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効）-1.申告納税方式-（3）税関長が行う手続-①更正]"
事前教示（事前照会）,59-4-1,A,文書による事前照会は、輸入しようとする貨物の輸出者は行うことができないこととされており、口頭又はインターネットによる事前照会についても、同様とされている。,○×,×,"輸入しようとする貨物の輸出者は、文書、口頭、インターネットいずれによる事前照会も行うことができる(関通7-18-1(1)、7-18-2(1)、7-18-3(1))。
[参照　第2編（関税法）-第16章（事前教示（事前照会））-2.文書による照会-（1）照会者、第2編（関税法）-第16章（事前教示（事前照会））-3.口頭による照会、4.インターネットによる照会]"
事前教示（事前照会）,59-4-2,A,文書による事前照会の照会者が、その事前照会に係る貨物について関税率表の適用上の所属区分に関する不服申立て中である場合には、当該貨物は事前照会に対する回答の対象としないこととされている。,○×,○,"事前照会の対象となる照会にはいくつか要件があり、そのうちの一つに、照会者及びその利害関係者が、照会に係る貨物について不服申立て又は訴訟中である等、関税率表適用上の所属区分に係る紛争等が生じていないものというのがある(関通7-18-1(2)ハ(イ))。そうすると、本問は、この要件を満たさない場合であるから照会の対象とならないと言っているので、正しい。
[参照　第2編（関税法）-第16章（事前教示（事前照会））-2.文書による照会-（2）対象となる照会の範囲]"
事前教示（事前照会）,59-4-3,A,事前照会に対する回答書のうち、その回答書の発出日（再交付し、又は再送達したものにあっては、その当初の回答書の発出日）から3年を経過したものは、輸入（納税）申告書の審査上、尊重しないものとされている。,○×,○,"事前照会についての文書による回答のうち、その発出日(再交付し、又は再送達したものにあっては、その当初の回答書の発出日)から3年を経過したものは、輸入申告書の審査上、尊重されない(関通7-18-1(9)ロ(イ))。以前は「交付又は送達のあった日」であったものが、令和5年改正により「発出日」 となった。
[参照　第2編（関税法）-第16章（事前教示（事前照会））-2.文書による照会-（8）輸入(納税)申告書に添付された回答書の取扱い]"
事前教示（事前照会）,59-4-4,A,照会者が口頭による回答を求める場合には、その事前照会が輸入申告中の貨物に係るものである場合であっても、事前照会に対する回答の対象とすることとされている。,○×,×,"事前教示の趣旨に反するものは照会の対象とならないが、その例として輸入申告中の貨物についての照会が挙げられる(関7条3項、関通7-18-1(2)ハ(ロ))。輸入申告前に分類するのに適切な品目を教えてもらって正しい納税申告をするというのがここにいう趣旨なので、輸入申告中の貨物は事前照会の対象とされていない。
[参照　第2編（関税法）-第16章（事前教示（事前照会））-2.文書による照会-（2）対象となる照会の範囲]"
事前教示（事前照会）,59-4-5,A,照会者がインターネットによる事前照会を文書による事前照会に準じた取扱いに切り替えることを希望する場合には、その旨を任意の様式に記載し、それを電磁的記録として添付した電子メールを、税関の事前照会用電子メールアドレスに送信することにより行うものとされている。,○×,×,"インターネットによる照会は電子メール本文に、必要事項を記入の上、税関のメールアドレスに送信することで行う(関通7-18-3(4))が、インターネットによる照会を文書による照会に準じた取扱いに切替えることを希望する場合は、「インターネットによる事前教示に関する照会書」に必要事項を記載し、これを電磁的記録として電子メールを送信する(関通7-18-3(3)ロ)。電子メールで照会しても、そこから文書による照会に準じた取扱いに切替えることもできるので、それを希望するときは「インターネットによる事前教示に関する照会書」という書類に必要事項を記載したものを、データ化して添付してメールで送るということである。そうすると、「その旨を任意の様式に記載し」という部分が誤りである。
[参照　第2編（関税法）-第16章（事前教示（事前照会））-4.インターネットによる照会-（3）受付]"
