カテゴリー,問題番号,重要度,問題,選択肢,正解,解説
関税の確定,55-3-1,A,申告納税方式が適用される貨物を輸入しようとする者は、税関長に対し、当該貨物に係る関税の納付に関する申告をしなければならないが、関税が無税とされている貨物を輸入する場合には、当該貨物に係る関税の納付に関する申告を要しない。,○×,×,"納付すべき税額又は納付すべき税額がないことが納税義務者の申告により確定するのが申告納税方式における納税申告であるから、納付すべき税額がない場合（無税）でも申告を要する(関6条の2第1項1号、7条1項)。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効））-1.申告納税方式-（1）申告納税方式の内容、（2）輸入者が行う手続-①納税申告（当初申告）]"
関税の確定,55-3-2,A,落花生油の製造に使用するための落花生がその輸入の許可の日から1年以内に製造工場でその製造が終了するものとして関税の免除を受けて輸入された場合において、当該落花生が当該製造工場以外の場所で落花生油の製造に供されたことにより税関長が直ちに徴収するものとされている関税額は、賦課課税方式により確定するものとされている。,○×,○,"落花生油の製造に使用するための落花生がその輸入の許可の日から1年以内に製造工場でその製造が終了するものとして関税の免除を受けて輸入された場合ということは、製造用原料品の免税(関率13条1項2号)を適用したものであるから、その落花生が製造工場以外の場所で落花生油の製造に供されると、免除を受けた関税は税関長が直ちに徴収する(関率13条7項2号)。そうすると、これは関税定率法の規定により一定の事実が生じた場合に直ちに徴収するものとされている関税に当たり、賦課課税方式となる(関6条の2第1項2号ホ)。したがって、正しい。製造用原料品の免税の規定についてよく分からなかったとしても、一定の事実が生じた場合に直ちに徴収される関税は賦課課税方式という基本的な知識があれば正解できる。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効））-2.賦課課税方式-（2）賦課課税方式の適用範囲、第3編（関税定率法、関税暫定措置法）-第4章（減免戻し税2（条件付き））-2.製造用原料品の減免税（関率13条）-（2）用途外使用等と関税の徴収]"
延滞税,55-3-3,C,課税価格につき、納税申告の時に知ることができなかった事情により誤った納税申告をした者が自主的に修正申告をした場合において、当該修正申告による納付すべき税額に係る延滞税の免除を受けようとするときは、税関長に対し口頭でその事情を説明し、確認を受けることとされている。,○×,×,"課税価格につき、納税申告の時に知ることができなかった事情により誤った納税申告をした者が自主的に修正申告をした場合は、やむを得ない理由により税額等に誤りがあったものとして、修正申告により納付すべき税額に係る延滞税を免除されるが(関12条6項、関通12-4(1)ハ)、この場合はその理由を記載した申請書を税関長に提出しなければならないとされているため(関令9条1項)、口頭でその事情を説明し、確認を受けることはできない。
[参照　第2編（関税法）-第19章（附帯税1（延滞税））-2.延滞税の免除-（1）全額免除-①免除する場合-ⅰやむを得ない理由+確認]"
関税の確定,55-3-4,A,延滞税に係る納付すべき税額は、賦課課税方式により確定するものとされている。,○×,×,"延滞税は、特別の手続を要しないで法律の規定に納付すべき税額が確定するものであり、賦課課税方式でも申告納税方式でもない(関6条の2第2項)。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効））-概要]"
関税の徴収,55-3-5,C,関税は、国税徴収法、地方税法その他の法令の規定にかかわらず、当該関税を徴収すべき外国貨物について、他の公課及び債権に先立って徴収することとされている。,○×,○,"関税は、国税徴収法、地方税法その他の法令の規定にかかわらず、当該関税を徴収すべき外国貨物について、他の公課及び債権に先だって徴収する(関9条の10第1項)。
[参照　第2編（関税法）-第18章（関税の徴収、担保）-1.関税の徴収-（2）関税の徴収の順位]"
関税率表,55-4-1,C,"次に掲げる物品のうち、関税率表第92類(楽器並びにその部分品及び附属品)に属するものの組み合わせとして正しいものはどれか。

1  マイクロホン
2  オルゴール
3  電気ギター
4  ピアノ用の腰掛
5  メトロノーム","1.（1,2）
2.（2,3）
3.（1,3）
4.（4,5）
5.（2,3,5）",5,マイクロホンは85.18項、オルゴールは92.08項、電気ギターは92.07項、ピアノ用スツールは94.01項、メトロノームは92.09項にそれぞれ属する。
事前教示（事前照会）,55-5-1,A,関税法第7条第3項の規定に基づく関税率表の適用上の所属の教示に係る照会に関して、事前照会に対する文書による回答のうち、その交付又は送達のあった日(再交付し、又は再送達したものにあっては、その当初の回答書の発出日)から2年を経過したものは、輸入申告書の審査上、尊重されないこととされている。,○×,×,"「交付又は送達のあった日」ではなく「発出日」 であり、また、「2年」ではなく「3年」である(関通7-18-1(9)ロ(イ))。
[参照　第2編（関税法）-第16章（事前教示（事前照会））-2.文書による照会-（8）輸入(納税)申告書に添付された回答書の取扱い]"
事前教示（事前照会）,55-5-2,A,関税法第7条第3項の規定に基づく関税率表の適用上の所属の教示に係る照会に関して、文書により事前照会が行われた貨物の内容及び当該事前照会に対する回答の内容は、回答後原則として公開することとされているが、照会対象となった貨物の照会内容のうち製造方法に特徴があり、公開によって競合する者に知られ照会者又はその関係者が不利益を受けるおそれがある場合で、照会者から一定期間内(180日を超えない期間内)につき公開しないことを求める申出があったものは、当該申出に係る期間後に公開することとされている。,○×,○,"照会貨物の内容と回答の内容は、回答後原則として公開とし、税関ホームページ等を利用して閲覧できるようにする。ただし、製造方法に特徴があり、公開によって競合する者に知られ照会者又はその関係者が不利益を受けるおそれがある場合であって、照会者から一定期間内（180日を超えない期間内）は公開しないことを求める申出があったものについては、その申出に係る期間後に公開する(関通7-18(6)ハ)。
[参照　第2編（関税法）-第16章（事前教示（事前照会））-2.文書による照会-（6）公開]"
事前教示（事前照会）,55-5-3,A,関税法第7条第3項の規定に基づく関税率表の適用上の所属の教示に係る照会に関して、事前照会に対する文書による回答について、照会者が、再検討を希望するものとして意見を申し出る場合には、当該照会者は、当該回答の交付又は送達を受けた日の翌日から起算して2月以内に、当該回答を行った税関に書面により申し出なければならないこととされている。,○×,○,"事前照会に対する文書による回答について、照会者が、再検討を希望するものとして意見を申し出る場合には、当該照会者は、当該回答の交付又は送達を受けた日の翌日から起算して2月以内に、当該回答を行った税関に申出書という書面を提出することにより申し出る(関通7-18-1(8))。
[参照　第2編（関税法）-第16章（事前教示（事前照会））-2.文書による照会-（7）意見の申出]"
事前教示（事前照会）,55-5-4,A,関税法第7条第3項の規定に基づく関税率表の適用上の所属の教示に係る照会に関して、事前照会に対する口頭による回答は、原則として、事前照会を受けてから30日以内の極力早期に行うように努めることとされている。,○×,×,"税関は、照会者から照会があった場合には原則として即日回答を行うよう努めることとされている(関通7-18-2(4)ロ)。
[参照　第2編（関税法）-第16章（事前教示（事前照会））-3.口頭による照会-（3）回答]"
