カテゴリー,問題番号,重要度,問題,選択肢,正解,解説
通関業法（関税の確定）,54-3-1,A,過少申告加算税、無申告加算税及び重加算税に係る納付すべき税額は、専ら税関長の処分により確定するものとされているが、延滞税に係る納付すべき税額は、特別の手続を要しないで確定するものとされている。,○×,○,"過少申告加算税、無申告加算税及び重加算税に係る納付すべき税額は、専ら税関長の処分により確定するもの、つまり賦課課税方式であるが、延滞税は、特別の手続を要しないで法律の規定に納付すべき税額が確定するものであり、賦課課税方式でも申告納税方式でもない(関6条の2第1項2号ヘ、2項)。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効））-概要、2.賦課課税方式-（2）賦課課税方式の適用範囲]"
通関業法（関税の確定）,54-3-2,A,納税申告をした者は、当該納税申告により納付すべき税額に不足額があるときは、当該納税申告について更正があるまでは、当該納税申告に係る課税標準又は納付すべき税額を修正する申告をすることができる。,○×,○,"納税申告をした者は、当該納税申告により納付すべき税額に不足額があるときは、当該納税申告について更正があるまでは、当該納税申告に係る課税標準又は納付すべき税額を修正する申告をすることができる(修正申告 関7条の14第1項)。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効））-1.申告納税方式-（2）輸入者が行う手続-②修正申告]"
通関業法（還付）,54-3-3,C,税関長は、関税に係る過誤納金を還付すべき場合において、その還付を受けるべき者につき納付すべきこととなった関税があり、その還付すべき金額をその納付すべきこととなった関税に充当したときは、その旨をその還付を受けるべきであった者に通知しなければならない。,○×,○,"税関長は、関税（滞納処分費を含む。）に過誤納金があるときは、遅滞なく、金銭で還付しなければならない(関13条1項)。そして、還付を受ける者に他に納付すべき関税があるときは、還付すべき金額をその関税に充当する(関13条7項)。(関13条7項)。そして税関長は、充当をしたときは、その旨を過誤納金の還付を受けるべきであった者に通知しなければならない(関令10条2項)。
[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-3.還付-（1）還付、他の関税への充当]"
通関業法（関税の納付）,54-3-4,A,関税を納付しようとする者は、その関税の額が1,000円未満であるときは、印紙によりその関税を納付することができる。,○×,×,"印紙により関税を納付すること自体出来ない(関9条の4、9条の5)。
[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-1.関税の納付]"
通関業法（関税の納付）,54-3-5,A,関税を納付しようとする者は、その税額に相当する金銭に納付書(納税告知書の送達を受けた場合には、納税告知書)を添えて、これを日本銀行(国税の収納を行う代理店を含む。)又はその関税の収納を行う税関職員に納付しなければならないこととされており、この 「金銭」には、ドルその他の外国の通貨を含むこととされている。,○×,×,"納付書等に基づいて関税を納付する場合、その税額に相当する金銭に納付書（納税告知書の送達を受けた場合には、納税告知書）を添えて、これを日本銀行（国税の収納を行う代理店を含む。）又はその関税の収納を行う税関職員に納付しなければならない。この「金銭」とは、強制通用力を有する本邦の貨幣をいい、外国の通貨で納付することはできない(関9条の4、関通9の4-1(1))。
[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-1.関税の納付-（1）納付書等に基づく納付]"
通関業法（関税率表）,54-4-1,C,"次に掲げる物品のうち、関税率表第3類に属するものの組み合わせとして正しいものはどれか。なお、次に掲げる物品は、すべて食用に適するものとする。

1  フィレにして、乾燥したあじ
2  食酢により調製したにしん 
3  水煮による調理をした殻付きの甲殻類
4  塩蔵した魚の肝臓
5  乾燥した海草","1.（1,3,4）
2.（1,3,5）
3.（2,3,5）
4.（3,4,5）
5.（3,5）",1,フィレにして、乾燥したあじは03.05項、食酢により調製した「にしん 」は16.04項、水煮による調理をした殻付きの甲殻類は03.06項、塩蔵した魚の肝臓は03.05項、乾燥した海草は12.12項にそれぞれ属する。
通関業法（事前教示（事前照会））,54-5-1,A,事前照会に対する文書による回答は、一定条件の下で、輸入申告の際、回答書に記載された内容について尊重される取扱いが行われることとされており、口頭又は電子メールによる回答についても、同様に取り扱うこととされている。,○×,×,"事前照会に対する文書による回答は、一定条件の下で、輸入申告の際、回答書に記載された内容について尊重される(関通7-18-1(9)イ)。しかし、口頭や電子メールによる照会に対する回答については、輸入申告の際には尊重されない(関通7-17)。
[参照　第2編（関税法）-第16章（事前教示（事前照会））-2.文書による照会-（8）輸入(納税)申告書に添付された回答書の取扱い、第2編（関税法）-第16章（事前教示（事前照会））-3.口頭による照会-（3）回答、第2編（関税法）-第16章（事前教示（事前照会））-4.インターネットによる照会-（4）回答]"
通関業法（事前教示（事前照会））,54-5-2,A,事前照会の照会者及びその利害関係者が、その照会に係る貨物について不服申立て又は訴訟中である等、関税率表の適用上の所属に係る紛争が生じているものである場合には、当該貨物の関税率表の適用上の所属については事前照会の対象の範囲に含まれない。,○×,○,"事前照会の対象となる照会にはいくつか要件があり、そのうちの一つに、照会者及びその利害関係者が、照会に係る貨物について不服申立て又は訴訟中である等、関税率表適用上の所属区分に係る紛争等が生じていないものというのがある(関通7-18-1(2)ハ(イ))。そうすると、本問は、この要件を満たさない場合であるから照会の対象とならないと言っているので、正しい。
[参照　第2編（関税法）-第16章（事前教示（事前照会））-2.文書による照会-（2）対象となる照会の範囲]"
通関業法（事前教示（事前照会））,54-5-3,A,事前照会に対する文書による回答の内容は、税関としての見解であり、照会者の輸入申告の内容を拘束するものではない。,○×,○,"事前照会に対する文書による回答（教示）は税関としての見解であり、照会者の申告内容を拘束しない(関通7-18-1(3)ハ(ハ)ⅰ)。
[参照　第2編（関税法）-第16章（事前教示（事前照会））-2.文書による照会-（4）回答]"
通関業法（事前教示（事前照会））,54-5-4,A,事前照会に対する文書による回答について、照会者が再検討を希望する場合には、意見の申出を行うことが可能とされており、口頭又は電子メールによる回答についても、同様とされている。,○×,×,"事前照会に対する文書による回答について、照会者が再検討を希望する場合には、意見の申出を行うことが可能である。しかし、口頭や電子メールによる回答については、意見の申出が出来ない(関通7-17)。
[参照　第2編（関税法）-第16章（事前教示（事前照会））-2.文書による照会-（7）意見の申出、第2編（関税法）-第16章（事前教示（事前照会））-3.口頭による照会-（3）回答、第2編（関税法）-第16章（事前教示（事前照会））-4.インターネットによる照会-（4）回答]"
