カテゴリー,問題番号,重要度,問題,選択肢,正解,解説
法定納期限と納期限,51-3-1,A,輸入の許可後にされた更正に係る更正通知書に記載された納付すべき税額については、納税義務者が当該更正通知書の送達を受けた日から1月以内に納付しなければならない。,○×,×,"輸入の許可後にされた更正に係る更正通知書に記載された納付すべき税額の納期限は、「当該更正通知書の送達を受けた日から1月以内」ではなく「当該更正通知書が発せられた日の翌日から起算して1月を経過する日」である(関9条2項5号)。
[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-2.法定納期限と納期限-（3）例外-⑤輸入許可後の更正]"
課税物件確定時期と適用法令,51-3-2,A,外国貿易船に積まれている外国貨物であって船用品でないものが輸入される前に本邦で消費された場合において、当該外国貨物に関税を課する際の基礎となる貨物の性質及び数量は、当該外国貨物の消費の時の現況による。,○×,○,"外国貿易船に積まれている外国貨物であって船用品でないものが輸入される前に本邦で消費された場合は、消費の時に輸入するものとみなされる(関2条3項)。そうすると、輸入の許可を受けないで輸入された貨物であるから、輸入の時の現況による（輸入の時が課税物件確定時期である）とされ(関4条1項8号)、つまり消費した時の現況によることとなる。
[参照　第2編（関税法）-第1章（関税法の定義）-1.定義-（9）みなし輸入-②使用又は消費によるみなし輸入、第2編（関税法）-第13章（課税要件1（課税要件、課税物件、課税物件確定時期と適用法令））-3.課税物件確定時期と適用法令-（3）例外-②無申告無許可輸入]"
関税の確定,51-3-3,A,納税申告に係る貨物の輸入の許可前にする修正申告については、先の納税申告に係る書面に記載した貨物に係る輸入(納税)申告書に記載した課税標準又は納付すべき税額を補正することにより行うことはできない。,○×,×,"修正申告の手続は、原則として修正申告書を税関長に提出することで行うが、輸入許可前であれば、当初申告の輸入(納税)申告書に記載した課税標準や税額を補正して行う(関7条の14第1項、2項)。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効））-1.申告納税方式-（2）輸入者が行う手続-②修正申告]"
担保,51-3-4,B,関税法の規定により関税の担保を提供しようとする者は、自己の所有する土地又は建物を当該担保として提供することができる。,○×,○,"関税法の規定により提供する関税の担保は、土地や建物も対象となる(関9条の11第1項、国税通則法50条3号、4号)。
[参照　第2編（関税法）-第18章（関税の徴収、担保）-2.担保-（3）提供する担保の種類]"
延滞税,51-3-5,B,未納に係る関税額に対し延滞税を課される場合において、やむを得ない理由により税額に誤りがあったため法定納期限後に未納に係る関税額が確定し、かつ、その事情につき税関長の確認があったときは、その税額に係る延滞税については、当該法定納期限の翌日から当該関税につき修正申告をした日までの日数に対応する部分の金額が免除される。,○×,○,"やむを得ない理由により税額等に誤りがあったため法定納期限後に関税額が確定し、かつ、その事情について税関長の確認があったときは、その税額に係る延滞税については、法定納期限の翌日から修正申告をした日までの日数に対応する部分の金額を免除する(関12条6項)。
[参照　第2編（関税法）-第19章（附帯税1（延滞税））-2.延滞税の免除-（1）全額免除-①免除する場合-ⅰやむを得ない理由+確認]"
加算税,51-4-1,B,納税申告に関して必要な輸入貨物に係る適用税番について、輸入者から十分な資料の提出があったにもかかわらず税関職員が輸入者に対して誤った教示を行い、その教示に従っていたもので、輸入者がその教示を信じたことについて、やむを得ないと認められる事情があるものは、関税法第12条の2第4項第1号（過少申告加算税）に規定する正当な理由に該当する。,○×,○,"輸入する貨物の税番（HSコード）について税関に事前教示を求め、その際判断材料として十分な資料も提出していたのに税関が誤った事前教示を行ったためこれを輸入者が信じ、そう信じるのもやむを得ない事情があり、そして誤った税番で申告した場合は、正当な理由とされる(関通12の2-17(1))。
[参照　第2編（関税法）-第20章（附帯税2（加算税））-1.過少申告加算税と無申告加算税-（3）加算税額計算-②納付すべき税額-ⅱ「正当な理由」等による納付すべき税額の控除]"
加算税,51-4-2,B,納税申告に係る貨物と同一種の貨物について、過去に税関が輸入通関の際に現物検査を行い、同じ適用税番で通関を認めた事実が確認できるものは、関税法第12条の2第4項第1号（過少申告加算税）に規定する正当な理由に該当する。,○×,○,"申告貨物と同一種の貨物について、過去に税関が輸入通関の際に現物検査を行い、同じ適用税番で通関した事実が確認できる場合は、正当な理由とされる(関通12の2-17(2))。
[参照　第2編（関税法）-第20章（附帯税2（加算税））-1.過少申告加算税と無申告加算税-（3）加算税額計算-②納付すべき税額-ⅱ「正当な理由」等による納付すべき税額の控除]"
加算税,51-4-3,B,物資所管官庁が分析結果に信頼があると認める輸出国の公的機関によって作成された証明書に基づいて、輸入者が納税申告をしたと認められるものは、関税法第12条の2第4項第1号（過少申告加算税）に規定する正当な理由に該当する。,○×,○,"輸入者が輸出国の公的機関等（物資所管官庁が分析結果に信頼があると認めるものに限る）が作成した証明書に基づいて申告したと認められるものは、正当な理由とされる(関通12の2-17-(4))。
[参照　第2編（関税法）-第20章（附帯税2（加算税））-1.過少申告加算税と無申告加算税-（3）加算税額計算-②納付すべき税額-ⅱ「正当な理由」等による納付すべき税額の控除]"
加算税,51-4-4,B,関税率表が改正されたことにより、適用税番が変更されたにもかかわらず、当該改正前の税番に基づき、輸入者が納税申告をしたと認められるものは、関税法第12条の2第4項第1号（過少申告加算税）に規定する正当な理由に該当する。,○×,×,"関税率表が改正され税番が変更されたのに改正前の税番に基づいて輸入者が申告した場合は、関税定率法の不知又は誤解をしていたときなので、正当な理由とされない。(関通12の2-17)。
[参照　第2編（関税法）-第20章（附帯税2（加算税））-1.過少申告加算税と無申告加算税-（3）加算税額計算-②納付すべき税額-ⅱ「正当な理由」等による納付すべき税額の控除]"
加算税,51-4-5,B,輸入者に課税標準の確定に日時を要する事情があり、関税法第73条第 1 項(輸入の許可前における貨物の引取り)の規定により税関長の承認を受けて引き取られた貨物であって、当該貨物の輸入の許可前に輸入者からの申し出に基づき課税標準を確定したものは、関税法第12条の2第4項第1号（過少申告加算税）に規定する正当な理由に該当する。,○×,○,"輸入者に課税標準の確定に日時を要する事情があり、輸入許可前引取承認を受けて貨物が引き取られた場合で、輸入許可前に輸入者からの申し出に基づいて課税標準を確定したときは、正当な理由とされる(関通12の2-17(5))。
[参照　第2編（関税法）-第20章（附帯税2（加算税））-1.過少申告加算税と無申告加算税-（3）加算税額計算-②納付すべき税額-ⅱ「正当な理由」等による納付すべき税額の控除]"
